bin,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_defense_median,DCM_defense_median,MES_defense_median,deep_defense_median,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
SP-3971,48,48,122,0,0.00837985098555907,0.014658171367852853,0.1142460278123811,nan,0.00471811527338697,0.02423035451818491,0.14017766460914302,0.15987350043870946
SP-4300,38,25,0,0,0.1137815471174192,0.17391780017670458,nan,nan,0.037839171398934994,0.036063993953280735,0.03209484820663787,nan
SP-486,15,24,0,0,0.004763630448198913,0.009962165294964258,nan,nan,0.030059874058309087,0.0389839555464625,0.02165603383699781,nan
SP-56,156,148,107,0,0.0934229852205034,0.07704073933081136,0.06341637694664606,nan,0.09447747557960524,0.08873897777393605,0.0766255085063781,nan
SP-78,23,24,0,0,0.14177788789025966,0.1959410480865128,nan,nan,0.07561344683043379,0.07061035716463226,0.0488890565094326,nan
NP-122,0,1321,1528,48,nan,0.15435159941934976,0.13656997749074368,0.7613319936845401,0.0,0.1325051403017558,0.12632072165720032,0.13237309571339967
NP-1395,90,114,108,0,0.10078360996058112,0.09129999421570424,0.08510113541685821,nan,0.10078360996058112,0.09518231858822618,0.08510113541685821,nan
NP-15,0,286,332,395,nan,0.6302279787239911,0.5200429513109397,0.2250476177086174,0.2052722838139613,0.027216809597921585,0.031039117333290067,0.041657598910847735
NP-18,32,18,0,0,0.06118156957968375,0.06553854513938594,nan,nan,0.08998862791874987,0.06536349912626181,nan,nan
NP-2,100,96,226,244,0.3000920093424878,0.1443451696749984,0.13663974891508024,0.182683392205728,0.01387287283382048,0.043205960322569126,0.04510719749983121,0.059593695274409164
NP-22,154,261,328,24,0.013985097509656522,0.07248376967046344,0.13470837554196094,0.3756545626234097,0.032252593948276745,0.08153524852534713,0.1887103892295625,0.2874270850968887
NP-38,186,181,0,0,0.12772925770675722,0.12808434014642556,nan,nan,0.12148876462730088,0.12174978747671332,0.0888676130024438,nan
NP-52,23,19,0,0,0.16675023185596635,0.1490670957050071,nan,nan,0.17685767199015567,0.14104526169108067,0.013191928030941292,nan
NP-55,0,1181,1214,240,nan,0.1257827454109831,0.1258591285567752,0.04896276162653036,0.11120254793561676,0.15030054329287718,0.1518103453910108,0.09776594670727372
NP-58,47,18,0,0,0.08189724702250394,0.16425507278190113,nan,nan,0.10624490195242298,0.08657262451276121,0.16373173356755774,nan
NP-64,32,32,0,0,0.08529784421488773,0.0821917579223998,nan,nan,0.12772176214068254,0.11547339945651565,0.10080402985918717,nan
NP-75,51,41,0,0,0.1034152981656172,0.0949577432776016,nan,nan,0.10215438720821783,0.08152260492724935,0.08294022003622245,nan
NP-964,66,572,274,0,0.5914565662732864,0.14953363093440933,0.1309767648528931,nan,0.5914565662732864,0.1552896885188836,0.14466546112115933,nan
NP-969,38,34,0,0,0.1880180272500606,0.14672247787273285,nan,nan,0.14192814228170594,0.0967954531961779,0.03906236924909488,nan
NP-980,36,8,0,0,0.12772879663667275,0.1519518889706008,nan,nan,0.11959830748631367,0.0998761116815992,nan,nan
SAT-1,108,148,154,9,0.0520136286596217,0.05087618055740245,0.048487776108768296,0.1893684192934808,0.0621330867226017,0.0524458037780179,0.057018316833842994,0.3185247034435089
SAT-101,120,160,257,240,0.0,0.10533674882650483,0.0590854767230662,0.05410246300655265,0.0,0.0768766045314468,0.0533692614599008,0.0543967160043891
SAT-109,0,33,64,53,nan,0.0,0.046305872329854905,0.0402728976613123,0.0910333685453277,0.0780041417132866,0.0567589532990341,0.1083776176583272
SAT-110,0,30,30,21,nan,0.1222846666905515,0.2806888068880694,0.9361469521521704,1.3025263399203466,0.1477566776338244,0.5405891117710994,0.4127933387545778
SAT-1289,54,23,23,0,0.10003958640751334,0.0692903733625041,0.0655955620083181,nan,0.0874280542328577,0.0681744376039632,0.0655955620083181,nan
SAT-1462,120,80,167,90,0.0623020924990786,0.0585737035382146,0.0486362327311806,0.07021818154245599,0.083714672183547,0.0842221921432611,0.0629638502135743,0.0889999999999995
SAT-1509,168,164,0,0,0.1037576224943141,0.1018755060045965,nan,nan,0.11320067360446552,0.11169687622044737,nan,nan
SAT-1582,11,12,0,0,0.0674878598543019,0.0770355726743814,nan,nan,0.0554543491420905,0.049265362925530264,0.0531341876842719,nan
SAT-1608,16,71,0,0,0.1919748816308606,0.0556272006671112,nan,nan,0.1165714297851217,0.0699403029935328,6.8548755352920505,nan
SAT-1613,8,12,8,8,1.4854823699298612,1.8039585231093225,1.6448575279263864,3.2036472883299134,6.757094657683668,8.57094550620111,11.45797063955499,3.2036472883299134
SAT-168,12,12,0,0,0.06528014322092733,0.0522354873685649,nan,nan,0.09535262113383006,0.08547074187095295,nan,nan
SAT-175,75,66,0,0,0.0866918945785523,0.0872046219962466,nan,nan,0.0874112289762608,0.0918349844209192,0.0092147653854604,nan
SAT-182,7,22,0,0,0.2976297423311632,0.12579076369689976,nan,nan,0.0547451050127561,0.0728513115672994,0.2500388893209931,nan
SAT-46,7,18,12,0,0.0747200707172581,0.24298499788599806,0.09754287748920557,nan,0.1255504112273434,0.2649221729657899,0.1468572509461062,1.1304278812974604
SAT-47,20,19,3,0,0.0524625069262677,0.0493150772278555,0.0,nan,0.08284131609743235,0.090062053058858,0.1281935287884729,nan
SAT-62,126,92,137,108,0.05176818609654505,0.03552667908077135,0.07762298629379599,0.0771397900457095,1.7313632368871454,0.1628119781461598,0.24312259875709305,0.0771397900457095
SAT-7,0,33,62,46,nan,0.0661074029769963,0.08414935741466363,0.07112290218515545,0.0197296994554364,0.0468843425273377,0.055695145205691854,0.09354648456540302
SAT-93,0,15,36,57,nan,0.0769177583488313,0.0365046302791965,0.1137715484635735,3.692199861154873,3.0725903937111725,0.0714519286350385,0.0702569000987555
