gene_callers_id,bin,transposase_id,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
347649,NP-95,A1TMF8_ACIAC/47-122,nan,0.0602395426099713,0.0672607545290949,0.08158084640543625,0.9782260869565241,0.0935015727766652,0.0281925421205267,0.08158084640543625
272997,NP-125,O69073_PSESG/129-307,0.0622081586002666,0.1174546222034625,0.06900999886417905,0.08513652347796365,0.0622081586002666,0.1174546222034625,0.0742514658052819,0.0852347341436067
130791,NP-2,Q72EL6_DESVH/1-71,nan,0.046762960816073,0.02429988184634095,0.0695620376605076,0.1897759342549618,0.044603773731321975,0.0344510127829224,0.07450720822826956
131360,NP-2,E3CVN2_9BACT/54-128,0.0138728728338204,0.0279368191800844,0.04523890356174235,0.0628838519121759,0.1897759342549618,0.044603773731321975,0.0344510127829224,0.07450720822826956
426232,NP-69,F8A915_THEID/50-124,nan,0.0931144751537686,0.0928660776637519,0.5680900585283795,nan,0.1271922964953311,0.09987406188333099,0.5680900585283795
241986,NP-45,Q2SAN0_HAHCH/24-52,nan,0.0400558195840051,0.0583898938023607,0.4093424294119854,0.03662556602212365,0.0335414761087115,0.03539784820218428,0.2963090484331919
105257,NP-32,A1TZC3_MARHV/24-52,0.4079037626568599,0.02537491615066485,0.01575802106581925,0.1280649260258075,0.4079037626568599,0.040124789607119925,0.0351808530605291,0.1280649260258075
400576,NP-939,Q2LRL7_SYNAS/18-173,nan,0.1062529305025607,0.1049404737008514,0.0746794181394208,0.01407593772862115,0.0572632239907279,0.0492308907855098,0.1280999366513094
401259,NP-939,A8ZQ76_ACAM1/156-401,nan,0.2421565025505613,0.13457334279063676,0.19494512460447425,0.01407593772862115,0.0572632239907279,0.0492308907855098,0.1280999366513094
402280,NP-939,A1TZC3_MARHV/24-52,0.01407593772862115,0.04425253317610945,0.04814232269985549,0.09573422302717544,0.01407593772862115,0.0572632239907279,0.0492308907855098,0.1280999366513094
315599,NP-1,M4S743_9SPHN/388-447,0.052255014769217,nan,0.07653422788818609,1.3226293350468323,0.05270037142536035,0.09422534458858793,0.0494137485752875,0.20956571756143544
315615,NP-1,I5AWB2_EUBCE/7-438,0.0861207572719576,nan,0.0845431288272704,0.1480876397898141,0.05270037142536035,0.09422534458858793,0.0494137485752875,0.20956571756143544
317544,NP-1,G4L677_TETHN/10-440,0.0362478480099779,0.0595938573336274,0.0636060838924774,0.4108175017616378,0.05270037142536035,0.09422534458858793,0.0494137485752875,0.20956571756143544
473447,SAT-109,A1TZC3_MARHV/24-52,0.0484112315628775,0.0611581450757696,0.0547966069823434,nan,0.0910333685453277,0.0403605348081628,0.0433540432856172,0.0943071823687818
368291,SAT-52,TRA5_RHIME/1-377,0.0864745287607308,0.0844987419309932,0.0831141685033795,nan,0.12722506329471164,0.12464918126758995,0.12075221845372518,0.1328910099750371
383537,SAT-73,Q5HPJ6_STAEQ/1-380,0.0637647477788541,0.05848626180315381,0.07269523789898949,0.1013802589015638,0.1128081239397348,0.06182605051327785,0.0852965621479743,0.2598319472546794
286831,SAT-8,Q2K8N7_RHIEC/180-466,0.1430557047375405,nan,0.20218599190517197,0.3807679401800426,0.0838776314930219,0.03824332162244755,0.0284894135018508,0.1221444495966849
12110,SAT-46,A8L426_FRASN/3-460,0.1701544555616362,0.15121481079377574,0.1445129753974858,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
90635,SAT-46,V9XQ73_9NOCA/3-462,0.1764392145345374,0.14382451309367514,0.1307148616909738,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
90925,SAT-46,Q6W1K1_SINFN/265-351,0.2414180221275856,0.18036459917719194,0.1443419148428706,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
249774,SAT-46,A1T2J4_MYCVP/6-378,0.1754347694632665,0.14160006090349245,0.1361607244843023,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
431628,SAT-46,A8L426_FRASN/3-460,0.1287500116772723,0.0924071074973207,0.122647839982304,nan,0.12705086735166105,0.2476314576046648,0.1512743018670551,1.1304278812974604
238679,SAT-69,Q7ARJ6_YERPE/7-83,0.0102008734173633,nan,0.1238045606618303,0.0776335466889993,0.0056292377324116,0.0687734676826613,0.04374812505399255,0.0447195484577358
78120,SAT-63,C8X049_DESRD/154-391,0.15048188987601424,0.1104040052973419,0.19646602331806198,nan,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
315438,SAT-63,E3FPW1_STIAD/162-434,nan,0.3075977191094594,0.1104009430547345,0.0081589817266733,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
342429,SAT-63,Q2N7U1_ERYLH/61-295,0.2217409177974121,0.2162184539618287,0.2356199640251196,0.1996864491388942,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
342430,SAT-63,Q8YKX7_NOSS1/152-395,0.1731302866233717,0.1303868981725257,0.1066789056918875,0.315782401747939,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
527131,SAT-63,TRA1_MYCTU/1-380,0.05844335371766401,nan,0.0892595976256724,0.15571887598794784,0.0703696240356334,0.05019090997278308,0.08974755175941576,0.08421470772348341
277286,SAT-113,E8RW05_ASTEC/586-972,0.0403891515554876,0.0319968210379871,0.0489468417957617,0.1152256333636636,0.0577060705807515,0.1279838774806477,0.06665307578375351,0.11834207220787245
277348,SAT-113,H1MQB9_SINAD/12-469,0.06489099922862605,0.09175858596717501,0.08903194446509025,0.1214585110520813,0.0577060705807515,0.1279838774806477,0.06665307578375351,0.11834207220787245
357715,SAT-113,Q7ARJ6_YERPE/7-83,0.24322130976182896,nan,0.2075489473136582,0.2412327310210069,0.0577060705807515,0.1279838774806477,0.06665307578375351,0.11834207220787245
442449,SAT-6,Q2LVB1_SYNAS/153-392,0.16333777465525545,0.0476896462237598,0.10996141684669963,0.7899311657421965,0.2582838159382082,0.2696726256998145,0.08650323322928205,0.5106875395642699
22754,SAT-1,A1TZC3_MARHV/24-52,0.0825986569506896,0.0496349061305327,0.0479056156748174,nan,0.044045231760118,0.0472388017215544,0.04896579184733825,0.0903525308729376
127562,SAT-1,O07182_MYCTU/222-307,0.5442441248462289,0.7706115276616536,0.6888373937651999,nan,0.044045231760118,0.0472388017215544,0.04896579184733825,0.0903525308729376
469514,SAT-1,A1TZC3_MARHV/24-52,0.09065190394560296,0.0576338989162769,0.04680908598594305,nan,0.044045231760118,0.0472388017215544,0.04896579184733825,0.0903525308729376
279901,SAT-88,A3RNP8_RALSL/135-312,0.0855512377968916,0.021252017814499,0.0388537969672836,nan,0.0544047908666518,0.0501721862911362,0.0523307228480318,0.06195663485709325
333510,SAT-88,B8HZ93_CYAP4/595-981,0.0445310362696855,0.0587415153944256,0.04932908453213105,nan,0.0544047908666518,0.0501721862911362,0.0523307228480318,0.06195663485709325
436342,SAT-88,A3RNP8_RALSL/135-312,0.0083648096970441,0.0859960319281052,0.0345503805626561,0.0300437856083458,0.0544047908666518,0.0501721862911362,0.0523307228480318,0.06195663485709325
454380,SAT-3,Q9RZR1_DEIRA/52-258,0.6898470097357446,0.5680165001896578,0.4325605453480809,nan,0.13249022106813124,0.1271609006692093,0.1538342630946816,nan
233965,SAT-1611,O06367_MYCTU/1-380,0.1212155595012883,0.0827455952537188,0.1081482553623305,nan,0.06626243535789711,0.0756595907531535,0.0816602116806552,0.8822830487178327
364143,SAT-40,J9Z9E9_LEPFM/224-306,0.0184485683891394,0.01957078606139875,0.0189396053985557,0.03054907845528095,0.8341722167091111,0.1227814519873813,0.0655297849392199,0.5164941901219996
415401,SAT-40,Q1QFY0_NITHX/29-104,nan,0.0936527965362331,0.051618316863569005,0.5285439968133703,0.8341722167091111,0.1227814519873813,0.0655297849392199,0.5164941901219996
466947,SAT-40,Q1QFY0_NITHX/29-104,nan,0.0435760742611846,0.043691040648847004,0.6083090420764383,0.8341722167091111,0.1227814519873813,0.0655297849392199,0.5164941901219996
203931,SAT-98,TRA5_RHIME/1-377,0.0457655904187266,0.04458368133867791,0.0269887768054702,nan,0.0139874687429716,0.0319711182605597,0.02895875809144225,0.03673686213473025
257812,SAT-98,Q2LVB1_SYNAS/153-392,0.0268830939756845,0.0351647441322671,0.0248452894963959,nan,0.0139874687429716,0.0319711182605597,0.02895875809144225,0.03673686213473025
277550,SAT-62,Q1QM03_NITHX/237-325,0.09949839343308099,0.1242883267894765,0.12178054763192045,nan,0.05176818609654505,0.0361892608784103,0.06697333955088114,0.0771397900457095
43013,NAT-60,Q01XA5_SOLUE/73-262,nan,0.0511082420146234,0.0788396893652813,0.0428278330312537,0.1232891325395408,0.0549698487205462,0.05967437568664275,0.1832338535082882
138123,NAT-60,O68709_YERPE/1-72,nan,0.0,0.0070060538385404,0.1004275847989118,0.1232891325395408,0.0549698487205462,0.05967437568664275,0.1832338535082882
265612,NAT-67,A1TZA9_MARHV/8-432,0.5869152859641891,0.3128404737267753,0.1868605515735324,0.4174157839388264,0.1590216835942228,0.08318076579252827,0.0455512162969395,0.07157833025792171
430449,NAT-67,A5FU21_ACICJ/14-448,0.0872582454115569,0.0793580505317292,nan,0.4043000776340618,0.1590216835942228,0.08318076579252827,0.0455512162969395,0.07157833025792171
430450,NAT-67,E8RN94_ASTEC/11-454,0.11335490084938965,0.0823690846356693,0.1560834548152589,0.1380466333564567,0.1590216835942228,0.08318076579252827,0.0455512162969395,0.07157833025792171
119840,NAT-125,A0A168UQZ9_9ENTR/172-396,0.1072938707951002,0.2269138882428832,0.2259441707717598,0.1580379575930207,0.04145815018865615,0.0618403031849664,0.2259441707717598,0.0967962151488606
229276,NAT-46,Q0ACG4_ALKEH/162-397,0.37814236899105946,0.5036583260309024,0.4448328773810091,nan,0.0747080318903138,0.0630187883988951,0.07782747296434643,0.0072934246310288
394003,NAT-46,INSG_ECOLI/124-352,0.1366137353433828,0.0954312308483992,0.0839963194266004,nan,0.0747080318903138,0.0630187883988951,0.07782747296434643,0.0072934246310288
46536,NAT-64,A1TZC3_MARHV/24-52,0.0034696072854641,0.04133037975907095,0.0349232353014699,0.1717721868728828,0.08612149445908375,0.1371388483587099,0.0821247694834099,0.1661318837640651
245155,NAT-64,Q8DX36_STRA5/144-377,0.2653752973904577,0.2905980415342756,0.1729751430604331,0.8318630149163347,0.08612149445908375,0.1371388483587099,0.0821247694834099,0.1661318837640651
3931,NAT-75,B3E813_GEOLS/149-386,0.1120169567063603,0.0846165417974104,0.1623900682076786,0.3207272355820263,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
49344,NAT-75,R5F1L2_9CLOT/4-160,0.0,0.0,0.051843359124729003,0.2587825902697617,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
73547,NAT-75,C5C6V8_MICLC/127-383,0.07374156449773915,0.07581512187143724,0.0654288078418774,0.1418248870009397,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
199238,NAT-75,A9KIV3_CLOPH/148-386,0.1482185442672869,0.19928819915290025,0.2617541049357506,0.2713531464760037,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
412475,NAT-75,A8ZQ76_ACAM1/156-401,0.0145996813720518,0.0677002055280503,0.0154062296128313,0.02127561593368645,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
412589,NAT-75,A8ZQ76_ACAM1/156-401,0.0308856020395656,0.06168609512029525,0.0214323068733274,0.1599088480276603,0.0817512183904617,0.0812032681499424,0.04982795757177965,0.09759825332985578
231515,NAT-30,A2FJ98_TRIVA/113-352,nan,0.1692163929378244,0.1290403709844061,1.2396364035132934,0.0339483863314137,0.09914348342482276,0.0760283824713561,0.1250247779491192
117044,NAT-24,O69073_PSESG/129-307,0.0346906437115285,0.0139839389482441,0.0283391368966532,nan,0.0346906437115285,0.01139818930244165,0.045809813066028236,0.2689801154547036
291952,NAT-24,A1SHJ4_NOCSJ/158-417,0.4068305944931976,0.3548563102635245,0.1756008018349302,nan,0.0346906437115285,0.01139818930244165,0.045809813066028236,0.2689801154547036
18121,NAT-276,Q50761_MYCTX/95-294,0.3457146228288886,0.2067478459178761,0.2769332926251001,nan,0.0379853064807594,0.0418929243409815,0.07033229909781369,0.0173105245848144
190576,NAT-276,B9JXH4_AGRVS/78-146,0.1996717678978599,0.3015976964972262,0.2781366495072738,nan,0.0379853064807594,0.0418929243409815,0.07033229909781369,0.0173105245848144
331538,NAT-276,V9W126_9RHOB/54-127,0.0516739525823349,0.0431464162183628,0.1758048713031376,nan,0.0379853064807594,0.0418929243409815,0.07033229909781369,0.0173105245848144
