bin,domain,signal_CAZ_count,percent_sect_CAZ,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,percent_sect_pep,signal_pep_aa
ARS-1330,Bacteria,0,0,0,395082,1387,7,11.666666666666666,2945
ARS-102,Archaea,0,0,0,258735,968,0,0,0
ARS-1134,Archaea,0,0,0,432604,1189,10,13.513513513513514,8582
ARS-71,Bacteria,5,7.6923076923076925,2492,725069,2355,27,22.5,11652
ARS-95,Bacteria,4,9.090909090909092,2525,526201,1528,44,42.71844660194174,32135
ARS-34,Bacteria,0,0,0,989113,3200,18,9.782608695652174,9886
ARS-49,Archaea,1,6.666666666666667,383,342621,1338,2,6.0606060606060606,1798
ARS-33,Bacteria,4,7.142857142857142,2026,603719,2019,24,25.263157894736842,11493
ARS-1176,Archaea,0,0,0,301434,1206,2,4.651162790697675,2366
ARS-1441,Archaea,1,5.0,428,267813,940,1,3.4482758620689653,1255
ARS-5,Bacteria,41,23.295454545454543,21780,1663000,5237,54,21.951219512195124,23358
ARS-76,Bacteria,12,15.789473684210526,9801,684884,1935,21,27.27272727272727,19965
ARS-1034,Bacteria,1,2.5,762,588485,1890,7,7.291666666666667,2487
ARS-81,Bacteria,38,22.89156626506024,25510,1089695,2853,62,43.05555555555556,40794
ARS-65,Bacteria,12,8.0,7845,2354033,5735,34,15.178571428571427,26050
ARS-1419,Archaea,0,0,0,283833,1007,1,2.857142857142857,776
ARS-16,Bacteria,5,4.9504950495049505,2476,937411,2938,27,19.708029197080293,11983
ARS-61,Bacteria,19,16.964285714285715,10728,1611356,4649,74,32.743362831858406,45445
ARS-112,Bacteria,10,10.309278350515463,3950,1088511,3296,44,26.34730538922156,20510
ARS-24,Bacteria,10,14.492753623188406,4309,757778,2501,72,42.35294117647059,37137
ARS-59,Bacteria,2,4.25531914893617,1135,768596,2342,16,13.445378151260504,6538
ARS-1215,Bacteria,2,6.896551724137931,1204,452908,1413,7,7.526881720430108,4087
ARS-120,Bacteria,7,10.294117647058822,3220,1847097,5512,58,20.422535211267608,28529
ARS-1030,Bacteria,3,3.614457831325301,2011,825113,2682,13,9.027777777777777,5647
ARS-1,Bacteria,1,2.380952380952381,465,413199,1422,8,11.594202898550725,3060
ARS-40,Bacteria,45,23.809523809523807,35912,1218996,3074,88,51.162790697674424,51466
ARS-30,Bacteria,1,2.0408163265306123,427,578448,1936,13,16.666666666666664,5859
ARS-1037,Bacteria,9,9.89010989010989,4089,837012,2586,40,28.57142857142857,18332
ARS-75,Bacteria,42,22.22222222222222,29322,1332341,3389,69,38.764044943820224,42188
ARS-1386,Bacteria,0,0,0,224129,762,9,31.03448275862069,6168
ARS-29,Bacteria,3,4.3478260869565215,1465,681327,2188,15,13.636363636363635,8314
ARS-1426,Bacteria,1,2.5,877,576587,1824,11,10.0,6009
ARS-115,Bacteria,15,17.857142857142858,8412,762511,2331,61,44.52554744525548,35138
ARS-66,Bacteria,8,10.38961038961039,3781,1498543,4629,62,23.04832713754647,30270
ARS-11,Bacteria,4,6.0606060606060606,2091,878836,2747,32,27.11864406779661,13205
ARS-1414,Archaea,0,0,0,257652,1011,2,8.695652173913043,1553
CPC-41,Bacteria,8,6.2015503875969,4490,1047419,3025,74,45.962732919254655,58759
CPC-316,Bacteria,8,6.722689075630252,4347,1018799,3148,85,35.26970954356847,46609
CPC-97,Bacteria,14,17.5,9077,531315,1489,35,38.46153846153847,22987
CPC-73,Bacteria,6,7.317073170731707,3178,642591,1993,51,41.12903225806452,28767
CPC-288,Bacteria,24,24.489795918367346,13873,620462,1845,71,47.651006711409394,44324
CPC-25,Bacteria,21,16.535433070866144,11304,1038374,3286,118,49.789029535864984,66303
CPC-52,Bacteria,33,16.176470588235293,22602,1063669,3028,60,42.857142857142854,29767
CPC-58,Bacteria,3,3.488372093023256,1532,871241,2821,18,12.949640287769784,7368
CPC-17,Bacteria,42,19.004524886877828,27947,1451168,4273,129,48.679245283018865,75000
CPC-84,Bacteria,9,12.32876712328767,5985,590788,1562,44,44.89795918367347,29719
CPC-305,Bacteria,7,6.5420560747663545,4210,712912,2291,24,21.818181818181817,10604
CPC-67,Bacteria,10,7.936507936507936,5501,937341,3105,82,47.12643678160919,51124
CPC-7,Bacteria,18,12.949640287769784,10363,1093091,3522,102,45.73991031390135,57912
CPC-28,Bacteria,11,9.166666666666666,5437,1245521,3830,65,30.952380952380953,31859
CPC-74,Bacteria,3,5.0,1616,586552,1850,8,6.722689075630252,3367
CPC-323,Bacteria,16,19.27710843373494,9251,491083,1460,36,33.9622641509434,20821
CPC-46,Bacteria,5,4.901960784313726,2280,901204,2974,112,46.09053497942387,65263
CPC-31,Bacteria,74,19.576719576719576,45125,2059772,6017,89,35.45816733067729,46003
CPC-42,Bacteria,9,5.625,4317,1377384,4080,87,42.857142857142854,53639
CPC-48,Bacteria,13,8.333333333333332,5547,1319904,4103,41,22.905027932960895,18244
CPC-327,Bacteria,26,18.705035971223023,16962,970192,2836,92,47.42268041237113,54901
CPC-70,Bacteria,12,7.9470198675496695,7262,1044579,3286,85,48.29545454545455,56095
CPC-51,Bacteria,15,6.2761506276150625,10240,1655145,4206,133,51.153846153846146,89290
CPC-69,Bacteria,19,11.515151515151516,9559,1339917,4184,45,26.011560693641616,22755
CPC-14,Bacteria,18,14.634146341463413,8768,865194,2590,85,47.486033519553075,52223
CPC-9,Bacteria,24,10.0418410041841,17353,1535935,4063,120,48.38709677419355,73312
CPC-3,Bacteria,16,7.729468599033816,10098,1133924,3020,101,50.0,58628
CPC-19,Bacteria,19,7.883817427385892,8873,1971981,6154,56,17.72151898734177,22349
CPC-80,Bacteria,10,12.345679012345679,3910,673616,2131,59,44.3609022556391,32920
CPC-64,Bacteria,12,11.76470588235294,4958,955652,3048,35,22.875816993464053,18046
CPC-13,Bacteria,31,15.816326530612246,17282,1525102,4793,140,46.82274247491639,79724
CPC-21,Bacteria,10,5.555555555555555,5241,1950851,5852,60,22.388059701492537,30560
CPC-32,Bacteria,5,3.787878787878788,2630,1020963,3335,39,20.74468085106383,20116
CPC-45,Bacteria,11,8.870967741935484,4862,1084980,3469,43,23.118279569892472,18213
CPC-320,Bacteria,4,4.301075268817205,1659,985623,3286,18,12.857142857142856,8087
CPC-38,Bacteria,18,10.0,8935,1490396,4591,63,25.099601593625497,30267
CPC-75,Bacteria,4,5.47945205479452,1947,684771,2122,60,42.25352112676056,38398
CPC-310,Bacteria,12,12.244897959183673,7117,719088,2148,76,45.78313253012048,47194
CPC-30,Bacteria,1,1.4925373134328357,312,612884,1957,9,10.0,3496
CPC-1232,Bacteria,2,2.197802197802198,1101,547521,1815,12,15.384615384615385,7101
CPC-47,Bacteria,8,10.256410256410255,3730,650459,2175,60,40.54054054054054,31612
CPC-322,Bacteria,10,8.849557522123893,6412,845161,2401,48,38.70967741935484,28587
CPC-297,Bacteria,11,8.94308943089431,7652,906146,2567,46,40.35087719298245,27877
CPC-309,Bacteria,5,6.756756756756757,2034,905046,2894,28,24.778761061946902,9353
CPC-11,Bacteria,15,11.71875,7011,1094382,3381,45,27.10843373493976,21866
CPC-6,Bacteria,19,11.585365853658537,9373,1233095,3851,124,48.249027237354085,69885
CPC-29,Bacteria,1,1.7543859649122806,625,427051,1364,12,22.641509433962266,5399
CPC-1326,Bacteria,11,14.102564102564102,6501,529220,1598,44,44.0,27348
CPC-23,Bacteria,32,13.278008298755188,21686,1423238,4124,47,34.81481481481482,26036
CPC-54,Bacteria,13,13.0,7151,776952,2567,69,43.39622641509434,37561
CPC-59,Bacteria,6,7.792207792207792,2862,683769,2257,16,14.285714285714285,6501
CPC-53,Bacteria,1,0.9615384615384616,713,1092066,3479,10,6.944444444444445,5014
CPC-24,Bacteria,5,4.201680672268908,2411,1154619,3517,41,22.65193370165746,21068
CPC-1,Bacteria,14,6.451612903225806,7489,1732292,8395,24,11.76470588235294,9937
CPC-85,Bacteria,22,13.17365269461078,15022,1091646,2973,71,47.97297297297297,45153
CPC-16,Bacteria,5,8.620689655172415,1909,833416,2700,23,25.274725274725274,8680
CPC-61,Bacteria,3,2.7777777777777777,2125,938005,3099,22,18.487394957983195,11053
CPC-40,Bacteria,26,11.353711790393014,9971,1570436,5016,65,26.74897119341564,23283
CPC-289,Bacteria,2,4.25531914893617,1078,345513,1193,6,11.538461538461538,2797
CPC-72,Bacteria,12,9.090909090909092,5985,1120414,3401,47,24.479166666666664,21607
CPC-1399,Bacteria,10,14.925373134328357,5233,580599,1883,51,42.857142857142854,27063
CPC-98,Bacteria,33,18.435754189944134,20361,1072168,3206,0,0,0
CPC-319,Bacteria,13,10.15625,6080,756087,2318,57,39.310344827586206,31691
CPC-39,Bacteria,4,3.4782608695652173,2068,916147,3160,97,45.539906103286384,51484
CPC-33,Bacteria,10,11.627906976744185,3605,642901,2101,66,44.0,36510
CPC-5,Bacteria,15,11.278195488721805,10298,1024378,2976,110,52.38095238095239,71232
CPC-12,Bacteria,10,6.25,3658,1365057,4112,98,43.36283185840708,58506
CPC-294,Bacteria,102,38.49056603773585,58041,1150246,3371,145,58.70445344129555,109412
CPC-300,Bacteria,23,14.19753086419753,15445,874954,2362,45,37.1900826446281,24281
CPC-20,Bacteria,4,4.705882352941177,1958,762121,2477,35,21.21212121212121,17784
CPC-27,Bacteria,9,8.411214953271028,5622,1018503,3428,130,56.52173913043478,68076
CPC-50,Bacteria,27,14.594594594594595,18351,983713,2722,52,42.62295081967213,29703
CPC-62,Bacteria,14,12.173913043478262,6827,1127845,3716,44,23.28042328042328,18686
CPC-86,Bacteria,13,12.037037037037036,7818,903877,2487,51,35.66433566433567,36648
CPC-2,Bacteria,15,10.204081632653061,6124,1467782,4424,57,25.333333333333336,35360
CPC-8,Bacteria,18,11.11111111111111,8808,1419752,4407,47,25.96685082872928,20936
CPC-49,Bacteria,18,13.23529411764706,8528,1027227,3343,94,44.13145539906103,48102
CPC-34,Bacteria,12,10.619469026548673,7476,960045,2880,104,55.319148936170215,63310
CPC-43,Bacteria,9,5.389221556886228,4217,1393491,4353,41,20.098039215686274,18783
CPC-95,Bacteria,18,12.587412587412588,9300,1185430,3711,61,31.770833333333332,33838
deep_MAG_0339,Bacteria,6,10.526315789473683,4146,566529,1780,66,47.14285714285714,38432
deep_MAG_0344,Bacteria,0,0,0,1032127,3649,12,6.153846153846154,4475
deep_MAG_0047,Bacteria,14,12.727272727272727,6915,850120,2809,35,24.822695035460992,15430
deep_MAG_0400,Bacteria,1,2.127659574468085,627,767960,2690,13,10.0,6382
deep_MAG_0477,Bacteria,0,0,0,277307,973,8,20.0,2480
deep_MAG_0570,Bacteria,1,1.8518518518518516,534,629068,2201,14,12.280701754385964,6354
deep_MAG_0507,Archaea,0,0,0,399973,1362,6,9.523809523809524,3031
deep_MAG_0140,Bacteria,7,6.730769230769231,2657,1172490,3456,65,34.57446808510639,41622
deep_MAG_0137,Bacteria,16,11.851851851851853,7177,1507375,4769,46,20.353982300884958,16798
deep_MAG_0295,Bacteria,15,14.423076923076922,4985,890337,3006,37,23.56687898089172,13241
deep_MAG_0376,Bacteria,8,9.411764705882353,3511,810516,2724,86,45.5026455026455,44480
deep_MAG_0548,Bacteria,46,28.57142857142857,27950,1246878,3878,91,42.924528301886795,51382
deep_MAG_0075,Bacteria,15,11.278195488721805,6704,1159000,3762,38,20.76502732240437,15561
deep_MAG_0196,Archaea,0,0,0,260841,994,1,2.5,1246
deep_MAG_0178,Bacteria,3,5.263157894736842,1402,1093057,3701,45,31.46853146853147,21404
deep_MAG_0008,Bacteria,5,6.172839506172839,1751,876332,3410,36,17.82178217821782,18093
deep_MAG_0438,Bacteria,16,28.07017543859649,9996,528464,1582,45,41.284403669724774,25378
deep_MAG_0535,Bacteria,4,5.555555555555555,1832,971650,3138,14,8.13953488372093,6619
deep_MAG_0542,Bacteria,12,12.121212121212121,5384,1268197,4002,42,21.428571428571427,19208
deep_MAG_0320,Bacteria,9,14.754098360655737,3605,622969,2117,56,37.83783783783784,28358
deep_MAG_0250,Bacteria,7,12.068965517241379,3015,960012,2942,77,43.50282485875706,47240
deep_MAG_0617,Bacteria,17,18.88888888888889,8474,995387,3221,48,29.09090909090909,26079
deep_MAG_0153,Bacteria,14,12.612612612612612,6568,1084823,3455,90,44.33497536945813,51753
deep_MAG_0029,Bacteria,7,6.306306306306306,3252,943983,3228,90,40.909090909090914,48786
deep_MAG_0480,Bacteria,6,6.741573033707865,2871,742297,2489,12,10.81081081081081,5690
deep_MAG_0514,Bacteria,7,14.583333333333334,4576,556228,1574,30,31.914893617021278,17055
deep_MAG_0286,Bacteria,1,2.127659574468085,881,682169,2216,11,8.396946564885496,4605
deep_MAG_0262,Bacteria,8,7.207207207207207,4750,1606980,5065,35,14.17004048582996,13626
deep_MAG_0318,Bacteria,7,10.144927536231885,5187,1119932,3592,38,29.230769230769234,16364
deep_MAG_0082,Bacteria,6,10.0,2592,380770,1143,50,52.63157894736842,27457
deep_MAG_0161,Bacteria,11,13.580246913580247,7716,1257646,3945,248,68.31955922865014,138661
deep_MAG_0011,Bacteria,47,11.463414634146343,30895,1924857,5798,44,20.754716981132077,24034
deep_MAG_0185,Bacteria,15,12.605042016806722,8624,1235947,3929,49,24.019607843137255,28744
deep_MAG_0421,Bacteria,23,22.330097087378643,16056,2660476,6714,120,41.23711340206185,75407
deep_MAG_0166,Bacteria,21,14.583333333333334,11018,1568924,5017,47,19.747899159663866,23740
deep_MAG_0182,Bacteria,9,10.714285714285714,3999,858880,2881,38,30.64516129032258,15922
deep_MAG_0362,Bacteria,7,10.44776119402985,3026,958601,2764,83,48.53801169590643,52523
deep_MAG_0315,Bacteria,6,7.6923076923076925,2526,812104,2932,30,21.897810218978105,11199
deep_MAG_0218,Bacteria,10,16.666666666666664,5470,626463,1995,45,36.885245901639344,30211
deep_MAG_0368,Bacteria,4,7.6923076923076925,3138,788476,2297,43,38.392857142857146,27872
deep_MAG_0386,Bacteria,10,12.345679012345679,4457,1074177,3224,67,37.85310734463277,39579
deep_MAG_0212,Bacteria,2,5.405405405405405,1079,540128,2031,24,27.906976744186046,9682
deep_MAG_0564,Bacteria,10,11.11111111111111,4708,1166439,4083,27,12.053571428571429,13402
deep_MAG_0580,Bacteria,13,10.92436974789916,7029,963887,2902,82,48.23529411764706,54034
deep_MAG_0519,Bacteria,20,20.618556701030926,11494,726587,2235,26,30.23255813953488,14399
deep_MAG_0053,Bacteria,39,20.74468085106383,24630,1190294,3609,116,51.55555555555556,73485
deep_MAG_0327,Bacteria,7,9.58904109589041,3333,664747,2346,38,33.6283185840708,12515
deep_MAG_0435,Bacteria,6,6.741573033707865,2194,833137,2657,36,29.75206611570248,14463
deep_MAG_0108,Bacteria,41,23.699421965317917,24109,1214114,3645,104,47.27272727272727,62421
deep_MAG_0191,Bacteria,9,14.285714285714285,5964,635759,2006,66,46.15384615384615,44078
deep_MAG_0175,Bacteria,31,30.097087378640776,16347,824978,2698,81,45.76271186440678,41656
deep_MAG_0102,Bacteria,11,9.734513274336283,6700,807134,2446,75,41.66666666666667,52864
deep_MAG_0096,Bacteria,4,3.4482758620689653,1827,1052756,3632,21,11.797752808988763,8360
deep_MAG_0545,Bacteria,25,22.123893805309734,14309,1083846,3466,115,47.91666666666667,67794
deep_MAG_0040,Bacteria,16,8.791208791208792,7119,1142177,3616,33,20.88607594936709,12014
deep_MAG_0037,Bacteria,10,8.928571428571429,5820,1357020,4275,72,42.60355029585799,38716
deep_MAG_0593,Bacteria,21,17.5,13013,922801,2774,105,53.57142857142857,66318
deep_MAG_0494,Bacteria,12,10.714285714285714,6755,883493,2613,74,50.0,49543
deep_MAG_0603,Bacteria,10,11.494252873563218,6347,1031077,2995,109,53.69458128078818,71838
deep_MAG_0233,Bacteria,5,9.090909090909092,2173,724457,2340,29,27.358490566037734,12068
deep_MAG_0349,Bacteria,16,19.047619047619047,12056,1973800,4982,77,38.69346733668342,45273
deep_MAG_0239,Bacteria,14,16.27906976744186,7688,1098534,3291,84,40.77669902912621,65482
deep_MAG_0334,Bacteria,3,4.838709677419355,1427,651229,2052,24,24.0,8855
deep_MAG_0343,Bacteria,1,2.7027027027027026,747,489629,1580,11,14.864864864864865,4048
deep_MAG_0609,Bacteria,4,7.547169811320755,2131,703454,2208,53,34.64052287581699,35006
deep_MAG_0134,Bacteria,12,9.836065573770492,5266,1177773,4087,41,23.837209302325583,17819
deep_MAG_0490,Bacteria,13,9.090909090909092,7183,2050148,7021,67,26.07003891050584,41088
deep_MAG_0573,Bacteria,4,7.2727272727272725,2164,1041363,3409,42,31.343283582089555,19479
deep_MAG_0044,Bacteria,10,6.944444444444445,5689,1276460,4230,134,45.73378839590443,62697
deep_MAG_0149,Bacteria,5,6.8493150684931505,2287,951828,2822,30,20.408163265306122,13490
deep_MAG_0330,Bacteria,69,39.6551724137931,39546,1293305,4307,56,33.532934131736525,25960
deep_MAG_0347,Bacteria,13,12.745098039215685,5742,1102510,3548,47,29.19254658385093,26817
deep_MAG_0607,Bacteria,5,9.803921568627452,2721,599207,1859,20,21.50537634408602,10081
deep_MAG_0195,Bacteria,8,7.079646017699115,3419,1674779,5721,42,15.909090909090908,17318
deep_MAG_0098,Bacteria,6,5.263157894736842,3902,1061822,3416,136,59.130434782608695,70170
deep_MAG_0375,Bacteria,0,0,0,569635,2121,6,6.382978723404255,2776
deep_MAG_0296,Bacteria,15,12.82051282051282,6439,1141198,3658,36,20.0,13025
deep_MAG_0391,Bacteria,7,12.5,3875,855135,2556,167,62.546816479400746,96409
deep_MAG_0489,Bacteria,6,7.792207792207792,3564,963689,3053,112,53.333333333333336,56637
deep_MAG_0467,Bacteria,86,43.0,49380,1169160,3315,141,60.775862068965516,100274
deep_MAG_0410,Bacteria,19,17.75700934579439,14250,2765206,6921,119,41.17647058823529,76892
deep_MAG_0483,Bacteria,5,8.771929824561402,2757,687281,2253,24,24.489795918367346,9753
deep_MAG_0560,Bacteria,3,5.454545454545454,1158,678662,2370,22,19.130434782608695,8561
deep_MAG_0127,Bacteria,21,8.860759493670885,10270,1904688,6365,49,15.312500000000002,18394
deep_MAG_0614,Bacteria,0,0,0,824073,2880,8,5.442176870748299,3778
deep_MAG_0323,Bacteria,3,7.142857142857142,1749,535068,1772,23,27.058823529411764,9746
deep_MAG_0422,Bacteria,1,1.4084507042253522,345,1051156,3412,15,7.462686567164178,7650
deep_MAG_0455,Bacteria,2,4.3478260869565215,1362,810709,2660,13,9.848484848484848,6900
deep_MAG_0186,Bacteria,18,16.9811320754717,9087,896922,2963,82,42.05128205128205,45472
deep_MAG_0162,Bacteria,0,0,0,574795,1940,6,5.357142857142857,2286
deep_MAG_0081,Bacteria,16,8.98876404494382,7035,1688336,4807,72,30.76923076923077,33972
deep_MAG_0018,Bacteria,0,0,0,549847,2233,6,6.741573033707865,2650
deep_MAG_0366,Bacteria,10,10.416666666666668,4891,1100327,3254,56,30.76923076923077,38921
deep_MAG_0285,Bacteria,11,8.148148148148149,6469,1844977,5948,48,19.834710743801654,33211
deep_MAG_0282,Bacteria,3,7.317073170731707,1391,428574,1464,8,10.81081081081081,2948
deep_MAG_0361,Bacteria,10,11.904761904761903,4214,968799,3112,44,26.82926829268293,18558
deep_MAG_0452,Bacteria,2,4.0,817,536591,1562,11,20.754716981132077,5191
deep_MAG_0528,Bacteria,17,13.492063492063492,7702,1268024,4100,39,19.597989949748744,14788
deep_MAG_0181,Bacteria,4,9.75609756097561,1455,370353,1361,8,11.940298507462686,2482
deep_MAG_0118,Bacteria,17,10.559006211180124,8085,1410378,4573,59,27.314814814814813,22484
deep_MAG_0165,Bacteria,31,22.463768115942027,17260,1160516,3783,95,45.023696682464454,53251
deep_MAG_0555,Bacteria,126,43.29896907216495,69270,1678694,5336,196,58.160237388724035,144665
deep_MAG_0223,Bacteria,5,7.352941176470589,2153,878915,2798,119,56.39810426540285,60486
deep_MAG_0353,Bacteria,2,4.545454545454546,666,500592,1757,20,22.988505747126435,8101
deep_MAG_0229,Bacteria,40,21.85792349726776,15329,1521804,5455,59,20.344827586206897,20078
deep_MAG_0619,Bacteria,9,14.754098360655737,5882,696824,2028,120,58.252427184466015,74583
deep_MAG_0027,Bacteria,21,12.5,11301,1327741,3856,139,58.15899581589959,91623
deep_MAG_0050,Bacteria,3,2.857142857142857,1662,813924,2634,60,39.735099337748345,29799
deep_MAG_0510,Bacteria,16,24.615384615384617,8696,520484,1816,52,36.61971830985916,27955
deep_MAG_0484,Bacteria,5,7.8125,2833,791038,2459,39,28.676470588235293,20170
deep_MAG_0305,Bacteria,8,9.195402298850574,3918,826972,2641,26,20.634920634920633,10734
deep_MAG_0291,Bacteria,99,45.83333333333333,54352,1136069,3381,124,55.85585585585585,77607
deep_MAG_0275,Bacteria,1,2.1739130434782608,513,1015096,3799,13,6.018518518518518,6113
deep_MAG_0202,Bacteria,21,12.650602409638553,9499,1828993,5979,64,22.535211267605636,27409
deep_MAG_0378,Bacteria,58,32.402234636871505,36470,1398997,4022,138,52.27272727272727,83898
deep_MAG_0531,Bacteria,11,10.476190476190476,4478,969228,3365,35,23.809523809523807,14859
deep_MAG_0101,Bacteria,1,1.2345679012345678,336,649571,2308,10,9.25925925925926,3856
deep_MAG_0095,Bacteria,2,2.7777777777777777,937,507027,1718,9,9.574468085106384,3508
deep_MAG_0176,Bacteria,1,1.6666666666666667,732,738323,2602,27,26.732673267326735,11425
deep_MAG_0441,Bacteria,9,9.0,3464,694330,2271,23,22.115384615384613,10544
deep_MAG_0340,Bacteria,6,12.76595744680851,3585,764607,2434,101,52.879581151832454,55202
deep_MAG_0600,Bacteria,16,19.51219512195122,8126,724378,2612,63,34.42622950819672,33715
deep_MAG_0144,Bacteria,15,12.931034482758621,8414,1337258,4312,41,20.812182741116754,23278
deep_MAG_0503,Bacteria,20,22.47191011235955,12886,776336,2226,38,33.04347826086956,20468
deep_MAG_0509,Bacteria,24,14.634146341463413,9283,1733932,5691,60,23.904382470119522,23134
deep_MAG_0590,Bacteria,6,9.230769230769232,4624,916477,2787,117,57.35294117647059,56910
deep_MAG_0404,Bacteria,7,13.20754716981132,4107,429745,1283,48,47.524752475247524,27616
deep_MAG_0533,Bacteria,10,7.575757575757576,3866,1073516,3390,27,16.875,9766
deep_MAG_0103,Bacteria,4,5.128205128205128,2221,925469,2870,44,34.92063492063492,19877
deep_MAG_0539,Bacteria,37,25.170068027210885,20966,3385254,10009,129,36.440677966101696,61958
deep_MAG_0434,Bacteria,10,12.5,5936,1491903,4351,70,36.08247422680412,31735
deep_MAG_0307,Archaea,0,0,0,353174,1189,5,8.928571428571429,3821
deep_MAG_0293,Bacteria,0,0,0,996720,3404,10,5.0,3883
deep_MAG_0200,Bacteria,4,9.30232558139535,2026,458394,1455,33,34.375,21733
deep_MAG_0146,Bacteria,0,0,0,950359,3683,7,3.5532994923857872,2558
deep_MAG_0131,Bacteria,4,8.88888888888889,1517,392287,1349,6,9.230769230769232,2496
deep_MAG_0592,Bacteria,12,11.76470588235294,6116,1057566,3551,45,22.84263959390863,25913
deep_MAG_0471,Bacteria,10,14.084507042253522,6374,711279,2336,51,34.22818791946309,38149
deep_MAG_0036,Bacteria,70,28.688524590163933,41621,1571797,4744,138,51.11111111111111,79321
deep_MAG_0608,Bacteria,45,26.47058823529412,25248,1992438,5488,197,55.6497175141243,130617
deep_MAG_0238,Bacteria,5,9.25925925925926,2502,495705,1599,44,40.36697247706422,26327
deep_MAG_0342,Bacteria,5,8.771929824561402,2449,542116,1844,22,24.444444444444443,9294
