bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-432,4403.574695901654,200940.90141495326,1128616.0930397108,15288.558408912442
RS-434,580603.6064341458,2737935.4047708013,15637384.481393838,2999079.625210976
RS-435,2243679.8179446575,4109071.4374420526,22923340.785565022,11301780.692928929
RS-438,17682.78469067302,155050.3836169355,916943.1008905238,98986.38343171391
RS-439,4989.34688756988,4334.1712563904875,27089.466098231173,20662.246002755342
RS-440,2886.5859771070686,11449.17258450501,71558.16032188952,13579.44738179029
RS-447,1885977.3123793537,49919.347563340336,274038.2220848829,8369886.444959924
RS-453,270117.90338972723,1126052.06952305,6448289.280721219,1414943.0557944477
RS-454,3209238.78196411,1013155.2184117406,5372078.144629672,14318990.065348897
RS-456,2343434.1167654213,2542578.341625603,13381540.653423408,10419465.463472372
RS-458,2029179.3294773973,9249816.587994937,49416412.09689322,9546242.9287474
RS-460,734104.2722815914,8416230.71442128,45168467.58883765,3567348.892179633
RS-464,2398756.9428568017,381206.26440356596,2014684.016299905,11183056.061167637
RS-465,1025385.7897642403,11025017.62680884,60805853.37821986,5115805.753817476
RS-467,6741.899654947867,112892.10029923069,659124.8869825676,40557.92528643918
RS-472,15491.80051019387,610109.1741165223,3503085.7784648836,86659.11063507767
RS-508,1437410.6927575762,2890275.069335525,16696075.037069203,7620633.33892379
RS-535,1294022.270540363,578438.1883241171,3265079.4861292867,6534658.022933816
RS-604,7962.681375409565,55253.37688718916,307894.6251708635,40591.30732237467
RS-615,4666617.621762405,3589204.8172371257,19027064.466634247,21303860.01996411
RS-626,2771869.1964510023,6685120.368043144,38084207.89008141,14465219.277356422
RS-648,3364328.241218733,8532359.279777836,48343761.91089443,17463208.572540578
RS-652,4323255.279969229,1763547.0228370386,9679519.079646045,21059411.645779494
RS-654,1029665.0139582623,153098.09972961046,850045.8437004419,5043898.38345227
RS-665,378984.419623174,3662787.0910717784,20311646.32981906,1872836.8860562854
RS-668,446659.5949506954,2178161.885762845,12293804.171337973,2358930.973410991
RS-678,11549.510422335998,42870.991641960536,241780.52136287623,61884.22302655344
RS-697,2723059.9409398735,2394239.3410878177,13196061.141514517,13199697.450352646
RS-797,329427.12031101924,2448335.5941683147,12849378.990957554,1497586.1064909846
RS-814,10283901.797173437,2529873.3523725113,14002669.393332886,50102816.06655555
RS-815,1546024.8590926258,2005405.4718695607,11455066.557901824,8076982.010674975
RS-816,14837.1187669154,335012.7015452716,1907621.3818859137,87769.20941340263
RS-817,7566.634702276366,168593.61046674807,891811.6011004315,36089.91471959119
RS-819,3307786.412311514,8682888.274181725,49577450.17829311,17517183.56388983
RS-820,6742506.894521632,4086332.4282471365,22922828.924780957,33741329.94532117
RS-821,3024716.817504157,5777100.702106917,30461009.745551113,13783918.114345951
RS-822,5253972.84556115,15905542.185807655,83878393.50775954,24212690.19061133
RS-826,1943549.0369319634,32549.108015186506,174199.81734446678,9388809.54437059
