gene_callers_id,contig,start,stop,direction,partial,call_type,integron,ocean,annotation,accession,function
184140,c_15980,1900,3304,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
184141,c_15980,3296,4559,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
192677,c_16870,140,617,f,0,1,CALIN,ARS,protein,nan,nan
192678,c_16870,904,2389,f,0,1,CALIN,ARS,protein,nan,nan
192679,c_16870,2391,3231,f,0,1,CALIN,ARS,protein,nan,nan
192680,c_16870,3232,4360,f,1,1,CALIN,ARS,protein,nan,nan
214616,c_19210,24284,25967,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
214617,c_19210,25994,26345,f,0,1,CALIN,ARS,protein,nan,nan
214618,c_19210,26349,27072,r,0,1,CALIN,ARS,protein,F,Nucleotide transport and metabolism
214619,c_19210,27301,27601,f,0,1,CALIN,ARS,protein,nan,nan
231735,c_21159,0,165,r,1,1,CALIN,ARS,protein,J,"Translation, ribosomal structure and biogenesis"
231736,c_21159,161,398,r,0,1,CALIN,ARS,protein,nan,nan
231737,c_21159,375,1134,r,0,1,CALIN,ARS,protein,H,Coenzyme transport and metabolism
231738,c_21159,1114,2623,r,0,1,CALIN,ARS,protein,nan,nan
231739,c_21159,2700,3327,r,0,1,CALIN,ARS,protein,nan,nan
231740,c_21159,3406,3850,r,0,1,CALIN,ARS,protein,H,Coenzyme transport and metabolism
231741,c_21159,3908,4478,r,0,1,CALIN,ARS,protein,M,Cell wall/membrane/envelope biogenesis
231742,c_21159,4745,4868,r,0,1,CALIN,ARS,protein,nan,nan
231743,c_21159,4830,4932,r,0,1,CALIN,ARS,protein,nan,nan
241253,c_22255,1897,2527,f,0,1,CALIN,ARS,protein,nan,nan
241254,c_22255,2749,3169,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
241255,c_22255,3379,4774,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
241256,c_22255,4900,5464,f,0,1,CALIN,ARS,protein,R,General function prediction only
252630,c_23662,2497,2950,f,0,1,CALIN,ARS,protein,nan,nan
252631,c_23662,2942,3836,f,0,1,CALIN,ARS,protein,nan,nan
252632,c_23662,3835,4162,f,0,1,CALIN,ARS,protein,nan,nan
252633,c_23662,4142,4499,f,0,1,CALIN,ARS,protein,G,Carbohydrate transport and metabolism
252634,c_23662,4501,5356,f,0,1,CALIN,ARS,protein,nan,nan
252635,c_23662,5352,6162,f,0,1,CALIN,ARS,protein,R!!!N,General function prediction only
252635,c_23662,5352,6162,f,0,1,CALIN,ARS,protein,R!!!N,Cell motility
256856,c_24124,14592,15990,f,0,1,CALIN,ARS,protein,nan,nan
265009,c_25076,4668,5607,r,0,1,CALIN,ARS,protein,R,General function prediction only
265010,c_25076,5876,6938,f,0,1,CALIN,ARS,protein,nan,nan
265011,c_25076,6948,7281,r,0,1,CALIN,ARS,protein,H!!!R,Coenzyme transport and metabolism
265011,c_25076,6948,7281,r,0,1,CALIN,ARS,protein,H!!!R,General function prediction only
265012,c_25076,7264,8032,r,0,1,CALIN,ARS,protein,H!!!R,Coenzyme transport and metabolism
265012,c_25076,7264,8032,r,0,1,CALIN,ARS,protein,H!!!R,General function prediction only
265013,c_25076,8206,8623,f,0,1,CALIN,ARS,protein,S,Function unknown
265014,c_25076,8773,9520,r,0,1,CALIN,ARS,protein,nan,nan
267135,c_25345,1,1429,f,1,1,CALIN,ARS,protein,nan,nan
267136,c_25345,1443,1740,r,0,1,CALIN,ARS,protein,nan,nan
267137,c_25345,1847,3860,f,0,1,CALIN,ARS,protein,X,"Mobilome: prophages, transposons"
267138,c_25345,3864,4395,f,0,1,CALIN,ARS,protein,nan,nan
276089,c_26514,1946,2345,f,0,1,CALIN,ARS,protein,nan,nan
276090,c_26514,2348,2546,f,0,1,CALIN,ARS,protein,nan,nan
276091,c_26514,2538,2967,f,0,1,CALIN,ARS,protein,nan,nan
276092,c_26514,2983,3922,f,0,1,CALIN,ARS,protein,nan,nan
276093,c_26514,3926,4388,f,0,1,CALIN,ARS,protein,nan,nan
276094,c_26514,4446,5013,f,0,1,CALIN,ARS,protein,nan,nan
276095,c_26514,5028,5934,f,0,1,CALIN,ARS,protein,nan,nan
305903,c_30087,16951,17074,r,0,1,CALIN,ARS,protein,nan,nan
305904,c_30087,17744,18014,r,0,1,CALIN,ARS,protein,nan,nan
305905,c_30087,18343,18754,r,0,1,CALIN,ARS,protein,nan,nan
305906,c_30087,18734,19139,r,0,1,CALIN,ARS,protein,nan,nan
305907,c_30087,19138,19462,r,0,1,CALIN,ARS,protein,nan,nan
305908,c_30087,19461,20388,r,0,1,CALIN,ARS,protein,nan,nan
330677,c_32192,2,935,r,1,1,complete,ARS,protein,M,Cell wall/membrane/envelope biogenesis
330683,c_32192,3532,4501,r,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
330684,c_32192,4901,5192,f,0,1,complete,ARS,protein,nan,nan
330685,c_32192,5219,5597,f,0,1,complete,ARS,protein,nan,nan
338812,c_32724,556,829,r,0,1,CALIN,ARS,protein,nan,nan
338813,c_32724,825,1170,r,0,1,CALIN,ARS,protein,nan,nan
338814,c_32724,1387,1600,r,0,1,CALIN,ARS,protein,nan,nan
338815,c_32724,1831,2032,f,0,1,CALIN,ARS,protein,nan,nan
338816,c_32724,2021,2801,f,0,1,CALIN,ARS,protein,nan,nan
338817,c_32724,2861,3989,f,0,1,CALIN,ARS,protein,nan,nan
340178,c_32834,0,243,f,1,1,CALIN,ARS,protein,nan,nan
340179,c_32834,361,688,f,0,1,CALIN,ARS,protein,nan,nan
340180,c_32834,812,1214,f,0,1,CALIN,ARS,protein,nan,nan
340181,c_32834,1334,1514,f,0,1,CALIN,ARS,protein,nan,nan
340182,c_32834,2103,2613,f,0,1,CALIN,ARS,protein,nan,nan
340183,c_32834,2703,3060,f,0,1,CALIN,ARS,protein,nan,nan
368701,c_34676,152,887,r,0,1,CALIN,ARS,protein,S,Function unknown
368702,c_34676,1030,1309,r,0,1,CALIN,ARS,protein,nan,nan
368703,c_34676,1431,1728,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
368704,c_34676,1727,2006,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
368705,c_34676,2154,2811,r,0,1,CALIN,ARS,protein,nan,nan
368706,c_34676,2963,3362,r,0,1,CALIN,ARS,protein,nan,nan
368707,c_34676,3502,3844,r,1,1,CALIN,ARS,protein,nan,nan
381487,c_35532,1594,1849,f,0,1,CALIN,ARS,protein,nan,nan
381488,c_35532,2066,2312,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
381489,c_35532,2327,2519,r,0,1,CALIN,ARS,protein,R,General function prediction only
381490,c_35532,2714,3233,r,0,1,CALIN,ARS,protein,nan,nan
381491,c_35532,3320,3884,r,0,1,CALIN,ARS,protein,I,Lipid transport and metabolism
381492,c_35532,4038,4635,r,0,1,CALIN,ARS,protein,nan,nan
381593,c_35537,2957,3764,r,0,1,CALIN,ARS,protein,nan,nan
381594,c_35537,3766,4543,r,0,1,CALIN,ARS,protein,nan,nan
381595,c_35537,4546,4702,r,0,1,CALIN,ARS,protein,nan,nan
381596,c_35537,4883,5207,r,0,1,CALIN,ARS,protein,E!!!F,Amino acid transport and metabolism
381596,c_35537,4883,5207,r,0,1,CALIN,ARS,protein,E!!!F,Nucleotide transport and metabolism
417103,c_37969,21001,21652,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
417104,c_37969,21638,21902,r,0,1,CALIN,ARS,protein,nan,nan
417105,c_37969,21969,22164,r,0,1,CALIN,ARS,protein,nan,nan
417106,c_37969,22239,22479,r,0,1,CALIN,ARS,protein,nan,nan
417107,c_37969,22551,22815,r,0,1,CALIN,ARS,protein,nan,nan
417108,c_37969,22885,23080,r,0,1,CALIN,ARS,protein,nan,nan
417109,c_37969,23145,23376,r,0,1,CALIN,ARS,protein,nan,nan
431688,c_38984,305,524,f,0,1,CALIN,ARS,protein,nan,nan
431689,c_38984,649,1366,f,0,1,CALIN,ARS,protein,nan,nan
431690,c_38984,1492,2374,f,0,1,CALIN,ARS,protein,nan,nan
431691,c_38984,2485,3328,f,0,1,CALIN,ARS,protein,nan,nan
432469,c_39047,2,152,r,1,1,complete,ARS,protein,J!!!O,"Translation, ribosomal structure and biogenesis"
432469,c_39047,2,152,r,1,1,complete,ARS,protein,J!!!O,"Posttranslational modification, protein turnover, chaperones"
432470,c_39047,138,255,r,0,1,complete,ARS,protein,nan,nan
432471,c_39047,244,643,r,0,1,complete,ARS,protein,nan,nan
432472,c_39047,1064,2033,f,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
432478,c_39047,6742,7345,f,1,1,complete,ARS,protein,H,Coenzyme transport and metabolism
452340,c_40535,38379,38535,r,0,1,CALIN,ARS,protein,nan,nan
452341,c_40535,38603,38840,r,0,1,CALIN,ARS,protein,nan,nan
452342,c_40535,39118,40204,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
462156,c_41251,9359,10328,r,0,1,In0,ARS,intI,L,"Replication, recombination and repair"
467497,c_41673,2,215,f,1,1,CALIN,ARS,protein,I,Lipid transport and metabolism
467498,c_41673,129,963,r,0,1,CALIN,ARS,protein,nan,nan
467499,c_41673,1406,2381,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
467500,c_41673,2602,3475,f,0,1,CALIN,ARS,protein,nan,nan
467501,c_41673,3935,4130,r,0,1,CALIN,ARS,protein,nan,nan
467502,c_41673,4164,5469,r,0,1,CALIN,ARS,protein,G,Carbohydrate transport and metabolism
472878,c_42101,2619,3273,f,0,1,CALIN,ARS,protein,nan,nan
472879,c_42101,3269,5522,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
481967,c_42831,10943,11165,r,0,1,CALIN,ARS,protein,nan,nan
481968,c_42831,11237,11429,r,0,1,CALIN,ARS,protein,nan,nan
488628,c_43399,115,685,f,0,1,CALIN,ARS,protein,nan,nan
488629,c_43399,800,1262,f,0,1,CALIN,ARS,protein,nan,nan
488630,c_43399,1379,2291,f,0,1,CALIN,ARS,protein,nan,nan
488631,c_43399,2369,2807,f,0,1,CALIN,ARS,protein,nan,nan
488632,c_43399,2903,3284,f,0,1,CALIN,ARS,protein,nan,nan
491991,c_43666,1571,2036,r,0,1,complete,ARS,protein,nan,nan
491992,c_43666,2094,2550,r,0,1,complete,ARS,protein,R,General function prediction only
491993,c_43666,2927,3083,r,0,1,complete,ARS,protein,nan,nan
491994,c_43666,3085,3406,r,0,1,complete,ARS,protein,nan,nan
491995,c_43666,3462,3873,r,0,1,complete,ARS,protein,nan,nan
491996,c_43666,3977,4409,r,0,1,complete,ARS,protein,nan,nan
491997,c_43666,4739,5702,f,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
539975,c_47794,2,479,r,1,1,CALIN,ARS,protein,E,Amino acid transport and metabolism
546575,c_48351,7500,9375,f,0,1,CALIN,ARS,protein,T,Signal transduction mechanisms
555187,c_49089,42878,43538,f,0,1,CALIN,ARS,protein,nan,nan
555188,c_49089,43634,45524,f,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
555189,c_49089,45946,46978,f,0,1,CALIN,ARS,protein,nan,nan
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,protein,K!!!N!!!W,Transcription
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,protein,K!!!N!!!W,Cell motility
555190,c_49089,47091,49086,f,0,1,CALIN,ARS,protein,K!!!N!!!W,Extracellular structures
555191,c_49089,49181,50126,f,0,1,CALIN,ARS,protein,nan,nan
558400,c_49381,2,707,r,1,1,complete,ARS,intI,L,"Replication, recombination and repair"
558403,c_49381,2059,2482,f,0,1,complete,ARS,protein,nan,nan
558404,c_49381,2618,3026,f,0,1,complete,ARS,protein,nan,nan
558405,c_49381,3143,3434,f,0,1,complete,ARS,protein,nan,nan
558406,c_49381,3570,4200,f,0,1,complete,ARS,protein,nan,nan
558407,c_49381,4369,4633,f,0,1,complete,ARS,protein,nan,nan
558408,c_49381,4634,4787,f,0,1,complete,ARS,protein,nan,nan
558409,c_49381,4776,4911,f,0,1,complete,ARS,protein,nan,nan
560673,c_49588,183,924,f,0,1,In0,ARS,intI,L,"Replication, recombination and repair"
561580,c_49656,933,1893,r,0,1,In0,ARS,intI,L,"Replication, recombination and repair"
566883,c_50135,975,1431,r,0,1,CALIN,ARS,protein,nan,nan
566884,c_50135,1526,2126,r,0,1,CALIN,ARS,protein,nan,nan
566885,c_50135,2264,2495,r,0,1,CALIN,ARS,protein,nan,nan
566886,c_50135,2618,3107,r,0,1,CALIN,ARS,protein,nan,nan
566887,c_50135,3249,3816,r,0,1,CALIN,ARS,protein,nan,nan
566888,c_50135,3934,4294,r,0,1,CALIN,ARS,protein,nan,nan
568055,c_50242,1,1984,f,1,1,complete,ARS,protein,nan,nan
568059,c_50242,5482,6451,r,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
568060,c_50242,6829,7168,f,0,1,complete,ARS,protein,nan,nan
568061,c_50242,7315,7540,f,0,1,complete,ARS,protein,nan,nan
568062,c_50242,7536,7830,f,0,1,complete,ARS,protein,nan,nan
568063,c_50242,7915,8332,f,0,1,complete,ARS,protein,J,"Translation, ribosomal structure and biogenesis"
568064,c_50242,8441,8771,f,0,1,complete,ARS,protein,nan,nan
568065,c_50242,8836,9205,f,0,1,complete,ARS,protein,nan,nan
568066,c_50242,9391,11272,f,0,1,complete,ARS,protein,U,"Intracellular trafficking, secretion, and vesicular transport"
568067,c_50242,11289,11913,f,0,1,complete,ARS,protein,nan,nan
568068,c_50242,12032,12362,f,0,1,complete,ARS,protein,nan,nan
568069,c_50242,12463,12862,f,0,1,complete,ARS,protein,S,Function unknown
568070,c_50242,12941,13397,f,0,1,complete,ARS,protein,R,General function prediction only
568071,c_50242,13458,13926,f,0,1,complete,ARS,protein,nan,nan
568072,c_50242,14013,14076,f,1,1,complete,ARS,attC,nan,nan
572187,c_50548,4265,4895,f,0,1,CALIN,ARS,protein,C,Energy production and conversion
572188,c_50548,5117,5411,f,0,1,CALIN,ARS,protein,nan,nan
572189,c_50548,5531,7154,r,0,1,CALIN,ARS,protein,J,"Translation, ribosomal structure and biogenesis"
575046,c_50772,2480,3173,f,0,1,CALIN,ARS,protein,nan,nan
575047,c_50772,3355,4087,f,0,1,CALIN,ARS,protein,nan,nan
575048,c_50772,4061,4160,f,0,1,CALIN,ARS,protein,nan,nan
575049,c_50772,4284,5427,f,0,1,CALIN,ARS,protein,nan,nan
575050,c_50772,5584,6094,f,0,1,CALIN,ARS,protein,K,Transcription
575051,c_50772,6086,6434,f,0,1,CALIN,ARS,protein,nan,nan
577431,c_50953,35183,35345,r,0,1,CALIN,ARS,protein,nan,nan
577432,c_50953,35393,35636,f,0,1,CALIN,ARS,protein,K,Transcription
577433,c_50953,35620,35962,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
577434,c_50953,36086,36866,f,0,1,CALIN,ARS,protein,H,Coenzyme transport and metabolism
581574,c_51361,3626,4349,r,0,1,CALIN,ARS,protein,T!!!K,Signal transduction mechanisms
581574,c_51361,3626,4349,r,0,1,CALIN,ARS,protein,T!!!K,Transcription
581575,c_51361,4453,5707,r,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
581576,c_51361,5889,6786,r,0,1,CALIN,ARS,protein,G,Carbohydrate transport and metabolism
583299,c_51540,1,718,f,1,1,CALIN,ARS,protein,nan,nan
583302,c_51540,4770,5058,r,0,1,CALIN,ARS,protein,nan,nan
583303,c_51540,5137,5776,r,0,1,CALIN,ARS,protein,V!!!T,Defense mechanisms
583303,c_51540,5137,5776,r,0,1,CALIN,ARS,protein,V!!!T,Signal transduction mechanisms
583304,c_51540,5923,6319,r,0,1,CALIN,ARS,protein,nan,nan
583305,c_51540,6415,6859,r,0,1,CALIN,ARS,protein,nan,nan
583306,c_51540,6930,7029,r,1,1,CALIN,ARS,protein,nan,nan
584626,c_51672,6493,9496,f,0,1,CALIN,ARS,protein,P,Inorganic ion transport and metabolism
584627,c_51672,9591,10914,f,1,1,CALIN,ARS,protein,G,Carbohydrate transport and metabolism
584738,c_51685,1337,1961,f,0,1,CALIN,ARS,protein,nan,nan
584739,c_51685,1975,2581,r,0,1,CALIN,ARS,protein,nan,nan
584740,c_51685,3391,3805,r,0,1,CALIN,ARS,protein,V,Defense mechanisms
584741,c_51685,4495,4732,f,0,1,CALIN,ARS,protein,nan,nan
584742,c_51685,4933,5413,f,0,1,CALIN,ARS,protein,H!!!C,Coenzyme transport and metabolism
584742,c_51685,4933,5413,f,0,1,CALIN,ARS,protein,H!!!C,Energy production and conversion
585249,c_51726,6284,6635,f,0,1,CALIN,ARS,protein,nan,nan
585250,c_51726,7195,7705,f,0,1,CALIN,ARS,protein,nan,nan
585251,c_51726,7850,8141,f,0,1,CALIN,ARS,protein,nan,nan
585252,c_51726,8504,9281,f,0,1,CALIN,ARS,protein,nan,nan
585253,c_51726,9381,9981,r,0,1,CALIN,ARS,protein,nan,nan
585642,c_51759,1700,2057,f,0,1,CALIN,ARS,protein,nan,nan
585643,c_51759,2182,2440,r,0,1,CALIN,ARS,protein,nan,nan
585644,c_51759,2664,3306,f,0,1,CALIN,ARS,protein,nan,nan
585645,c_51759,3434,3893,f,0,1,CALIN,ARS,protein,nan,nan
590572,c_52223,102,639,r,0,1,complete,ARS,protein,nan,nan
590573,c_52223,664,1069,r,0,1,complete,ARS,protein,nan,nan
590574,c_52223,1375,2338,f,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
594595,c_52603,989,1676,r,0,1,CALIN,ARS,protein,nan,nan
594596,c_52603,1910,2528,r,0,1,CALIN,ARS,protein,nan,nan
594597,c_52603,3523,3769,f,0,1,CALIN,ARS,protein,nan,nan
594598,c_52603,3682,3871,r,0,1,CALIN,ARS,protein,nan,nan
594599,c_52603,3867,3984,r,0,1,CALIN,ARS,protein,nan,nan
599084,c_52991,2323,3004,f,0,1,CALIN,ARS,protein,J,"Translation, ribosomal structure and biogenesis"
599085,c_52991,3000,4068,f,0,1,CALIN,ARS,protein,nan,nan
600866,c_53196,2,173,r,1,1,CALIN,ARS,protein,nan,nan
600867,c_53196,289,601,r,0,1,CALIN,ARS,protein,nan,nan
600868,c_53196,717,1113,r,0,1,CALIN,ARS,protein,nan,nan
600869,c_53196,1234,1567,r,0,1,CALIN,ARS,protein,nan,nan
600870,c_53196,1695,2115,r,0,1,CALIN,ARS,protein,nan,nan
600871,c_53196,2188,2476,r,0,1,CALIN,ARS,protein,nan,nan
600872,c_53196,2596,3199,r,0,1,CALIN,ARS,protein,C,Energy production and conversion
600873,c_53196,3736,4165,r,0,1,CALIN,ARS,protein,nan,nan
601562,c_53241,1374,1839,f,0,1,CALIN,ARS,protein,nan,nan
601563,c_53241,1943,2420,f,0,1,CALIN,ARS,protein,nan,nan
601564,c_53241,2520,3069,f,0,1,CALIN,ARS,protein,nan,nan
601565,c_53241,3190,3736,f,0,1,CALIN,ARS,protein,nan,nan
605793,c_53655,2252,2561,r,0,1,CALIN,ARS,protein,nan,nan
605794,c_53655,2776,3151,r,0,1,CALIN,ARS,protein,M,Cell wall/membrane/envelope biogenesis
605795,c_53655,3299,3623,r,0,1,CALIN,ARS,protein,nan,nan
605796,c_53655,3789,4035,r,0,1,CALIN,ARS,protein,nan,nan
607648,c_53789,1763,1985,r,0,1,CALIN,ARS,protein,nan,nan
607649,c_53789,2065,2233,r,0,1,CALIN,ARS,protein,nan,nan
607650,c_53789,2308,2572,r,0,1,CALIN,ARS,protein,nan,nan
607651,c_53789,2644,2857,r,0,1,CALIN,ARS,protein,nan,nan
607652,c_53789,2926,3154,r,0,1,CALIN,ARS,protein,nan,nan
607653,c_53789,3155,3287,r,0,1,CALIN,ARS,protein,nan,nan
607654,c_53789,3483,3765,r,0,1,CALIN,ARS,protein,nan,nan
607655,c_53789,3775,4102,r,0,1,CALIN,ARS,protein,nan,nan
607656,c_53789,4170,4473,r,0,1,CALIN,ARS,protein,nan,nan
607657,c_53789,4525,4732,r,0,1,CALIN,ARS,protein,nan,nan
608333,c_53832,46327,46600,r,0,1,CALIN,ARS,protein,nan,nan
608334,c_53832,46656,46893,r,0,1,CALIN,ARS,protein,nan,nan
608335,c_53832,46894,47218,r,0,1,CALIN,ARS,protein,R,General function prediction only
608336,c_53832,47871,48039,r,0,1,CALIN,ARS,protein,nan,nan
608337,c_53832,48031,48310,r,0,1,CALIN,ARS,protein,nan,nan
608338,c_53832,48752,49838,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
608339,c_53832,49883,50090,r,0,1,CALIN,ARS,protein,nan,nan
608340,c_53832,50176,50680,r,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
608341,c_53832,51008,51185,r,0,1,CALIN,ARS,protein,nan,nan
608342,c_53832,51181,51934,r,0,1,CALIN,ARS,protein,nan,nan
625251,c_55052,1,430,r,1,1,CALIN,ARS,protein,nan,nan
625252,c_55052,474,837,r,0,1,CALIN,ARS,protein,nan,nan
625253,c_55052,964,1399,r,0,1,CALIN,ARS,protein,nan,nan
625254,c_55052,1478,1925,r,0,1,CALIN,ARS,protein,nan,nan
625255,c_55052,2238,2898,r,0,1,CALIN,ARS,protein,nan,nan
625256,c_55052,2942,3305,r,0,1,CALIN,ARS,protein,nan,nan
631528,c_55553,4532,4697,r,0,1,CALIN,ARS,protein,nan,nan
631529,c_55553,4820,5123,r,0,1,CALIN,ARS,protein,nan,nan
635573,c_55857,2442,2736,f,0,1,CALIN,ARS,protein,nan,nan
635574,c_55857,2838,3168,f,0,1,CALIN,ARS,protein,nan,nan
635575,c_55857,3275,4106,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
635576,c_55857,4203,4764,f,0,1,CALIN,ARS,protein,nan,nan
635577,c_55857,4766,5186,f,0,1,CALIN,ARS,protein,nan,nan
635578,c_55857,5344,5683,f,1,1,CALIN,ARS,protein,S,Function unknown
641614,c_56321,193258,194188,f,0,1,CALIN,ARS,protein,nan,nan
641615,c_56321,194210,194732,f,0,1,CALIN,ARS,protein,nan,nan
641616,c_56321,194893,195175,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
641617,c_56321,195185,195482,f,0,1,CALIN,ARS,protein,V,Defense mechanisms
641618,c_56321,195587,195872,f,0,1,CALIN,ARS,protein,nan,nan
652395,c_57145,8835,9498,f,0,1,CALIN,ARS,protein,nan,nan
652396,c_57145,9567,9777,f,0,1,CALIN,ARS,protein,nan,nan
652397,c_57145,9751,9910,f,0,1,CALIN,ARS,protein,nan,nan
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,protein,E!!!R!!!L,Amino acid transport and metabolism
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,protein,E!!!R!!!L,General function prediction only
652398,c_57145,9902,10418,f,0,1,CALIN,ARS,protein,E!!!R!!!L,"Replication, recombination and repair"
652399,c_57145,10414,11779,f,0,1,CALIN,ARS,protein,nan,nan
653172,c_57232,3399,4815,f,0,1,CALIN,ARS,protein,nan,nan
653173,c_57232,4977,6285,f,0,1,CALIN,ARS,protein,G,Carbohydrate transport and metabolism
655838,c_57442,177820,178192,f,0,1,CALIN,ARS,protein,nan,nan
655839,c_57442,178279,178945,f,0,1,CALIN,ARS,protein,nan,nan
655840,c_57442,179026,179644,f,0,1,CALIN,ARS,protein,nan,nan
655841,c_57442,179764,179983,f,0,1,CALIN,ARS,protein,nan,nan
655842,c_57442,180056,180575,f,0,1,CALIN,ARS,protein,nan,nan
655843,c_57442,180674,181364,f,0,1,CALIN,ARS,protein,nan,nan
655844,c_57442,181456,182185,f,0,1,CALIN,ARS,protein,nan,nan
655845,c_57442,182267,183407,f,0,1,CALIN,ARS,protein,S,Function unknown
655846,c_57442,183482,184460,f,0,1,CALIN,ARS,protein,nan,nan
655847,c_57442,184449,185688,f,0,1,CALIN,ARS,protein,nan,nan
655848,c_57442,185756,186770,f,0,1,CALIN,ARS,protein,nan,nan
655849,c_57442,187476,188112,f,0,1,CALIN,ARS,protein,L,"Replication, recombination and repair"
661218,c_57836,450,1104,f,0,1,CALIN,ARS,protein,nan,nan
661219,c_57836,1105,1888,r,0,1,CALIN,ARS,protein,R,General function prediction only
661220,c_57836,1884,2685,r,0,1,CALIN,ARS,protein,R,General function prediction only
661221,c_57836,2779,3772,r,0,1,CALIN,ARS,protein,R,General function prediction only
663680,c_58054,2,131,r,1,1,CALIN,ARS,protein,nan,nan
663681,c_58054,494,677,f,0,1,CALIN,ARS,protein,nan,nan
663682,c_58054,770,989,f,0,1,CALIN,ARS,protein,nan,nan
663683,c_58054,1207,1390,f,0,1,CALIN,ARS,protein,nan,nan
663684,c_58054,1581,1794,f,0,1,CALIN,ARS,protein,nan,nan
663685,c_58054,1828,2035,f,0,1,CALIN,ARS,protein,nan,nan
663686,c_58054,2820,3204,r,0,1,CALIN,ARS,protein,nan,nan
663691,c_58054,4683,4773,r,1,1,CALIN,ARS,protein,nan,nan
665826,c_58226,101,392,r,0,1,CALIN,ARS,protein,nan,nan
665827,c_58226,1132,1402,r,0,1,CALIN,ARS,protein,nan,nan
665828,c_58226,2384,2723,r,0,1,CALIN,ARS,protein,nan,nan
665829,c_58226,2830,3184,r,0,1,CALIN,ARS,protein,nan,nan
671431,c_58668,27314,28160,r,0,1,complete,ARS,intI,L,"Replication, recombination and repair"
671432,c_58668,28383,28956,f,0,1,complete,ARS,protein,nan,nan
671433,c_58668,29017,29695,f,0,1,complete,ARS,protein,nan,nan
671434,c_58668,29802,30168,f,0,1,complete,ARS,protein,S,Function unknown
