bin,COG_group,total_metabolic_ORFs
ARS-75, 39 C 233 E 84 F 287 G 171 H 127 I 192 P,1133
ARS-76, 15 C 124 E 57 F 113 G 105 H 77 I 121 P,612
ARS-77, 16 C 196 E 58 F 76 G 125 H 111 I 50 P,632
ARS-7, 26 C 355 E 95 F 237 G 214 H 132 I 204 P,1263
ARS-81, 30 C 199 E 63 F 205 G 142 H 94 I 195 P,928
ARS-84, 22 C 263 E 58 F 142 G 141 H 142 I 70 P,838
ARS-86, 2 C 108 E 63 F 84 G 113 H 105 I 78 P,553
ARS-90, 30 C 159 E 68 F 111 G 128 H 128 I 126 P,750
ARS-93, 7 C 205 E 79 F 117 G 153 H 120 I 123 P,804
ARS-95, 6 C 97 E 54 F 68 G 68 H 97 I 61 P,451
EAC-102, 32 C 238 E 91 F 85 G 174 H 161 I 166 P,947
EAC-103, 20 C 203 E 103 F 257 G 167 H 139 I 165 P,1054
EAC-107, 9 C 91 E 63 F 44 G 102 H 79 I 50 P,438
EAC-108, 6 C 145 E 67 F 64 G 125 H 105 I 109 P,621
EAC-109, 3 C 166 E 67 F 58 G 150 H 115 I 126 P,685
EAC-10, 9 C 163 E 62 F 91 G 120 H 85 I 62 P,592
EAC-113, 4 C 97 E 43 F 52 G 98 H 49 I 29 P,372
EAC-117, 9 C 124 E 65 F 55 G 67 H 82 I 56 P,458
EAC-11, 6 C 93 E 65 F 84 G 76 H 89 I 49 P,462
EAC-13, 4 C 47 E 24 F 44 G 38 H 32 I 31 P,220
EAC-16, 18 C 363 E 117 F 133 G 186 H 181 I 163 P,1161
EAC-1768, 5 C 73 E 66 F 49 G 80 H 67 I 31 P,371
EAC-1785, 9 C 125 E 65 F 49 G 143 H 72 I 53 P,516
EAC-17, 32 C 296 E 92 F 297 G 207 H 183 I 234 P,1341
EAC-1, 12 C 175 E 58 F 86 G 130 H 152 I 121 P,734
EAC-2006, 2 C 116 E 47 F 67 G 86 H 55 I 57 P,430
EAC-2011, 9 C 148 E 65 F 72 G 127 H 109 I 67 P,597
EAC-2021, 6 C 215 E 68 F 132 G 215 H 178 I 83 P,897
EAC-2037, 18 C 196 E 58 F 90 G 122 H 77 I 60 P,621
EAC-20, 15 C 209 E 69 F 114 G 190 H 89 I 205 P,891
EAC-21, 21 C 518 E 84 F 184 G 253 H 248 I 205 P,1513
EAC-24, 11 C 218 E 78 F 118 G 234 H 311 I 87 P,1057
EAC-27, 20 C 176 E 58 F 183 G 165 H 129 I 148 P,879
EAC-29, 18 C 136 E 92 F 95 G 138 H 153 I 115 P,747
EAC-2, 16 C 178 E 48 F 113 G 155 H 156 I 138 P,804
EAC-30, 4 C 69 E 56 F 47 G 81 H 68 I 44 P,369
EAC-31, 5 C 174 E 51 F 56 G 121 H 102 I 103 P,612
EAC-32, 3 C 93 E 54 F 49 G 100 H 100 I 64 P,463
EAC-33, 3 C 90 E 57 F 63 G 93 H 80 I 49 P,435
EAC-34, 7 C 142 E 61 F 66 G 129 H 105 I 55 P,565
EAC-35, 8 C 194 E 88 F 109 G 213 H 295 I 83 P,990
EAC-36, 24 C 300 E 71 F 127 G 238 H 228 I 239 P,1227
EAC-37, 22 C 253 E 92 F 182 G 186 H 159 I 193 P,1087
EAC-38, 3 C 62 E 47 F 42 G 75 H 70 I 34 P,333
EAC-39, 19 C 204 E 95 F 115 G 180 H 99 I 200 P,912
EAC-3, 12 C 280 E 92 F 308 G 230 H 174 I 283 P,1379
EAC-41, 28 C 237 E 86 F 134 G 191 H 299 I 238 P,1213
EAC-42, 18 C 288 E 88 F 197 G 404 H 313 I 165 P,1473
EAC-43, 7 C 167 E 122 F 113 G 123 H 80 I 104 P,716
EAC-44, 19 C 219 E 77 F 95 G 123 H 101 I 134 P,768
EAC-45, 15 C 235 E 81 F 268 G 195 H 144 I 233 P,1171
EAC-46, 6 C 181 E 58 F 60 G 143 H 118 I 110 P,676
EAC-47, 31 C 253 E 76 F 111 G 198 H 150 I 196 P,1015
EAC-48, 32 C 431 E 80 F 179 G 194 H 188 I 168 P,1272
EAC-49, 42 C 370 E 91 F 137 G 192 H 170 I 235 P,1237
EAC-4, 12 C 236 E 76 F 224 G 181 H 159 I 251 P,1139
EAC-50, 38 C 283 E 81 F 142 G 205 H 202 I 209 P,1160
EAC-51, 2 C 145 E 66 F 80 G 108 H 82 I 100 P,583
EAC-52, 10 C 219 E 77 F 167 G 141 H 139 I 130 P,883
EAC-54, 16 C 229 E 75 F 161 G 178 H 229 I 141 P,1029
EAC-55, 19 C 196 E 71 F 55 G 152 H 117 I 161 P,771
EAC-56, 19 C 434 E 100 F 153 G 230 H 198 I 223 P,1357
EAC-58, 29 C 209 E 83 F 256 G 169 H 114 I 206 P,1066
EAC-59, 5 C 129 E 55 F 65 G 106 H 100 I 100 P,560
EAC-5, 10 C 203 E 73 F 110 G 129 H 119 I 99 P,743
EAC-60, 19 C 204 E 78 F 124 G 199 H 269 I 164 P,1057
EAC-623, 24 C 187 E 58 F 119 G 212 H 295 I 104 P,999
EAC-624, 7 C 123 E 59 F 41 G 65 H 89 I 46 P,430
EAC-625, 10 C 193 E 91 F 104 G 207 H 290 I 86 P,981
EAC-627, 16 C 268 E 80 F 153 G 350 H 285 I 120 P,1272
EAC-62, 11 C 226 E 76 F 173 G 154 H 140 I 136 P,916
EAC-631, 23 C 212 E 78 F 168 G 163 H 193 I 172 P,1009
EAC-632, 24 C 225 E 81 F 118 G 167 H 206 I 195 P,1016
EAC-634, 12 C 207 E 68 F 91 G 171 H 190 I 147 P,886
EAC-635, 19 C 198 E 58 F 118 G 131 H 125 I 94 P,743
EAC-63, 13 C 295 E 78 F 210 G 184 H 168 I 226 P,1174
EAC-642, 8 C 147 E 44 F 75 G 106 H 122 I 84 P,586
EAC-645, 24 C 365 E 124 F 281 G 188 H 167 I 184 P,1333
EAC-646, 22 C 185 E 63 F 221 G 144 H 107 I 201 P,943
EAC-647, 24 C 165 E 72 F 175 G 126 H 100 I 159 P,821
EAC-649, 2 C 74 E 43 F 52 G 70 H 63 I 35 P,339
EAC-64, 20 C 264 E 58 F 126 G 203 H 173 I 188 P,1032
EAC-650, 3 C 100 E 62 F 70 G 109 H 79 I 56 P,479
EAC-653, 13 C 200 E 54 F 75 G 116 H 90 I 47 P,595
EAC-654, 24 C 226 E 68 F 241 G 196 H 124 I 134 P,1013
EAC-657, 13 C 143 E 55 F 94 G 174 H 66 I 78 P,623
EAC-65, 11 C 183 E 72 F 104 G 169 H 234 I 102 P,875
EAC-662, 35 C 213 E 80 F 277 G 164 H 118 I 184 P,1071
EAC-66, 14 C 220 E 78 F 178 G 171 H 166 I 176 P,1003
EAC-670, 25 C 339 E 105 F 212 G 186 H 196 I 158 P,1221
EAC-673, 20 C 205 E 81 F 137 G 168 H 216 I 152 P,979
EAC-674, 2 C 140 E 52 F 116 G 90 H 83 I 115 P,598
EAC-676, 2 C 112 E 53 F 57 G 108 H 84 I 52 P,468
EAC-682, 5 C 139 E 61 F 86 G 83 H 82 I 62 P,518
EAC-683, 35 C 562 E 133 F 670 G 245 H 294 I 329 P,2268
EAC-68, 7 C 228 E 70 F 198 G 162 H 136 I 162 P,963
EAC-691, 4 C 107 E 41 F 56 G 63 H 28 I 33 P,332
EAC-695, 21 C 324 E 97 F 173 G 193 H 176 I 172 P,1156
EAC-69, 29 C 254 E 101 F 132 G 186 H 200 I 221 P,1123
EAC-6, 17 C 212 E 72 F 110 G 162 H 225 I 177 P,975
EAC-707, 17 C 213 E 106 F 187 G 177 H 121 I 163 P,984
EAC-708, 10 C 215 E 70 F 84 G 145 H 194 I 85 P,803
EAC-710, 6 C 79 E 64 F 41 G 90 H 67 I 40 P,387
EAC-713, 26 C 273 E 69 F 103 G 158 H 181 I 157 P,967
EAC-714, 2 C 118 E 38 F 63 G 79 H 63 I 58 P,421
EAC-71, 23 C 232 E 80 F 145 G 203 H 219 I 208 P,1110
EAC-723, 8 C 102 E 50 F 60 G 64 H 75 I 52 P,411
EAC-73, 30 C 440 E 103 F 334 G 232 H 215 I 265 P,1619
EAC-74, 9 C 151 E 69 F 121 G 155 H 142 I 141 P,788
EAC-75, 6 C 88 E 60 F 46 G 91 H 83 I 63 P,437
EAC-76, 39 C 376 E 102 F 246 G 249 H 281 I 204 P,1497
EAC-77, 18 C 199 E 73 F 104 G 189 H 232 I 169 P,984
EAC-78, 8 C 100 E 60 F 67 G 103 H 94 I 63 P,495
EAC-81, 21 C 214 E 90 F 152 G 251 H 359 I 162 P,1249
EAC-83, 5 C 126 E 45 F 69 G 156 H 103 I 50 P,554
EAC-85, 21 C 197 E 94 F 245 G 179 H 115 I 317 P,1168
EAC-86, 22 C 196 E 52 F 119 G 146 H 146 I 84 P,765
EAC-87, 27 C 635 E 105 F 331 G 286 H 397 I 344 P,2125
EAC-88, 23 C 263 E 76 F 168 G 136 H 125 I 99 P,890
EAC-91, 21 C 275 E 65 F 191 G 210 H 206 I 188 P,1156
EAC-92, 3 C 191 E 69 F 94 G 160 H 128 I 131 P,776
EAC-93, 21 C 170 E 67 F 84 G 167 H 96 I 162 P,767
EAC-94, 23 C 215 E 70 F 126 G 200 H 271 I 236 P,1141
EAC-95, 4 C 178 E 67 F 70 G 157 H 130 I 130 P,736
EAC-97, 7 C 150 E 52 F 69 G 109 H 141 I 87 P,615
EAC-98, 15 C 196 E 65 F 169 G 203 H 255 I 204 P,1107
EAC-99, 5 C 113 E 44 F 39 G 106 H 55 I 48 P,410
EAC-9, 14 C 258 E 87 F 166 G 228 H 274 I 106 P,1133
NAT-100, 9 C 236 E 91 F 99 G 161 H 235 I 96 P,927
NAT-101, 24 C 192 E 51 F 120 G 144 H 121 I 80 P,732
NAT-102, 21 C 271 E 76 F 113 G 164 H 154 I 65 P,864
NAT-108, 15 C 223 E 85 F 121 G 183 H 264 I 108 P,999
NAT-109, 19 C 221 E 82 F 136 G 149 H 115 I 102 P,824
NAT-10, 32 C 521 E 131 F 605 G 220 H 291 I 318 P,2118
NAT-111, 15 C 225 E 70 F 175 G 170 H 131 I 244 P,1030
NAT-113, 15 C 196 E 58 F 109 G 151 H 164 I 130 P,823
NAT-116, 11 C 226 E 98 F 218 G 159 H 108 I 171 P,991
NAT-117, 28 C 396 E 138 F 510 G 259 H 146 I 275 P,1752
NAT-118, 9 C 168 E 61 F 94 G 120 H 84 I 59 P,595
NAT-119, 3 C 149 E 75 F 65 G 120 H 131 I 61 P,604
NAT-11, 5 C 95 E 63 F 58 G 84 H 83 I 37 P,425
NAT-121, 30 C 223 E 72 F 181 G 264 H 376 I 257 P,1403
NAT-123, 42 C 430 E 148 F 395 G 328 H 231 I 303 P,1877
NAT-124, 23 C 285 E 136 F 399 G 240 H 139 I 209 P,1431
NAT-125, 23 C 160 E 63 F 87 G 158 H 84 I 203 P,778
NAT-127, 19 C 185 E 70 F 101 G 192 H 231 I 222 P,1020
NAT-129, 25 C 213 E 60 F 87 G 182 H 145 I 181 P,893
NAT-12, 1 C 114 E 86 F 66 G 75 H 61 I 38 P,441
NAT-130, 26 C 212 E 89 F 370 G 210 H 158 I 221 P,1286
NAT-131, 32 C 269 E 105 F 168 G 266 H 337 I 226 P,1403
NAT-132, 28 C 151 E 55 F 166 G 112 H 89 I 164 P,765
NAT-133, 10 C 225 E 75 F 152 G 160 H 124 I 143 P,889
NAT-134, 28 C 226 E 91 F 153 G 162 H 138 I 157 P,955
NAT-136, 3 C 80 E 57 F 50 G 85 H 61 I 42 P,378
NAT-137, 9 C 204 E 74 F 73 G 199 H 112 I 70 P,741
NAT-138, 7 C 165 E 64 F 121 G 135 H 132 I 98 P,722
NAT-139, 3 C 87 E 57 F 28 G 76 H 63 I 37 P,351
NAT-13, 7 C 188 E 65 F 65 G 136 H 116 I 45 P,622
NAT-141, 9 C 80 E 50 F 46 G 70 H 68 I 49 P,372
NAT-142, 24 C 136 E 46 F 166 G 97 H 74 I 154 P,697
NAT-143, 14 C 182 E 80 F 104 G 169 H 268 I 90 P,907
NAT-145, 3 C 112 E 71 F 113 G 110 H 63 I 109 P,581
NAT-146, 15 C 164 E 49 F 67 G 143 H 82 I 72 P,592
NAT-149, 10 C 164 E 68 F 137 G 128 H 112 I 92 P,711
NAT-14, 26 C 228 E 73 F 228 G 205 H 149 I 196 P,1105
NAT-154, 10 C 88 E 67 F 37 G 98 H 84 I 51 P,435
NAT-155, 41 C 306 E 61 F 343 G 230 H 235 I 166 P,1382
NAT-157, 14 C 154 E 63 F 67 G 172 H 156 I 170 P,796
NAT-158, 15 C 148 E 64 F 47 G 137 H 104 I 113 P,628
NAT-15, 13 C 244 E 76 F 283 G 214 H 159 I 261 P,1250
NAT-161, 2 C 141 E 58 F 112 G 105 H 94 I 92 P,604
NAT-163, 2 C 126 E 52 F 96 G 110 H 72 I 66 P,524
NAT-165, 4 C 112 E 66 F 64 G 125 H 110 I 70 P,551
NAT-166, 3 C 100 E 72 F 65 G 113 H 93 I 55 P,501
NAT-167, 33 C 629 E 157 F 424 G 278 H 301 I 332 P,2154
NAT-168, 8 C 96 E 47 F 47 G 72 H 52 I 24 P,346
NAT-169, 33 C 299 E 132 F 246 G 279 H 384 I 253 P,1626
NAT-16, 20 C 230 E 79 F 109 G 168 H 226 I 177 P,1009
NAT-170, 19 C 233 E 89 F 124 G 206 H 290 I 197 P,1158
NAT-171, 8 C 146 E 77 F 67 G 113 H 161 I 79 P,651
NAT-172, 5 C 131 E 62 F 84 G 112 H 75 I 52 P,521
NAT-173, 30 C 496 E 110 F 386 G 261 H 257 I 307 P,1847
NAT-175, 1 C 153 E 56 F 90 G 101 H 92 I 66 P,559
NAT-176, 13 C 151 E 56 F 92 G 150 H 168 I 107 P,737
NAT-178, 7 C 117 E 65 F 50 G 97 H 86 I 83 P,505
NAT-179, 3 C 91 E 63 F 52 G 98 H 78 I 54 P,439
NAT-17, 20 C 357 E 88 F 134 G 202 H 256 I 180 P,1237
NAT-181, 19 C 163 E 51 F 177 G 130 H 89 I 163 P,792
NAT-182, 5 C 190 E 50 F 92 G 112 H 75 I 50 P,574
NAT-185, 23 C 284 E 81 F 153 G 188 H 157 I 90 P,976
NAT-187, 6 C 136 E 65 F 99 G 122 H 103 I 94 P,625
NAT-188, 11 C 260 E 88 F 127 G 237 H 318 I 103 P,1144
NAT-18, 5 C 91 E 51 F 79 G 83 H 65 I 50 P,424
NAT-190, 6 C 164 E 59 F 67 G 102 H 81 I 45 P,524
NAT-197, 4 C 140 E 47 F 66 G 103 H 64 I 58 P,482
NAT-198, 3 C 98 E 56 F 55 G 82 H 81 I 47 P,422
NAT-19, 18 C 200 E 66 F 133 G 130 H 114 I 170 P,831
NAT-1, 17 C 315 E 70 F 329 G 221 H 142 I 254 P,1348
NAT-200, 1 C 85 E 49 F 48 G 77 H 63 I 36 P,359
NAT-201, 21 C 208 E 98 F 202 G 173 H 124 I 183 P,1009
NAT-203, 6 C 105 E 63 F 83 G 83 H 121 I 65 P,526
NAT-205, 2 C 103 E 67 F 62 G 99 H 91 I 51 P,475
NAT-206, 9 C 228 E 79 F 157 G 256 H 198 I 88 P,1015
NAT-209, 13 C 140 E 44 F 79 G 132 H 126 I 115 P,649
NAT-20, 31 C 436 E 117 F 278 G 225 H 334 I 252 P,1673
NAT-210, 10 C 213 E 75 F 276 G 170 H 148 I 211 P,1103
NAT-212, 12 C 191 E 55 F 202 G 167 H 165 I 194 P,986
NAT-217, 4 C 88 E 64 F 59 G 84 H 92 I 44 P,435
NAT-218, 18 C 236 E 60 F 137 G 244 H 225 I 76 P,996
NAT-21, 30 C 261 E 73 F 158 G 198 H 243 I 234 P,1197
NAT-220, 6 C 106 E 61 F 57 G 104 H 87 I 48 P,469
NAT-221, 12 C 102 E 51 F 50 G 125 H 53 I 70 P,463
NAT-222, 10 C 142 E 54 F 48 G 115 H 105 I 37 P,511
NAT-224, 3 C 93 E 65 F 59 G 94 H 87 I 48 P,449
NAT-225, 33 C 239 E 70 F 179 G 184 H 192 I 135 P,1032
NAT-22, 27 C 200 E 66 F 374 G 180 H 120 I 258 P,1225
NAT-231, 3 C 94 E 52 F 76 G 103 H 55 I 72 P,455
NAT-232, 16 C 109 E 51 F 49 G 128 H 53 I 74 P,480
NAT-236, 5 C 145 E 54 F 155 G 105 H 97 I 139 P,700
NAT-237, 16 C 107 E 48 F 111 G 116 H 52 I 95 P,545
NAT-238, 5 C 79 E 68 F 55 G 76 H 68 I 46 P,397
NAT-239, 18 C 300 E 111 F 221 G 220 H 259 I 247 P,1376
NAT-23, 37 C 244 E 92 F 307 G 208 H 201 I 363 P,1452
NAT-241, 10 C 163 E 66 F 60 G 173 H 73 I 64 P,609
NAT-242, 25 C 169 E 52 F 185 G 128 H 95 I 181 P,835
NAT-245, 12 C 99 E 51 F 44 G 122 H 38 I 46 P,412
NAT-248, 2 C 121 E 75 F 84 G 110 H 77 I 80 P,549
NAT-249, 8 C 107 E 38 F 75 G 124 H 35 I 51 P,438
NAT-24, 25 C 171 E 80 F 84 G 138 H 132 I 148 P,778
NAT-252, 3 C 130 E 61 F 75 G 87 H 72 I 50 P,478
NAT-253, 15 C 271 E 99 F 210 G 202 H 289 I 181 P,1267
NAT-255, 10 C 203 E 96 F 91 G 161 H 212 I 98 P,871
NAT-258, 5 C 166 E 84 F 103 G 119 H 121 I 98 P,696
NAT-259, 11 C 151 E 56 F 78 G 112 H 142 I 101 P,651
NAT-269, 3 C 117 E 44 F 71 G 69 H 58 I 49 P,411
NAT-26, 24 C 212 E 86 F 98 G 168 H 142 I 166 P,896
NAT-271, 18 C 108 E 50 F 31 G 127 H 46 I 54 P,434
NAT-272, 1 C 102 E 43 F 50 G 77 H 63 I 36 P,372
NAT-276, 27 C 246 E 74 F 123 G 203 H 233 I 202 P,1108
NAT-278, 8 C 125 E 46 F 53 G 122 H 70 I 66 P,490
NAT-280, 13 C 160 E 63 F 66 G 106 H 83 I 75 P,566
NAT-282, 7 C 202 E 71 F 181 G 153 H 119 I 132 P,865
NAT-284, 8 C 200 E 87 F 117 G 230 H 326 I 100 P,1068
NAT-288, 5 C 79 E 58 F 45 G 75 H 66 I 30 P,358
NAT-28, 11 C 217 E 91 F 114 G 148 H 142 I 123 P,846
NAT-290, 35 C 464 E 134 F 543 G 302 H 167 I 346 P,1991
NAT-291, 23 C 459 E 106 F 331 G 228 H 214 I 261 P,1622
NAT-2, 14 C 164 E 80 F 111 G 140 H 112 I 103 P,724
NAT-30, 32 C 417 E 111 F 301 G 232 H 219 I 260 P,1572
NAT-32, 18 C 180 E 88 F 265 G 158 H 109 I 203 P,1021
NAT-33, 24 C 501 E 116 F 273 G 217 H 351 I 235 P,1717
NAT-34, 9 C 128 E 49 F 67 G 105 H 151 I 53 P,562
NAT-39, 21 C 349 E 65 F 163 G 262 H 278 I 115 P,1253
NAT-3, 43 C 513 E 148 F 355 G 281 H 335 I 268 P,1943
NAT-40, 12 C 142 E 66 F 101 G 171 H 55 I 74 P,621
NAT-417, 7 C 152 E 59 F 87 G 130 H 81 I 56 P,572
NAT-41, 3 C 168 E 75 F 133 G 116 H 106 I 94 P,695
NAT-422, 3 C 102 E 47 F 72 G 65 H 105 I 55 P,449
NAT-430, 5 C 90 E 41 F 35 G 93 H 55 I 33 P,352
NAT-43, 16 C 149 E 62 F 91 G 121 H 188 I 110 P,737
NAT-441, 6 C 171 E 56 F 89 G 125 H 89 I 55 P,591
NAT-453, 6 C 147 E 56 F 87 G 168 H 133 I 54 P,651
NAT-45, 2 C 100 E 59 F 49 G 93 H 76 I 47 P,426
NAT-46, 20 C 221 E 79 F 165 G 212 H 175 I 193 P,1065
NAT-4, 17 C 214 E 87 F 116 G 205 H 271 I 248 P,1158
NAT-501, 1 C 75 E 42 F 33 G 74 H 62 I 30 P,317
NAT-509, 3 C 108 E 52 F 44 G 112 H 64 I 43 P,426
NAT-510, 5 C 105 E 49 F 49 G 111 H 58 I 38 P,415
NAT-52, 5 C 112 E 55 F 87 G 78 H 89 I 73 P,499
NAT-535, 10 C 113 E 41 F 32 G 101 H 50 I 47 P,394
NAT-53, 4 C 113 E 49 F 43 G 110 H 67 I 44 P,430
NAT-54, 8 C 84 E 47 F 25 G 62 H 58 I 26 P,310
NAT-55, 2 C 83 E 63 F 55 G 89 H 74 I 53 P,419
NAT-575, 10 C 193 E 58 F 120 G 263 H 191 I 76 P,911
NAT-5, 7 C 170 E 71 F 73 G 147 H 127 I 131 P,726
NAT-60, 12 C 165 E 56 F 83 G 141 H 164 I 132 P,753
NAT-61, 38 C 286 E 80 F 349 G 278 H 216 I 287 P,1534
NAT-62, 7 C 78 E 48 F 39 G 76 H 79 I 42 P,369
NAT-64, 29 C 276 E 107 F 112 G 202 H 201 I 251 P,1178
NAT-66, 21 C 378 E 69 F 188 G 259 H 276 I 120 P,1311
NAT-67, 20 C 218 E 98 F 111 G 182 H 129 I 176 P,934
NAT-686, 18 C 375 E 84 F 138 G 181 H 175 I 129 P,1100
NAT-68, 5 C 81 E 75 F 47 G 101 H 82 I 54 P,445
NAT-69, 25 C 239 E 76 F 237 G 219 H 153 I 204 P,1153
NAT-6, 16 C 211 E 78 F 213 G 187 H 151 I 208 P,1064
NAT-70, 13 C 159 E 66 F 122 G 170 H 63 I 96 P,689
NAT-71, 9 C 213 E 93 F 119 G 222 H 337 I 91 P,1084
NAT-72, 23 C 239 E 64 F 117 G 159 H 193 I 96 P,891
NAT-74, 8 C 90 E 57 F 60 G 74 H 74 I 50 P,413
NAT-75, 24 C 226 E 81 F 88 G 170 H 262 I 184 P,1035
NAT-79, 17 C 248 E 68 F 210 G 183 H 105 I 176 P,1007
NAT-7, 33 C 535 E 134 F 435 G 266 H 263 I 325 P,1991
NAT-81, 15 C 250 E 68 F 226 G 206 H 118 I 148 P,1031
NAT-82, 24 C 382 E 119 F 292 G 186 H 203 I 213 P,1419
NAT-84, 36 C 309 E 92 F 188 G 241 H 363 I 170 P,1399
