sample1,sample,trans_sum,trans_prop,biofilm_sum,biofilm_prop,defense_sum,defense_prop,toxin_sum,toxin_prop,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp
MP1374,SRR3963458,3622166.187,0.001279917,990857.4558,0.000350126,45455985,0.016062186,6167121,0.002179195,74,0.2,Indian Ocean,Indian,-3996,135.19,-39.23,34.722,0.9479,180.6806,CDW,South Australian basin,2.83
MP1434,SRR3963599,3226514.282,0.001030835,349622.052,0.0001117,22968656,0.007338229,3144025,0.001004481,77,0.8,Indian Ocean,Indian,-4001,150.41,-38.64,34.716,0.8366,179.3173,WSDW,South Australian basin,3.13
MP1482,SRR3963456,4355848.969,0.001361203,459501.0745,0.000143594,28967052,0.009052204,4088281,0.001277588,81,0.8,South Pacific,Pacific,-3501,179.1413,-28.4063,34.6818,1.5728,140.3662,CDW,Fiji basin,3.2
MP1483,SRR3963449,3095249.942,0.000921205,534186.2799,0.000158984,39878022,0.011868459,5861130,0.001744384,81,0.2,South Pacific,Pacific,-3501,179.1413,-28.4063,34.6818,1.5728,140.3662,CDW,Fiji basin,3.36
MP1493,SRR3962777,6342465.494,0.001887639,561462.1942,0.000167102,41542186,0.012363746,5075850,0.00151067,82,0.8,South Pacific,Pacific,-2150,-179.52,-25.49,34.6456,2.0126,139.1121,CDW,Out of basins,3.36
MP1494,SRR3962680,1737796.971,0.000864576,329355.8398,0.000163859,24457357,0.012167839,3832617,0.001906775,82,0.2,South Pacific,Pacific,-2150,-179.52,-25.49,34.6456,2.0126,139.1121,CDW,Out of basins,2.01
MP1648,SRR3962772,6287693.502,0.002446573,585975.8607,0.000228006,38867054,0.015123367,5237390,0.002037895,91,0.8,South Pacific,Pacific,-4018,-170.7407,-5.75,34.6955,1.1026,153.1939,CDW,Pacific basin,2.57
MP1649,SRR3962773,5247159.228,0.001338561,1024955.869,0.000261468,61730245,0.015747511,8993007,0.002294134,91,0.2,South Pacific,Pacific,-4018,-170.7407,-5.75,34.6955,1.1026,153.1939,CDW,Pacific basin,3.92
MP1787,SRR3961936,6575602.91,0.002191868,831378.5693,0.000277126,46242076,0.015414025,6894630,0.00229821,97,0.8,North Pacific,Pacific,-3818,-163.53,9.22,34.692,1.1537,142.4094,CDW,Pacific basin,3
MP1788,SRR3962293,4837224.241,0.001224614,1336718.797,0.00033841,66195193,0.016758277,9972239,0.002524617,97,0.2,North Pacific,Pacific,-3818,-163.53,9.22,34.692,1.1537,142.4094,CDW,Pacific basin,3.95
MP1896,SRR3962771,9478419.196,0.002363696,1007969.929,0.000251364,63418476,0.015815081,11832871,0.002950841,103,0.8,North Pacific,Pacific,-4013,-150.3192,21.0638,34.6888,1.162,134.3429,CDW,Pacific basin,4.01
MP2016,SRR3961935,4135946.649,0.001223653,685565.0256,0.00020283,45895547,0.013578564,6750268,0.001997121,109,0.2,North Pacific,Pacific,-4004,-133.26,18.04,34.6897,1.1582,135.0573,CDW,Pacific basin,3.38
MP2052,SRR3962508,5665793.497,0.002106243,407218.2273,0.000151382,32906382,0.012232856,4489023,0.001668782,112,0.8,North Pacific,Pacific,-4002,-124.4738,15.9087,34.6897,1.1733,133.9248,CDW,Pacific basin,2.69
MP2053,SRR3961906,2546053.447,0.00110698,382409.4352,0.000166265,32691971,0.0142139,4845244,0.002106628,112,0.2,North Pacific,Pacific,-4002,-124.4738,15.9087,34.6897,1.1733,133.9248,CDW,Pacific basin,2.3
MP2158,SRR3961604,4843185.025,0.001542416,366286.2645,0.000116652,31165424,0.009925294,4215872,0.001342634,118,0.8,North Pacific,Pacific,-3103,-108.06,12,34.6805,1.4552,113.0293,CDW,Pacific basin,3.14
MP2159,SRR3961047,2410869.592,0.000732787,533308.6909,0.0001621,42486712,0.012913894,5815982,0.001767776,118,0.2,North Pacific,Pacific,-3103,-108.06,12,34.6805,1.4552,113.0293,CDW,Pacific basin,3.29
MP2252,SRR3960684,9627252.135,0.002540172,838921.2837,0.000221351,59227162,0.01562722,6849006,0.001807126,121,0.8,North Pacific,Pacific,-3008,-99.2462,10.0927,34.6755,1.6156,103.806,CDW,Guatemala basin,3.79
MP2253,SRR3960579,3172686.401,0.000883757,572308.9684,0.000159418,42660158,0.011883052,6118235,0.001704244,121,0.2,North Pacific,Pacific,-3008,-99.2462,10.0927,34.6755,1.6156,103.806,CDW,Guatemala basin,3.59
MP2497,SRR3960581,8943178.893,0.003031586,698215.1052,0.000236683,47822082,0.016210875,6587020,0.002232888,131,0.8,North Atlantic,Atlantic,-4003,-59.83,17.43,34.9004,1.9688,242.8925,NADW,North American basin,2.95
MP2633,SRR3960580,15902317.88,0.002799704,844166.5584,0.000148621,68828369,0.012117671,10284624,0.001810673,134,0.8,North Atlantic,Atlantic,-4003,-52.6367,19.9897,34.8889,1.9211,230.8888,NADW,North American basin,5.68
MP2634,SRR3960575,8474065.859,0.001436282,1062765.958,0.00018013,77555359,0.013144976,10503745,0.001780296,134,0.2,North Atlantic,Atlantic,-4003,-52.6367,19.9897,34.8889,1.9211,230.8888,NADW,North American basin,5.9
MP2913,SRR3960576,11580982.59,0.002495901,792260.3541,0.000170746,56323469,0.012138679,8499861,0.001831867,144,0.8,North Atlantic,Atlantic,-4003,-23.69,29.97,34.9071,2.1123,223.5273,NADW,Canary basin,4.64
MP2914,SRR3960578,7595824.514,0.001651266,1489993.39,0.000323912,77587431,0.016866833,10369195,0.002254173,144,0.2,North Atlantic,Atlantic,-4003,-23.69,29.97,34.9071,2.1123,223.5273,NADW,Canary basin,4.6
MP2968,SRR3960572,7049920.14,0.001715309,452199.6001,0.000110024,33270262,0.008094954,4597871,0.001118703,146,0.8,North Atlantic,Atlantic,-4002,-17.2662,32.0788,34.9058,2.0997,221.5695,NADW,Canary basin,4.11
MP2969,SRR3960577,7351271.804,0.001534712,919141.4525,0.000191888,69727551,0.0145569,10065635,0.002101385,146,0.2,North Atlantic,Atlantic,-4002,-17.2662,32.0788,34.9058,2.0997,221.5695,NADW,Canary basin,4.79
