site,size_fraction,depth,RPKM_code,num_reads
TARA064,girus,DCM,tara064_girus_DCM,125388218
TARA064,prot,MES,tara064_prot_MES,390795372
TARA064,virus,DCM,tara064_virus_DCM,85653938
TARA064,virus,MES,tara064_virus_MES,102506134
TARA064,virus,SRF,tara064_virus_SRF,96542160
TARA065,bact,DCM,tara065_bact_DCM,433566456
TARA065,bact,MES,tara065_bact_MES,446725782
TARA065,bact,SRF,tara065_bact_SRF,290200094
TARA065,girus,DCM,tara065_girus_DCM,187370916
TARA065,girus,SRF,tara065_girus_SRF,176516224
TARA065,virus,DCM,tara065_virus_DCM,113406914
TARA066,bact,DCM,tara066_bact_DCM,149855818
TARA066,bact,SRF,tara066_bact_SRF,320731360
TARA066,virus,DCM,tara066_virus_DCM,93801200
TARA066,virus,SRF,tara066_virus_SRF,87897252
TARA067,bact,SRF,tara067_bact_SRF,157314750
TARA067,girus,SRF,tara067_girus_SRF,697082396
TARA067,virus,SRF,tara067_virus_SRF,879440068
TARA068,bact,DCM,tara068_bact_DCM,262743724
TARA068,bact,MES,tara068_bact_MES,373710956
TARA068,bact,SRF,tara068_bact_SRF,294061050
TARA068,girus,DCM,tara068_girus_DCM,627763012
TARA068,girus,MES,tara068_girus_MES,362537996
TARA068,girus,SRF,tara068_girus_SRF,97121250
TARA068,prot,DCM,tara068_prot_DCM,695701562
TARA068,virus,MES,tara068_virus_MES,89633440
TARA068,virus,SRF,tara068_virus_SRF,449406884
TARA070,bact,MES,tara070_bact_MES,389679635
TARA070,bact,SRF,tara070_bact_SRF,262754638
TARA070,girus,MES,tara070_girus_MES,722583172
TARA070,girus,SRF,tara070_girus_SRF,82514066
TARA070,virus,MES,tara070_virus_MES,742578192
TARA070,virus,SRF,tara070_virus_SRF,94440814
TARA072,bact,DCM,tara072_bact_DCM,327621287
TARA072,bact,MES,tara072_bact_MES,287954144
TARA072,bact,SRF,tara072_bact_SRF,420077668
TARA072,virus,DCM,tara072_virus_DCM,97624502
TARA072,virus,MES,tara072_virus_MES,193526010
TARA072,virus,SRF,tara072_virus_SRF,79974260
TARA076,bact,DCM,tara076_bact_DCM,433352388
TARA076,bact,MES,tara076_bact_MES,59215780
TARA076,girus,DCM,tara076_girus_DCM,664302686
TARA076,girus,MES,tara076_girus_MES,391269294
TARA076,girus,SRF,tara076_girus_SRF,86619086
TARA076,virus,DCM,tara076_virus_DCM,706014112
TARA076,virus,MES,tara076_virus_MES,117740296
TARA076,virus,SRF,tara076_virus_SRF,100296296
TARA078,bact,DCM,tara078_bact_DCM,458306264
TARA078,bact,MES,tara078_bact_MES,484317850
TARA078,girus,DCM,tara078_girus_DCM,717300708
TARA078,girus,MES,tara078_girus_MES,303977220
TARA078,girus,SRF,tara078_girus_SRF,609624124
TARA078,virus,DCM,tara078_virus_DCM,76302668
TARA078,virus,SRF,tara078_virus_SRF,107092254
TARA082,virus,DCM,tara082_virus_DCM,92242804
TARA082,virus,SRF,tara082_virus_SRF,83754456
TARA093,bact,DCM,tara093_bact_DCM,338611726
TARA093,bact,SRF,tara093_bact_SRF,274983484
TARA093,prot,DCM,tara093_prot_DCM,1006359456
TARA093,prot,SRF,tara093_prot_SRF,1095335702
TARA102,prot,DCM,tara102_prot_DCM,1379777772
TARA102,prot,MES,tara102_prot_MES,326198334
TARA102,prot,SRF,tara102_prot_SRF,1253380792
TARA102,virus,DCM,tara102_virus_DCM,83338338
TARA102,virus,MES,tara102_virus_MES,102166560
TARA102,virus,SRF,tara102_virus_SRF,82514022
TARA109,prot,DCM,tara109_prot_DCM,1103449668
TARA109,prot,MES,tara109_prot_MES,746296748
TARA109,prot,SRF,tara109_prot_SRF,1131293272
TARA109,virus,DCM,tara109_virus_DCM,164307434
TARA109,virus,SRF,tara109_virus_SRF,91637852
TARA094,bact,SRF,tara094_bact_SRF,460018862
TARA096,bact,SRF,tara096_bact_SRF,377820080
TARA096,prot,DCM,tara096_prot_DCM,411445340
TARA096,prot,SRF,tara096_prot_SRF,401619602
TARA098,bact,DCM,tara098_bact_DCM,255245468
TARA098,bact,MES,tara098_bact_MES,450447948
TARA098,bact,SRF,tara098_bact_SRF,253142740
TARA098,prot,DCM,tara098_prot_DCM,395142260
TARA099,bact,SRF,tara099_bact_SRF,338549582
TARA100,prot,DCM,tara100_prot_DCM,1216104648
TARA100,prot,MES,tara100_prot_MES,351098942
TARA100,prot,SRF,tara100_prot_SRF,1326576228
TARA100,virus,DCM,tara100_virus_DCM,99958986
TARA100,virus,MES,tara100_virus_MES,83920264
TARA100,virus,SRF,tara100_virus_SRF,93781526
TARA110,bact,DCM,tara110_bact_DCM,423500782
TARA110,bact,MES,tara110_bact_MES,385005800
TARA110,bact,SRF,tara110_bact_SRF,321797088
TARA110,prot,DCM,tara110_prot_DCM,753695370
TARA110,prot,MES,tara110_prot_MES,357179962
TARA110,prot,SRF,tara110_prot_SRF,1153271554
TARA111,bact,MES,tara111_bact_MES,417176234
TARA111,prot,DCM,tara111_prot_DCM,765733752
TARA111,prot,MES,tara111_prot_MES,424975474
TARA111,prot,SRF,tara111_prot_SRF,801686136
TARA111,virus,DCM,tara111_virus_DCM,102845312
TARA111,virus,SRF,tara111_virus_SRF,95232394
TARA112,bact,DCM,tara112_bact_DCM,412959348
TARA112,bact,MES,tara112_bact_MES,303174866
TARA112,bact,SRF,tara112_bact_SRF,399008374
TARA122,girus,DCM,tara122_girus_DCM,831226140
TARA122,girus,MES,tara122_girus_MES,736940856
TARA122,girus,SRF,tara122_girus_SRF,737598522
TARA122,prot,DCM,tara122_prot_DCM,649370158
TARA122,prot,MES,tara122_prot_MES,571394218
TARA122,prot,SRF,tara122_prot_SRF,1293949316
TARA122,virus,DCM,tara122_virus_DCM,94581636
TARA122,virus,MES,tara122_virus_MES,126487568
TARA122,virus,SRF,tara122_virus_SRF,120037536
TARA123,girus,epi,tara123_girus_epi,858470910
TARA123,girus,SRF,tara123_girus_SRF,749554388
TARA123,prot,epi,tara123_prot_epi,576095390
TARA123,prot,SRF,tara123_prot_SRF,768591240
TARA123,virus,epi,tara123_virus_epi,117495592
TARA123,virus,SRF,tara123_virus_SRF,103788030
TARA124,girus,epi,tara124_girus_epi,822925152
TARA124,girus,SRF,tara124_girus_SRF,804362170
TARA124,prot,epi,tara124_prot_epi,1230860846
TARA124,prot,SRF,tara124_prot_SRF,2193739450
TARA124,virus,epi,tara124_virus_epi,76666526
TARA124,virus,SRF,tara124_virus_SRF,133841438
TARA125,girus,epi,tara125_girus_epi,956324374
TARA125,girus,SRF,tara125_girus_SRF,903597880
TARA125,prot,epi,tara125_prot_epi,579239460
TARA125,prot,SRF,tara125_prot_SRF,2182494756
TARA125,virus,epi,tara125_virus_epi,126300944
TARA125,virus,SRF,tara125_virus_SRF,111598866
TARA128,bact,DCM,tara128_bact_DCM,297815870
TARA128,bact,SRF,tara128_bact_SRF,306384522
TARA128,prot,DCM,tara128_prot_DCM,1228121166
TARA128,prot,SRF,tara128_prot_SRF,1308863638
TARA133,bact,DCM,tara133_bact_DCM,359284260
TARA133,bact,MES,tara133_bact_MES,437816192
TARA133,bact,SRF,tara133_bact_SRF,539113764
TARA137,bact,DCM,tara137_bact_DCM,385071042
TARA137,bact,SRF,tara137_bact_SRF,371142378
TARA137,prot,DCM,tara137_prot_DCM,897564856
TARA137,prot,MES,tara137_prot_MES,384153332
TARA137,prot,SRF,tara137_prot_SRF,1242625464
TARA137,virus,DCM,tara137_virus_DCM,72196088
TARA137,virus,MES,tara137_virus_MES,65674652
TARA137,virus,SRF,tara137_virus_SRF,72756492
TARA138,prot,DCM,tara138_prot_DCM,984440322
TARA138,prot,MES,tara138_prot_MES,599026030
TARA138,prot,SRF,tara138_prot_SRF,360832782
TARA138,virus,SRF,tara138_virus_SRF,86921234
TARA004,bact,DCM,tara004_bact_DCM,476293096
TARA004,bact,SRF,tara004_bact_SRF,404336892
TARA141,bact,SRF,tara141_bact_SRF,342398030
TARA142,bact,DCM,tara142_bact_DCM,311581824
TARA142,bact,MES,tara142_bact_MES,328237008
TARA142,bact,SRF,tara142_bact_SRF,314283624
TARA145,bact,MES,tara145_bact_MES,354224626
TARA145,bact,SRF,tara145_bact_SRF,352030928
TARA146,bact,MES,tara146_bact_MES,307846576
TARA146,bact,SRF,tara146_bact_SRF,338943134
TARA146,prot,MES,tara146_prot_MES,388319946
TARA146,prot,SRF,tara146_prot_SRF,340205542
TARA148,prot,SRF,tara148_prot_SRF,1078181620
TARA149,prot,MES,tara149_prot_MES,632883922
TARA149,prot,SRF,tara149_prot_SRF,520481158
TARA150,bact,DCM,tara150_bact_DCM,364054734
TARA150,prot,DCM,tara150_prot_DCM,775883764
TARA150,prot,SRF,tara150_prot_SRF,1025677076
TARA151,bact,DCM,tara151_bact_DCM,369538288
TARA151,prot,DCM,tara151_prot_DCM,431037388
TARA152,bact,MES,tara152_bact_MES,345574560
TARA152,bact,mixed,tara152_bact_mixed,388462874
TARA152,bact,SRF,tara152_bact_SRF,329240054
TARA152,prot,DCM,tara152_prot_DCM,1762378578
TARA152,prot,MES,tara152_prot_MES,345740494
,girus,,tara041_girus_SRF,47896677
,prot,,tara111_prot_SRF,341481107
,prot,,tara111_prot_DCM,337657879
manually added from Salazar et al 2020,prot,,tara110_prot_SRF,298259247
,prot,,tara110_prot_DCM,367914954
,prot,,tara100_prot_DCM,345650351
,virus,,tara138_virus_DCM,61766355
,virus,,tara138_virus_MES,72904914
,prot,,tara122_prot_SRF,260313225
,bact,,tara140_bact_SRF,335660959
