bin,signal_CAZ_count,percent_sect_CAZ,signal_CAZ_aa,MAG_ORFs_aa,ORF_count,signal_pep_count,percent_sect_pep,signal_pep_aa
CPC-324,51,65.38461538461539,39047,1299723,3501,80,48.19277108433735,42256
CPC-41,8,18.6046511627907,4490,1047419,3025,75,46.58385093167702,59409
CPC-316,8,21.62162162162162,4347,1018799,3148,87,36.09958506224066,47304
CPC-79,94,65.73426573426573,57578,1252112,3375,121,56.018518518518526,77703
CPC-97,14,45.16129032258064,9077,531315,1489,42,46.15384615384615,26849
CPC-73,6,27.27272727272727,3178,642591,1993,52,41.935483870967744,29315
CPC-288,24,60.0,13873,620462,1845,83,55.70469798657718,49934
CPC-25,21,36.84210526315789,11304,1038374,3286,120,50.63291139240506,67131
CPC-52,33,50.76923076923077,22602,1063669,3028,62,44.285714285714285,30691
CPC-58,4,18.181818181818183,2065,871241,2821,19,13.66906474820144,7916
CPC-17,43,40.95238095238095,28585,1451168,4273,131,49.43396226415094,75737
CPC-84,9,30.0,5985,590788,1562,44,44.89795918367347,29719
CPC-305,7,23.333333333333332,4210,712912,2291,25,22.727272727272727,10762
CPC-67,10,16.666666666666664,5501,937341,3105,82,47.12643678160919,51124
CPC-296,,0,0,198281,591,7,26.923076923076923,3205
CPC-7,19,30.64516129032258,10729,1093091,3522,102,45.73991031390135,57912
CPC-28,11,33.33333333333333,5437,1245521,3830,66,31.428571428571427,32400
CPC-74,4,28.57142857142857,2160,586552,1850,9,7.563025210084033,3894
CPC-323,16,34.04255319148936,9251,491083,1460,42,39.62264150943396,23491
CPC-46,6,18.75,2646,901204,2974,116,47.73662551440329,67318
CPC-31,75,51.724137931034484,45890,2059772,6017,90,35.85657370517929,46768
CPC-42,9,18.367346938775512,4317,1377384,4080,89,43.84236453201971,54245
CPC-48,13,21.666666666666668,5547,1319904,4103,45,25.139664804469277,19860
CPC-327,26,36.61971830985916,16962,970192,2836,94,48.45360824742268,55403
CPC-70,12,16.901408450704224,7262,1044579,3286,86,48.86363636363637,56783
CPC-51,18,24.0,13391,1655145,4206,142,54.61538461538461,95089
CPC-69,20,33.89830508474576,9920,1339917,4184,47,27.167630057803464,23565
CPC-14,18,45.0,8768,865194,2590,85,47.486033519553075,52223
CPC-9,24,38.095238095238095,17353,1535935,4063,125,50.403225806451616,75935
CPC-3,17,37.77777777777778,10692,1133924,3020,106,52.475247524752476,61034
CPC-19,22,21.35922330097087,10419,1971981,6154,57,18.037974683544302,22516
CPC-80,11,52.38095238095239,4273,673616,2131,60,45.11278195488722,33593
CPC-64,12,34.285714285714285,4958,955652,3048,35,22.875816993464053,18046
CPC-13,32,42.66666666666667,17654,1525102,4793,141,47.15719063545151,80305
CPC-21,10,18.51851851851852,5241,1950851,5852,60,22.388059701492537,30560
CPC-32,5,15.151515151515152,2630,1020963,3335,40,21.27659574468085,20527
CPC-45,11,28.947368421052634,4862,1084980,3469,46,24.731182795698924,19325
CPC-320,5,16.666666666666664,2032,985623,3286,20,14.285714285714285,9001
CPC-38,19,26.38888888888889,10630,1490396,4591,63,25.099601593625497,30267
CPC-75,4,19.047619047619047,1947,684771,2122,61,42.95774647887324,39285
CPC-310,12,37.5,7117,719088,2148,77,46.3855421686747,47484
CPC-30,1,5.555555555555555,312,612884,1957,11,12.222222222222221,4400
CPC-1232,4,22.22222222222222,1848,547521,1815,13,16.666666666666664,7562
CPC-47,8,27.586206896551722,3730,650459,2175,60,40.54054054054054,31612
CPC-322,11,45.83333333333333,6891,845161,2401,51,41.12903225806452,30135
CPC-297,12,37.5,7926,906146,2567,48,42.10526315789473,28722
CPC-82,34,57.6271186440678,25151,1165906,3004,66,44.29530201342282,37007
CPC-309,5,16.129032258064516,2034,905046,2894,31,27.43362831858407,10601
CPC-11,16,31.372549019607842,7446,1094382,3381,45,27.10843373493976,21866
CPC-6,19,31.666666666666664,9373,1233095,3851,125,48.63813229571984,70014
CPC-29,1,10.0,625,427051,1364,12,22.641509433962266,5399
CPC-1326,11,31.428571428571427,6501,529220,1598,45,45.0,27684
CPC-23,33,55.00000000000001,22033,1423238,4124,50,37.03703703703704,27905
CPC-54,14,33.33333333333333,7351,776952,2567,72,45.28301886792453,38436
CPC-59,7,28.000000000000004,3233,683769,2257,17,15.178571428571427,6779
CPC-53,2,12.5,1263,1092066,3479,10,6.944444444444445,5014
CPC-24,5,14.705882352941178,2411,1154619,3517,45,24.861878453038674,22968
CPC-1,14,16.27906976744186,7489,1732292,8395,28,13.725490196078432,11768
CPC-85,23,42.592592592592595,15699,1091646,2973,72,48.64864864864865,45473
CPC-16,6,23.076923076923077,2149,833416,2700,27,29.67032967032967,10363
CPC-61,3,9.375,2125,938005,3099,23,19.327731092436977,11202
CPC-40,28,25.688073394495415,10897,1570436,5016,67,27.572016460905353,24348
CPC-289,2,16.666666666666664,1078,345513,1193,6,11.538461538461538,2797
CPC-72,13,32.5,6366,1120414,3401,49,25.520833333333332,22421
CPC-1399,10,47.61904761904761,5233,580599,1883,53,44.537815126050425,27950
CPC-96,13,46.42857142857143,7895,953902,2639,48,37.5,29143
CPC-98,35,34.65346534653465,21586,1072168,3206,,0,0
CPC-319,15,33.33333333333333,6833,756087,2318,75,51.724137931034484,40805
CPC-39,5,15.151515151515152,2616,916147,3160,101,47.417840375586856,53045
CPC-33,10,50.0,3605,642901,2101,68,45.33333333333333,37573
CPC-5,17,34.69387755102041,11250,1024378,2976,110,52.38095238095239,71232
CPC-12,11,22.0,3938,1365057,4112,99,43.80530973451327,58715
CPC-294,107,64.07185628742515,61173,1150246,3371,150,60.72874493927125,112463
CPC-300,26,61.904761904761905,17359,874954,2362,50,41.32231404958678,27241
CPC-81,8,15.686274509803921,3585,793844,2545,21,16.666666666666664,7888
CPC-20,4,16.666666666666664,1958,762121,2477,37,22.424242424242426,18803
CPC-27,9,33.33333333333333,5622,1018503,3428,133,57.826086956521735,69238
CPC-50,31,65.95744680851064,20184,983713,2722,54,44.26229508196721,30326
CPC-62,14,33.33333333333333,6827,1127845,3716,47,24.867724867724867,19428
CPC-86,14,56.00000000000001,8993,903877,2487,55,38.46153846153847,39106
CPC-2,15,35.714285714285715,6124,1467782,4424,59,26.222222222222225,36359
CPC-8,18,31.03448275862069,8808,1419752,4407,49,27.071823204419886,21746
CPC-49,19,28.78787878787879,8755,1027227,3343,96,45.07042253521127,49228
CPC-34,12,36.36363636363637,7476,960045,2880,104,55.319148936170215,63310
CPC-43,9,15.0,4217,1393491,4353,42,20.588235294117645,19033
CPC-95,20,39.21568627450981,10098,1185430,3711,64,33.33333333333333,34607
CPC-71,126,68.47826086956522,76855,1925105,5510,195,64.14473684210526,150553
deep_MAG_0604,18,39.130434782608695,11858,958687,2803,41,35.65217391304348,23310
deep_MAG_0339,8,34.78260869565217,5403,566529,1780,74,52.85714285714286,41954
deep_MAG_0344,1,5.0,511,1032127,3649,12,6.153846153846154,4475
deep_MAG_0047,16,37.2093023255814,7574,850120,2809,35,24.822695035460992,15430
deep_MAG_0400,1,6.666666666666667,627,767960,2690,14,10.76923076923077,6634
deep_MAG_0477,0,0,0,277307,973,8,20.0,2480
deep_MAG_0570,1,5.555555555555555,534,629068,2201,14,12.280701754385964,6354
deep_MAG_0507,0,0,0,399973,1362,4,6.349206349206349,2073
deep_MAG_0140,7,18.421052631578945,2657,1172490,3456,65,34.57446808510639,41622
deep_MAG_0137,16,21.62162162162162,7177,1507375,4769,49,21.68141592920354,17812
deep_MAG_0295,17,30.909090909090907,5794,890337,3006,37,23.56687898089172,13241
deep_MAG_0376,8,14.814814814814813,3511,810516,2724,87,46.03174603174603,44982
deep_MAG_0548,47,47.95918367346938,28348,1246878,3878,92,43.39622641509434,51576
deep_MAG_0075,16,29.09090909090909,7380,1159000,3762,38,20.76502732240437,15561
deep_MAG_0002,16,36.36363636363637,7349,1017284,3355,54,31.76470588235294,26007
deep_MAG_0196,0,0,0,260841,994,2,5.0,1664
deep_MAG_0178,3,12.0,1402,1093057,3701,53,37.06293706293706,24809
deep_MAG_0008,7,35.0,2731,876332,3410,37,18.316831683168317,18250
deep_MAG_0105,0,0,0,117190,510,3,12.5,648
deep_MAG_0438,19,59.375,11195,528464,1582,55,50.45871559633027,30495
deep_MAG_0535,4,14.285714285714285,1832,971650,3138,14,8.13953488372093,6619
deep_MAG_0542,13,25.49019607843137,6688,1268197,4002,42,21.428571428571427,19208
deep_MAG_0320,10,45.45454545454545,3968,622969,2117,57,38.513513513513516,29031
deep_MAG_0250,7,25.925925925925924,3015,960012,2942,78,44.06779661016949,47686
deep_MAG_0617,17,42.5,8474,995387,3221,49,29.6969696969697,26462
deep_MAG_0153,15,22.388059701492537,6951,1084823,3455,92,45.320197044334975,52538
deep_MAG_0029,9,18.367346938775512,3961,943983,3228,92,41.81818181818181,50183
deep_MAG_0480,7,12.962962962962962,3345,742297,2489,15,13.513513513513514,6383
deep_MAG_0514,8,61.53846153846154,4958,556228,1574,38,40.42553191489361,21914
deep_MAG_0419,0,0,0,395672,1565,7,8.333333333333332,2638
deep_MAG_0569,0,0,0,118886,491,1,7.142857142857142,615
deep_MAG_0023,47,55.294117647058826,26625,1220004,3838,138,55.87044534412956,81702
deep_MAG_0286,1,5.88235294117647,881,682169,2216,11,8.396946564885496,4605
deep_MAG_0262,8,15.384615384615385,4750,1606980,5065,36,14.5748987854251,14091
deep_MAG_0318,7,21.875,5187,1119932,3592,39,30.0,16586
deep_MAG_0526,1,11.11111111111111,1273,326859,1085,6,14.634146341463413,3267
deep_MAG_0082,7,41.17647058823529,3548,380770,1143,55,57.89473684210527,31046
deep_MAG_0161,11,39.285714285714285,7716,1257646,3945,253,69.6969696969697,141038
deep_MAG_0011,47,37.301587301587304,30895,1924857,5798,46,21.69811320754717,25000
deep_MAG_0185,16,20.51282051282051,8957,1235947,3929,51,25.0,29431
deep_MAG_0421,23,44.230769230769226,16056,2660476,6714,122,41.92439862542955,76486
deep_MAG_0188,1,10.0,901,500100,1732,8,8.88888888888889,2915
deep_MAG_0166,21,25.609756097560975,11018,1568924,5017,48,20.168067226890756,23969
deep_MAG_0111,5,19.230769230769234,2200,981345,3546,36,17.733990147783253,15425
deep_MAG_0182,9,21.951219512195124,3999,858880,2881,40,32.25806451612903,16635
deep_MAG_0362,8,26.666666666666668,3673,958601,2764,85,49.707602339181285,53581
deep_MAG_0315,6,18.181818181818183,2526,812104,2932,31,22.62773722627737,11380
deep_MAG_0218,11,35.483870967741936,5918,626463,1995,52,42.62295081967213,35186
deep_MAG_0368,4,36.36363636363637,3138,788476,2297,43,38.392857142857146,27872
deep_MAG_0386,10,31.25,4457,1074177,3224,68,38.4180790960452,40022
deep_MAG_0212,2,15.384615384615385,1079,540128,2031,24,27.906976744186046,9682
deep_MAG_0265,1,11.11111111111111,511,620749,2477,4,2.8368794326241136,1615
deep_MAG_0123,0,0,0,257450,836,0,0,0
deep_MAG_0469,2,12.5,1282,477163,1615,51,37.5,24904
deep_MAG_0564,11,27.500000000000004,5253,1166439,4083,30,13.392857142857142,14455
deep_MAG_0580,14,18.666666666666668,7383,963887,2902,86,50.588235294117645,56408
deep_MAG_0519,20,47.61904761904761,11494,726587,2235,29,33.72093023255814,15874
deep_MAG_0053,43,41.34615384615385,27261,1190294,3609,126,56.00000000000001,78777
deep_MAG_0327,8,25.806451612903224,3692,664747,2346,38,33.6283185840708,12515
deep_MAG_0610,8,15.686274509803921,2788,948398,3606,32,22.857142857142858,10591
deep_MAG_0435,6,16.666666666666664,2194,833137,2657,36,29.75206611570248,14463
deep_MAG_0108,41,44.086021505376344,24109,1214114,3645,105,47.72727272727273,62618
deep_MAG_0191,11,40.74074074074074,7010,635759,2006,69,48.25174825174825,45219
deep_MAG_0175,33,52.38095238095239,16951,824978,2698,82,46.32768361581921,41933
deep_MAG_0102,13,41.935483870967744,7722,807134,2446,85,47.22222222222222,58393
deep_MAG_0096,6,13.953488372093023,2756,1052756,3632,23,12.921348314606742,8726
deep_MAG_0078,1,11.11111111111111,428,452141,1611,46,37.704918032786885,22816
deep_MAG_0545,25,39.0625,14309,1083846,3466,117,48.75,69191
deep_MAG_0298,10,30.303030303030305,5091,1275281,3960,64,31.06796116504854,30854
deep_MAG_0040,16,19.27710843373494,7119,1142177,3616,34,21.518987341772153,12582
deep_MAG_0037,11,40.74074074074074,6104,1357020,4275,77,45.562130177514796,41317
deep_MAG_0470,0,0,0,240995,835,9,25.0,3150
deep_MAG_0593,22,29.333333333333332,13810,922801,2774,107,54.59183673469388,67393
deep_MAG_0494,13,18.571428571428573,7338,883493,2613,76,51.35135135135135,50649
deep_MAG_0577,6,27.27272727272727,2964,304876,1028,19,32.758620689655174,10325
deep_MAG_0130,0,0,0,175774,702,4,13.333333333333334,1613
deep_MAG_0603,11,28.947368421052634,6823,1031077,2995,110,54.187192118226605,72428
deep_MAG_0233,5,23.809523809523807,2173,724457,2340,29,27.358490566037734,12068
deep_MAG_0349,16,40.0,12056,1973800,4982,78,39.19597989949749,45524
deep_MAG_0239,15,36.58536585365854,7871,1098534,3291,86,41.74757281553398,66117
deep_MAG_0334,3,13.043478260869565,1427,651229,2052,24,24.0,8855
deep_MAG_0343,1,12.5,747,489629,1580,11,14.864864864864865,4048
deep_MAG_0609,4,13.793103448275861,2131,703454,2208,60,39.21568627450981,38697
deep_MAG_0039,0,0,0,633464,2319,14,11.666666666666666,4990
deep_MAG_0134,12,22.641509433962266,5266,1177773,4087,42,24.418604651162788,18162
deep_MAG_0490,18,21.428571428571427,9554,2050148,7021,74,28.793774319066145,44878
deep_MAG_0573,6,25.0,3001,1041363,3409,48,35.82089552238806,21325
deep_MAG_0474,3,21.428571428571427,1786,572142,2126,31,33.69565217391305,15454
deep_MAG_0044,11,30.555555555555557,6123,1276460,4230,137,46.75767918088737,64002
deep_MAG_0149,5,15.625,2287,951828,2822,31,21.08843537414966,13987
deep_MAG_0330,72,53.73134328358209,40686,1293305,4307,57,34.13173652694611,26346
deep_MAG_0347,14,34.146341463414636,6564,1102510,3548,48,29.81366459627329,27261
deep_MAG_0607,6,30.0,3091,599207,1859,20,21.50537634408602,10081
deep_MAG_0195,9,15.254237288135593,4225,1674779,5721,42,15.909090909090908,17318
deep_MAG_0098,6,28.57142857142857,3902,1061822,3416,136,59.130434782608695,70170
deep_MAG_0375,0,0,0,569635,2121,6,6.382978723404255,2776
deep_MAG_0296,17,26.984126984126984,7141,1141198,3658,36,20.0,13025
deep_MAG_0391,7,35.0,3875,855135,2556,169,63.29588014981273,97242
deep_MAG_0020,3,25.0,1049,330417,1251,5,9.615384615384617,1887
deep_MAG_0489,6,27.27272727272727,3564,963689,3053,115,54.761904761904766,57888
deep_MAG_0467,90,65.69343065693431,52284,1169160,3315,144,62.06896551724138,102563
deep_MAG_0410,20,44.44444444444444,14622,2765206,6921,119,41.17647058823529,76892
deep_MAG_0584,28,32.18390804597701,14329,714377,2498,59,43.06569343065693,33096
deep_MAG_0483,5,26.31578947368421,2757,687281,2253,24,24.489795918367346,9753
deep_MAG_0560,3,13.043478260869565,1158,678662,2370,22,19.130434782608695,8561
deep_MAG_0127,22,19.130434782608695,10768,1904688,6365,50,15.625,19043
deep_MAG_0150,4,23.52941176470588,1387,387377,1312,36,37.11340206185567,18032
deep_MAG_0614,0,0,0,824073,2880,8,5.442176870748299,3778
deep_MAG_0329,7,29.166666666666668,2837,485575,1557,22,25.0,9393
deep_MAG_0323,3,23.076923076923077,1749,535068,1772,24,28.235294117647058,10292
deep_MAG_0354,7,31.818181818181817,4257,445878,1420,44,43.56435643564357,29235
deep_MAG_0422,1,5.263157894736842,345,1051156,3412,20,9.950248756218906,10318
deep_MAG_0455,2,14.285714285714285,1362,810709,2660,13,9.848484848484848,6900
deep_MAG_0186,18,27.27272727272727,9087,896922,2963,83,42.56410256410256,45651
deep_MAG_0162,0,0,0,574795,1940,6,5.357142857142857,2286
deep_MAG_0081,17,26.5625,7736,1688336,4807,73,31.196581196581196,34520
deep_MAG_0018,0,0,0,549847,2233,6,6.741573033707865,2650
deep_MAG_0366,10,27.027027027027028,4891,1100327,3254,59,32.417582417582416,40770
deep_MAG_0285,11,12.941176470588237,6469,1844977,5948,50,20.66115702479339,34088
deep_MAG_0282,3,27.27272727272727,1391,428574,1464,9,12.162162162162163,3493
deep_MAG_0361,10,38.46153846153847,4214,968799,3112,45,27.439024390243905,19101
deep_MAG_0452,3,13.043478260869565,1350,536591,1562,13,24.528301886792452,6267
deep_MAG_0528,17,23.28767123287671,7702,1268024,4100,40,20.100502512562816,15469
deep_MAG_0181,4,40.0,1455,370353,1361,9,13.432835820895523,3027
deep_MAG_0015,0,0,0,196038,716,4,11.428571428571429,1757
deep_MAG_0118,18,23.684210526315788,8507,1410378,4573,59,27.314814814814813,22484
deep_MAG_0112,2,20.0,2299,466546,1464,19,26.38888888888889,11830
deep_MAG_0165,31,42.465753424657535,17260,1160516,3783,97,45.97156398104265,54193
deep_MAG_0555,131,58.22222222222222,72530,1678694,5336,202,59.940652818991104,148839
deep_MAG_0223,5,19.230769230769234,2153,878915,2798,121,57.345971563981045,61418
deep_MAG_0353,3,16.666666666666664,1012,500592,1757,20,22.988505747126435,8101
deep_MAG_0229,42,35.8974358974359,16128,1521804,5455,61,21.03448275862069,20600
deep_MAG_0619,9,39.130434782608695,5882,696824,2028,126,61.165048543689316,77525
deep_MAG_0027,21,30.0,11301,1327741,3856,142,59.41422594142259,93443
deep_MAG_0050,5,26.31578947368421,2532,813924,2634,63,41.72185430463576,31105
deep_MAG_0589,17,32.69230769230769,7190,828132,3016,77,44.252873563218394,38369
deep_MAG_0510,16,40.0,8696,520484,1816,55,38.732394366197184,28738
deep_MAG_0484,5,21.73913043478261,2833,791038,2459,40,29.411764705882355,20472
deep_MAG_0208,11,50.0,5555,696609,2188,85,50.29585798816568,50786
deep_MAG_0305,8,29.629629629629626,3918,826972,2641,26,20.634920634920633,10734
deep_MAG_0291,101,56.74157303370787,55425,1136069,3381,128,57.65765765765766,80403
deep_MAG_0275,1,6.25,513,1015096,3799,13,6.018518518518518,6113
deep_MAG_0202,22,24.719101123595504,9881,1828993,5979,69,24.295774647887324,29077
deep_MAG_0378,61,52.58620689655172,38267,1398997,4022,139,52.65151515151515,84108
deep_MAG_0531,12,31.57894736842105,4716,969228,3365,35,23.809523809523807,14859
deep_MAG_0101,2,11.11111111111111,871,649571,2308,10,9.25925925925926,3856
deep_MAG_0095,2,22.22222222222222,937,507027,1718,10,10.638297872340425,4127
deep_MAG_0176,1,4.0,732,738323,2602,28,27.722772277227726,11691
deep_MAG_0192,0,0,0,226739,734,5,15.625,2130
deep_MAG_0441,10,25.0,3877,694330,2271,23,22.115384615384613,10544
deep_MAG_0340,6,28.57142857142857,3585,764607,2434,104,54.45026178010471,56471
deep_MAG_0600,19,35.18518518518518,9359,724378,2612,71,38.79781420765027,37782
deep_MAG_0144,16,22.22222222222222,8781,1337258,4312,41,20.812182741116754,23278
deep_MAG_0503,21,63.63636363636363,14077,776336,2226,38,33.04347826086956,20468
deep_MAG_0509,26,27.659574468085108,10331,1733932,5691,65,25.89641434262948,25011
deep_MAG_0590,6,31.57894736842105,4624,916477,2787,118,57.84313725490197,57887
deep_MAG_0404,7,29.166666666666668,4107,429745,1283,53,52.475247524752476,29995
deep_MAG_0533,11,16.176470588235293,4197,1073516,3390,27,16.875,9766
deep_MAG_0449,0,0,0,217121,763,10,29.411764705882355,4327
deep_MAG_0103,5,23.809523809523807,2701,925469,2870,52,41.269841269841265,23345
deep_MAG_0539,37,45.1219512195122,20966,3385254,10009,134,37.85310734463277,63732
deep_MAG_0434,11,22.0,6364,1491903,4351,71,36.597938144329895,31913
deep_MAG_0307,0,0,0,353174,1189,11,19.642857142857142,7861
deep_MAG_0293,3,15.789473684210526,1549,996720,3404,10,5.0,3883
deep_MAG_0200,4,33.33333333333333,2026,458394,1455,39,40.625,24624
deep_MAG_0146,2,13.333333333333334,1024,950359,3683,8,4.060913705583756,2914
deep_MAG_0131,4,30.76923076923077,1517,392287,1349,7,10.76923076923077,3041
deep_MAG_0576,0,0,0,144945,523,5,21.73913043478261,2230
deep_MAG_0598,13,30.23255813953488,6269,760706,2940,73,36.318407960199,32917
deep_MAG_0592,13,24.074074074074073,6476,1057566,3551,48,24.36548223350254,26919
deep_MAG_0471,12,27.906976744186046,7414,711279,2336,61,40.939597315436245,43266
deep_MAG_0036,70,53.43511450381679,41621,1571797,4744,138,51.11111111111111,79321
deep_MAG_0608,46,41.81818181818181,25785,1992438,5488,202,57.06214689265536,133893
deep_MAG_0238,6,22.22222222222222,3046,495705,1599,53,48.62385321100918,30359
deep_MAG_0342,5,25.0,2449,542116,1844,23,25.555555555555554,9824
deep_MAG_0335,22,36.0655737704918,13895,1030320,3400,24,21.052631578947366,12732
deep_MAG_0427,12,20.33898305084746,7384,835600,3027,25,26.881720430107524,13536
deep_MAG_0060,24,29.268292682926827,12900,937168,2858,95,55.88235294117647,61092
deep_MAG_0183,0,0,0,295377,1054,3,6.976744186046512,1130
deep_MAG_0084,16,23.18840579710145,6082,1129210,3579,33,20.245398773006134,12359
deep_MAG_0167,2,7.4074074074074066,962,1069247,3892,31,18.235294117647058,11432
deep_MAG_0557,16,30.18867924528302,6240,838685,2893,27,17.647058823529413,9243
deep_MAG_0387,2,25.0,1029,506734,1985,5,4.132231404958678,1834
