COG0477	GEPR	Carbohydrate_transport_and_metabolism/Amino_acid_transport_and_metabolism/Inorganic_ion_transport_and_metabolism/General_function_prediction_only	MFS family permease
COG0464	MDT	Cell_wall_membrane_envelope_biogenesis/Cell_cycle_control_cell_division_and_chromosome_partitioning/Signal_transduction_mechanisms	"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family"
COG2943	MG	Cell_wall_membrane_envelope_biogenesis/Carbohydrate_transport_and_metabolism	Membrane glycosyltransferase
COG1887	MI	Cell_wall_membrane_envelope_biogenesis/Lipid_transport_and_metabolism	"CDP-glycerol glycerophosphotransferase, TagB/SpsB family"
COG3470	MI	Cell_wall_membrane_envelope_biogenesis/Lipid_transport_and_metabolism	Uncharacterized protein probably involved in high-affinity Fe2+ transport
COG3967	MI	Cell_wall_membrane_envelope_biogenesis/Lipid_transport_and_metabolism	Short-chain dehydrogenase involved in D-alanine esterification of teichoic acids
COG4750	MI	Cell_wall_membrane_envelope_biogenesis/Lipid_transport_and_metabolism	CTP:phosphocholine cytidylyltransferase involved in choline phosphorylation for cell surface LPS epi...
COG0795	MN	Cell_wall_membrane_envelope_biogenesis/Cell_motility	"Lipopolysaccharide export LptBFGC system, permease protein LptF"
COG1705	MN	Cell_wall_membrane_envelope_biogenesis/Cell_motility	Flagellum-specific peptidoglycan hydrolase FlgJ
COG1086	MO	Cell_wall_membrane_envelope_biogenesis/Posttranslational_modification_protein_turnover_chaperones	"NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"
COG2825	MO	Cell_wall_membrane_envelope_biogenesis/Posttranslational_modification_protein_turnover_chaperones	"Periplasmic chaperone for outer membrane proteins, Skp family"
COG1181	MR	Cell_wall_membrane_envelope_biogenesis/General_function_prediction_only	D-alanine-D-alanine ligase and related ATP-grasp enzymes
COG1778	MR	Cell_wall_membrane_envelope_biogenesis/General_function_prediction_only	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases
COG3049	MR	Cell_wall_membrane_envelope_biogenesis/General_function_prediction_only	"Penicillin V acylase or related amidase, Ntn superfamily"
COG4948	MR	Cell_wall_membrane_envelope_biogenesis/General_function_prediction_only	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily
COG4623	MT	Cell_wall_membrane_envelope_biogenesis/Signal_transduction_mechanisms	Membrane-bound lytic murein transglycosylase MltF
COG0597	MU	Cell_wall_membrane_envelope_biogenesis/Intracellular_trafficking_secretion_and_vesicular_transport	Lipoprotein signal peptidase
COG3468	MU	Cell_wall_membrane_envelope_biogenesis/Intracellular_trafficking_secretion_and_vesicular_transport	"Type V secretory pathway, adhesin AidA"
COG0845	MV	Cell_wall_membrane_envelope_biogenesis/Defense_mechanisms	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG3015	MV	Cell_wall_membrane_envelope_biogenesis/Defense_mechanisms	Uncharacterized lipoprotein NlpE involved in copper resistance
COG4678	MX	Cell_wall_membrane_envelope_biogenesis/Mobilome_prophages_transposons	Muramidase (phage lambda lysozyme)
COG0643	NT	Cell_motility/Signal_transduction_mechanisms	Chemotaxis protein histidine kinase CheA
COG0835	NT	Cell_motility/Signal_transduction_mechanisms	Chemotaxis signal transduction protein
COG0840	NT	Cell_motility/Signal_transduction_mechanisms	Methyl-accepting chemotaxis protein
COG1352	NT	Cell_motility/Signal_transduction_mechanisms	Methylase of chemotaxis methyl-accepting proteins
COG1871	NT	Cell_motility/Signal_transduction_mechanisms	Chemotaxis receptor (MCP) glutamine deamidase CheD
COG2201	NT	Cell_motility/Signal_transduction_mechanisms	"Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains"
COG3143	NT	Cell_motility/Signal_transduction_mechanisms	"Chemotaxis regulator CheZ, phosphatase of CheY~P"
COG1157	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellar biosynthesis/type III secretory pathway ATPase
COG1317	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellar biosynthesis/type III secretory pathway protein FliH
COG1516	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellin-specific chaperone FliS
COG1766	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ
COG1886	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellar motor switch/type III secretory pathway protein FliN
COG1989	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Prepilin signal peptidase PulO (type II secretory pathway) or related peptidase
COG3418	NU	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport	Flagellar biosynthesis/type III secretory pathway chaperone
COG1459	NUW	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Type II secretory pathway, component PulF"
COG2165	NUW	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Type II secretory pathway, pseudopilin PulG"
COG2804	NUW	Cell_motility/Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB
COG2805	NW	Cell_motility/Extracellular_structures	"Tfp pilus assembly protein PilT, pilus retraction ATPase"
COG3063	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilF
COG3166	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilN
COG3167	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilO
COG3168	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilP
COG3170	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein FimV
COG3188	NW	Cell_motility/Extracellular_structures	Outer membrane usher protein FimD/PapC
COG3215	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilZ
COG3419	NW	Cell_motility/Extracellular_structures	"Tfp pilus assembly protein, tip-associated adhesin PilY1"
COG4726	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilX
COG4966	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilW
COG4967	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilV
COG4968	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein PilE
COG4969	NW	Cell_motility/Extracellular_structures	"Tfp pilus assembly protein, major pilin PilA"
COG4970	NW	Cell_motility/Extracellular_structures	Tfp pilus assembly protein FimT
COG4972	NW	Cell_motility/Extracellular_structures	"Tfp pilus assembly protein, ATPase PilM"
COG5008	NW	Cell_motility/Extracellular_structures	"Tfp pilus assembly protein, ATPase PilU"
COG4233	OC	Posttranslational_modification_protein_turnover_chaperones/Energy_production_and_conversion	"Thiol-disulfide interchange protein, contains DsbC and DsbD domains"
COG5029	OI	Posttranslational_modification_protein_turnover_chaperones/Lipid_transport_and_metabolism	"Prenyltransferase, beta subunit"
COG1899	OJ	Posttranslational_modification_protein_turnover_chaperones/Translation_ribosomal_structure_and_biogenesis	Deoxyhypusine synthase
COG0750	OK	Posttranslational_modification_protein_turnover_chaperones/Transcription	"Membrane-associated protease RseP, regulator of RpoE activity"
COG2844	OT	Posttranslational_modification_protein_turnover_chaperones/Signal_transduction_mechanisms	UTP:GlnB (protein PII) uridylyltransferase
COG4960	OT	Posttranslational_modification_protein_turnover_chaperones/Signal_transduction_mechanisms	"Flp pilus assembly protein, protease CpaA"
COG4959	OU	Posttranslational_modification_protein_turnover_chaperones/Intracellular_trafficking_secretion_and_vesicular_transport	"Type IV secretory pathway, protease TraF"
COG1151	PC	Inorganic_ion_transport_and_metabolism/Energy_production_and_conversion	Hydroxylamine reductase (hybrid-cluster protein)
COG1120	PH	Inorganic_ion_transport_and_metabolism/Coenzyme_transport_and_metabolism	"ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"
COG2924	PO	Inorganic_ion_transport_and_metabolism/Posttranslational_modification_protein_turnover_chaperones	Fe-S cluster biosynthesis and repair protein YggX
COG2146	PQ	Inorganic_ion_transport_and_metabolism/Secondary_metabolites_biosynthesis_transport_and_catabolism	Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase
COG1122	PR	Inorganic_ion_transport_and_metabolism/General_function_prediction_only	Energy-coupling factor transporter ATP-binding protein EcfA2
COG1785	PR	Inorganic_ion_transport_and_metabolism/General_function_prediction_only	Alkaline phosphatase
COG3700	PR	Inorganic_ion_transport_and_metabolism/General_function_prediction_only	Acid phosphatase (class B)
COG4100	PR	Inorganic_ion_transport_and_metabolism/General_function_prediction_only	Cystathionine beta-lyase family protein involved in aluminum resistance
COG4638	PR	Inorganic_ion_transport_and_metabolism/General_function_prediction_only	"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit"
COG3712	PT	Inorganic_ion_transport_and_metabolism/Signal_transduction_mechanisms	"Periplasmic ferric-dicitrate binding protein FerR, regulates iron transport through sigma-19"
COG5036	PU	Inorganic_ion_transport_and_metabolism/Intracellular_trafficking_secretion_and_vesicular_transport	SPX domain-containing protein involved in vacuolar polyphosphate accumulation
COG0783	PV	Inorganic_ion_transport_and_metabolism/Defense_mechanisms	DNA-binding ferritin-like protein (oxidative damage protectant)
COG4576	QC	Secondary_metabolites_biosynthesis_transport_and_catabolism/Energy_production_and_conversion	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM
COG4577	QC	Secondary_metabolites_biosynthesis_transport_and_catabolism/Energy_production_and_conversion	Carboxysome shell and ethanolamine utilization microcompartment protein CcmL/EutN
COG0500	QR	Secondary_metabolites_biosynthesis_transport_and_catabolism/General_function_prediction_only	SAM-dependent methyltransferase
COG2130	QR	Secondary_metabolites_biosynthesis_transport_and_catabolism/General_function_prediction_only	NADPH-dependent curcumin reductase CurA
COG4242	QR	Secondary_metabolites_biosynthesis_transport_and_catabolism/General_function_prediction_only	Cyanophycinase and related exopeptidases
COG4915	QR	Secondary_metabolites_biosynthesis_transport_and_catabolism/General_function_prediction_only	5-bromo-4-chloroindolyl phosphate hydrolysis protein
COG3937	QT	Secondary_metabolites_biosynthesis_transport_and_catabolism/Signal_transduction_mechanisms	Polyhydroxyalkanoate synthesis regulator phasin
COG5394	QT	Secondary_metabolites_biosynthesis_transport_and_catabolism/Signal_transduction_mechanisms	"Polyhydroxyalkanoate (PHA) synthesis regulator protein, binds DNA and PHA"
COG2124	QV	Secondary_metabolites_biosynthesis_transport_and_catabolism/Defense_mechanisms	Cytochrome P450
COG5238	TA	Signal_transduction_mechanisms/RNA_processing_and_modification	Ran GTPase-activating protein (RanGAP) involved in mRNA processing and transport
COG0347	TE	Signal_transduction_mechanisms/Amino_acid_transport_and_metabolism	Nitrogen regulatory protein PII
COG1925	TG	Signal_transduction_mechanisms/Carbohydrate_transport_and_metabolism	"Phosphotransferase system, HPr and related phosphotransfer proteins"
COG0317	TK	Signal_transduction_mechanisms/Transcription	"(p)ppGpp synthase/hydrolase, HD superfamily"
COG0745	TK	Signal_transduction_mechanisms/Transcription	"DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain"
COG2197	TK	Signal_transduction_mechanisms/Transcription	"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"
COG2208	TK	Signal_transduction_mechanisms/Transcription	"Serine phosphatase RsbU, regulator of sigma subunit"
COG3706	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain"
COG3707	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, AmiR/NasT family, consists of REC and RNA-binding antiterminator (ANTAR) domains"
COG3947	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, SAPR family, consists of REC, wHTH and BTAD domains"
COG4566	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, FixJ family, consists of REC and HTH domains"
COG4567	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, ActR/RegA family, consists of REC and Fis-type HTH domains"
COG4753	TK	Signal_transduction_mechanisms/Transcription	"Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains"
COG1437	TR	Signal_transduction_mechanisms/General_function_prediction_only	"Adenylate cyclase class IV, CYTH domain (includes archaeal enzymes of unknown function)"
COG3456	TU	Signal_transduction_mechanisms/Intracellular_trafficking_secretion_and_vesicular_transport	"Predicted component of the type VI protein secretion system, contains a FHA domain"
COG3745	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	Flp pilus assembly protein CpaB
COG3847	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Flp pilus assembly protein, pilin Flp"
COG4961	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	Flp pilus assembly protein TadG
COG4962	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Pilus assembly protein, ATPase of CpaF family"
COG4963	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Flp pilus assembly protein, ATPase CpaE"
COG4964	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Flp pilus assembly protein, secretin CpaC"
COG4965	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	Flp pilus assembly protein TadB
COG5010	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	"Flp pilus assembly protein TadD, contains TPR repeats"
COG5295	UW	Intracellular_trafficking_secretion_and_vesicular_transport/Extracellular_structures	Autotransporter adhesin
COG3501	UXR	Intracellular_trafficking_secretion_and_vesicular_transport/Mobilome_prophages_transposons/General_function_prediction_only	"Uncharacterized conserved protein, implicated in type VI secretion and phage assembly"
COG0386	VI	Defense_mechanisms/Lipid_transport_and_metabolism	"Glutathione peroxidase, house-cleaning role in reducing lipid peroxides"
COG1956	VT	Defense_mechanisms/Signal_transduction_mechanisms	"GAF domain-containing protein, putative methionine-R-sulfoxide reductase"
COG2915	XT	Mobilome_prophages_transposons/Signal_transduction_mechanisms	"Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation"
COG0430	A	RNA_processing_and_modification	RNA 3'-terminal phosphate cyclase
COG1949	A	RNA_processing_and_modification	Oligoribonuclease (3'-5' exoribonuclease)
COG4085	A	RNA_processing_and_modification	"DNA/RNA endonuclease YhcR, contains UshA esterase domain"
COG5180	A	RNA_processing_and_modification	"PAB1-binding protein PBP1, interacts with poly(A)-binding protein"
COG5186	A	RNA_processing_and_modification	Poly(A) polymerase Pap1
COG5239	A	RNA_processing_and_modification	"mRNA deadenylase, 3'-5' endonuclease subunit Ccr4"
COG2036	B	Chromatin_structure_and_dynamics	Archaeal histone H3/H4
COG5531	B	Chromatin_structure_and_dynamics	"Chromatin remodeling complex protein RSC6, contains SWIB domain"
COG5602	B	Chromatin_structure_and_dynamics	"Histone deacetylase complex, regulatory component SIN3"
COG0123	BQ	Chromatin_structure_and_dynamics/Secondary_metaboltes	Acetoin utilization deacetylase AcuC or a related deacetylase
COG0022	C	Energy_production_and_conversion	"Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component"
COG0039	C	Energy_production_and_conversion	Malate/lactate dehydrogenase
COG0045	C	Energy_production_and_conversion	"Succinyl-CoA synthetase, beta subunit"
COG0055	C	Energy_production_and_conversion	"FoF1-type ATP synthase, beta subunit"
COG0056	C	Energy_production_and_conversion	"FoF1-type ATP synthase, alpha subunit"
COG0074	C	Energy_production_and_conversion	"Succinyl-CoA synthetase, alpha subunit"
COG0114	C	Energy_production_and_conversion	Fumarate hydratase class II
COG0224	C	Energy_production_and_conversion	"FoF1-type ATP synthase, gamma subunit"
COG0240	C	Energy_production_and_conversion	Glycerol-3-phosphate dehydrogenase
COG0243	C	Energy_production_and_conversion	Anaerobic selenocysteine-containing dehydrogenase
COG0247	C	Energy_production_and_conversion	Fe-S oxidoreductase
COG0277	C	Energy_production_and_conversion	FAD/FMN-containing dehydrogenase
COG0280	C	Energy_production_and_conversion	Phosphotransacetylase
COG0281	C	Energy_production_and_conversion	Malic enzyme
COG0282	C	Energy_production_and_conversion	Acetate kinase
COG0348	C	Energy_production_and_conversion	Polyferredoxin
COG0355	C	Energy_production_and_conversion	"FoF1-type ATP synthase, epsilon subunit"
COG0356	C	Energy_production_and_conversion	"FoF1-type ATP synthase, membrane subunit a"
COG0371	C	Energy_production_and_conversion	"Glycerol dehydrogenase or related enzyme, iron-containing ADH family"
COG0372	C	Energy_production_and_conversion	Citrate synthase
COG0374	C	Energy_production_and_conversion	"Ni,Fe-hydrogenase I large subunit"
COG0377	C	Energy_production_and_conversion	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase
COG0426	C	Energy_production_and_conversion	Flavorubredoxin
COG0427	C	Energy_production_and_conversion	Acyl-CoA hydrolase
