bin,mean_bin_pnps,median_bin_pnps,count
ARS-31,0.793355121,0.29267314,727
ARS-33,0.156930408,0.050877821,57
ARS-34,1.020576259,0.406799584,2398
ARS-38,2.348008143,1.191469906,556
ARS-4,0.295225581,0.104855072,714
ARS-40,0.281462537,0.180221662,14
ARS-42,0.144735398,0.087385868,2233
ARS-45,0.131107454,0.061873274,644
ARS-46,1.33257664,0.202481222,925
ARS-49,0.213269976,0.073063005,68
ARS-5,0.239855268,0.080733483,581
ARS-51,0.323044146,0.115046344,301
ARS-52,0.787279368,0.077653972,76
ARS-59,0.204961768,0.122436513,1924
ARS-60,0.136806441,0.062206736,1554
ARS-61,0.211985702,0.096893712,1069
ARS-62,0.176751848,0.102216175,80
ARS-7,0.098521444,0.041581992,1021
ARS-70,0.662636122,0.210716438,1696
ARS-71,0.134038358,0.108578952,17
ARS-73,0.271069585,0.186179346,27
ARS-74,0.406357052,0.175022103,124
ARS-75,0.239287432,0.144602847,3055
ARS-76,0.203308075,0.121473923,1139
ARS-77,0.140580964,0.104754319,1347
ARS-81,0.292384632,0.130816646,1991
ARS-84,0.143045197,0.109076936,1688
ARS-86,0.214301796,0.134454491,1751
ARS-93,0.713633661,0.156238032,193
ARS-95,3.978672407,0.160845825,190
CPC-1,0.28134691,0.156179172,2316
CPC-11,0.112962552,0.078593026,2748
CPC-12,0.117371103,0.067691528,289
CPC-1232,0.13655664,0.102663975,603
CPC-13,3.078522018,0.255879451,468
CPC-1326,0.097214205,0.064448973,1506
CPC-1399,0.181291696,0.105925122,1683
CPC-14,0.128125856,0.037691005,1854
CPC-16,0.185141132,0.075744064,785
CPC-17,0.065456305,0.044931749,19
CPC-19,0.314374377,0.068077566,73
CPC-2,0.415412703,0.075986713,196
CPC-20,0.238944574,0.096887148,468
CPC-21,0.130233524,0.076886032,23
CPC-23,0.225326443,0.13213467,2989
CPC-24,0.1340971,0.099428483,54
CPC-25,0.109371952,0.097550201,22
CPC-27,0.361796472,0.167602286,2835
CPC-28,0.716139996,0.140588566,845
CPC-288,0.160984456,0.129488653,1762
CPC-289,0.110270995,0.079477108,1142
CPC-29,0.161535302,0.119595178,1252
CPC-294,0.179495029,0.087938093,2670
CPC-296,0.594095225,0.086898195,75
CPC-297,0.223541412,0.123541832,2026
CPC-3,0.120173468,0.052515867,24
CPC-30,0.120866731,0.100702182,1882
CPC-300,0.22906474,0.132131136,2241
CPC-305,0.223633285,0.139847493,1794
CPC-309,0.118332601,0.060137374,523
CPC-31,0.272493864,0.124493361,233
CPC-310,0.139408322,0.079234214,1109
CPC-316,0.099758063,0.061148405,2509
CPC-319,0.218896561,0.126785607,1966
CPC-32,0.141460874,0.099223729,100
CPC-320,0.262285919,0.129517478,3135
CPC-322,0.176954849,0.087356054,1145
CPC-323,0.175495861,0.136021895,1421
CPC-324,0.188100047,0.124025623,3256
CPC-327,0.169969812,0.080226207,1669
CPC-33,0.075862282,0.038424185,376
CPC-34,0.16039688,0.086524631,187
CPC-38,0.118454193,0.064935397,214
CPC-39,0.220436847,0.096460153,99
CPC-40,0.331138203,0.069296148,264
CPC-41,0.151619964,0.063737781,62
CPC-42,0.118370122,0.061523988,57
CPC-43,0.106282784,0.040252237,1471
CPC-45,0.131936261,0.06200135,1869
CPC-46,0.189727161,0.072539231,61
CPC-47,0.136194744,0.072531839,1892
CPC-48,0.122541528,0.065533185,3299
CPC-49,0.161741658,0.070917955,2794
CPC-5,0.176638543,0.069858446,107
CPC-50,0.187091468,0.111761942,2423
CPC-52,0.297628936,0.13597446,2393
CPC-53,0.202623917,0.141854172,2701
CPC-54,0.120554492,0.056117805,1971
CPC-58,0.260077137,0.129988716,2619
CPC-59,0.232579577,0.124483723,2104
CPC-6,0.236151877,0.08948562,21
CPC-62,0.20798182,0.078791303,67
CPC-64,0.140184273,0.062050455,1312
CPC-67,0.735101519,0.083729581,154
CPC-69,0.224080292,0.076848319,213
CPC-7,0.124909206,0.051021246,1110
CPC-70,0.105785267,0.05504314,818
CPC-71,0.35948413,0.124677743,23
CPC-72,0.094502096,0.045456146,32
CPC-73,0.156105038,0.105070297,1910
CPC-74,0.143962489,0.10188385,1762
CPC-75,0.250477417,0.126431773,2041
CPC-79,0.424219267,0.098731313,139
CPC-8,0.212033991,0.077567633,1883
CPC-80,0.090512511,0.04315963,895
CPC-81,0.271064213,0.086789468,18
CPC-82,0.27302124,0.107280858,2782
CPC-84,0.142902718,0.055443422,697
CPC-85,0.200433188,0.109932987,136
CPC-86,0.213484816,0.111493135,966
CPC-9,0.451540834,0.162318795,187
CPC-95,0.198580502,0.08476369,882
CPC-96,0.193718823,0.089292496,1861
CPC-97,0.120295055,0.095142027,1444
CPC-98,0.076642043,0.037905984,712
EAC-1,0.525342858,0.060031171,2199
EAC-10,0.093334554,0.068034629,1346
EAC-102,0.223631645,0.100783217,1131
EAC-103,0.219509639,0.108268638,750
EAC-107,0.142552149,0.071572902,1497
EAC-108,0.148541429,0.066152473,142
EAC-109,0.126202412,0.070446651,80
EAC-11,0.178378961,0.10377489,1442
EAC-113,0.11025462,0.070591912,926
EAC-117,0.186136387,0.124828683,1314
EAC-13,0.896723225,0.151648544,107
EAC-16,0.09031934,0.055754292,2627
EAC-17,0.134644844,0.053314659,229
EAC-1768,0.170894984,0.078708163,1434
EAC-1785,0.181336616,0.137659893,1239
EAC-2,0.223287156,0.092632783,1453
EAC-20,0.199111645,0.073801328,1657
EAC-2006,0.195816689,0.145248598,1219
EAC-2011,0.138084389,0.096746603,1242
EAC-2021,0.177725212,0.110546085,1763
EAC-2037,0.210348908,0.14922896,1339
EAC-21,0.093706915,0.049460178,2033
EAC-24,0.214806934,0.102346867,2165
EAC-27,0.173744661,0.11145092,2334
EAC-29,0.134801296,0.081443705,2455
EAC-3,0.855501302,0.095616976,2741
EAC-30,0.10580252,0.065032374,1342
EAC-31,0.220440298,0.075777709,1655
EAC-32,0.21845925,0.141874278,1141
EAC-33,0.171833643,0.122590025,1461
EAC-34,0.168439662,0.090091674,1369
EAC-35,0.151373169,0.090732998,2201
EAC-36,0.091578319,0.057498609,1835
EAC-37,0.233998126,0.091742039,2079
EAC-38,0.213110383,0.140845228,1040
EAC-39,0.161075295,0.079549758,1216
EAC-4,0.290315079,0.077797751,1283
EAC-41,0.244671826,0.127178078,1009
EAC-42,0.501504901,0.212533423,2649
EAC-43,0.140801053,0.077352022,462
EAC-44,0.095196216,0.056896428,1949
EAC-45,0.096161723,0.054974699,3121
EAC-46,0.155548974,0.068988555,1369
EAC-47,0.153882609,0.061436674,512
EAC-48,0.095393961,0.056615297,1359
EAC-49,0.195327261,0.085612787,647
EAC-5,2.265880651,0.334081454,15
EAC-50,0.104179699,0.061489351,2567
EAC-51,0.116018246,0.059286846,702
EAC-52,0.565182104,0.109290451,30
EAC-54,0.16710479,0.09778736,519
EAC-55,0.099180099,0.058128913,1758
EAC-56,0.168984486,0.081176736,524
EAC-58,0.101422573,0.060427842,1395
EAC-59,0.16444811,0.08519916,41
EAC-6,0.147000916,0.078093379,2546
EAC-60,0.157898868,0.079433751,781
EAC-62,1.568834544,0.141069065,50
EAC-623,0.127359051,0.094370684,2393
EAC-624,0.124978355,0.094261093,1436
EAC-625,0.163970822,0.085235534,2001
EAC-627,0.247982048,0.130994543,2321
EAC-63,4.434037959,0.291464159,187
EAC-631,0.257956561,0.103546812,1430
EAC-632,0.362943551,0.113133139,512
EAC-634,0.148876789,0.091687208,2608
EAC-635,0.314500599,0.18985736,1901
EAC-64,0.088192608,0.057161567,998
EAC-642,0.139633167,0.108119604,1422
EAC-645,0.553907515,0.180352097,1950
EAC-646,0.173381276,0.099794671,2639
EAC-647,0.158677658,0.108269246,2408
EAC-649,0.121856333,0.093112648,1174
EAC-65,0.158674884,0.104307698,1885
EAC-650,0.177778582,0.124267882,1525
EAC-653,0.151592282,0.118267686,1324
EAC-654,0.220359524,0.150401445,2689
EAC-657,0.190880295,0.089840307,2092
EAC-66,0.171622096,0.063111552,549
EAC-662,0.245026317,0.15525875,3096
EAC-670,0.155516946,0.095370726,2454
EAC-673,0.114099851,0.064879993,2360
EAC-674,0.155216402,0.117095672,1608
EAC-676,0.191530878,0.124861095,1370
EAC-68,0.16327922,0.093646347,319
EAC-682,0.127494272,0.093120188,1615
EAC-683,0.135415094,0.076786156,1620
EAC-69,0.220310552,0.079309366,248
EAC-691,0.265136942,0.145723376,750
EAC-695,0.089360986,0.052276093,2694
EAC-707,0.625787837,0.131103742,1666
EAC-708,0.23075364,0.17067581,1661
EAC-71,0.159648392,0.081793515,813
EAC-710,0.100521376,0.074917514,1459
EAC-713,0.122398637,0.059412784,2421
EAC-714,0.116396409,0.089265464,1115
EAC-723,0.184346015,0.153971189,1362
EAC-73,0.111167732,0.066620793,1302
EAC-74,0.207010523,0.114356899,103
EAC-75,0.201496437,0.104783399,291
EAC-76,0.205769813,0.105230577,532
EAC-77,0.157149782,0.087109303,412
EAC-78,0.202141834,0.11359106,935
EAC-81,0.186436165,0.134059884,3055
EAC-83,0.184374219,0.076939605,1158
EAC-85,0.1644864,0.095465802,625
EAC-86,0.185077913,0.147072063,2040
EAC-87,0.175761724,0.120334749,182
EAC-88,0.266973319,0.15004582,151
EAC-9,0.158517491,0.11163105,2541
EAC-91,0.311801928,0.118739842,107
EAC-92,0.192133272,0.096663118,574
EAC-93,0.161323473,0.094446935,25
EAC-94,0.644492929,0.18892096,658
EAC-95,0.172447835,0.098378975,468
EAC-97,0.124968191,0.076586013,1870
EAC-98,1.244058227,0.13649389,774
EAC-99,0.121112055,0.081304708,995
IN-1,2.533522799,0.166924218,882
IN-10,0.303603686,0.089542959,19
IN-1077,0.18728483,0.082970277,1437
IN-11,0.172659624,0.090894466,4928
IN-12,0.212548802,0.110695674,1427
IN-1213,0.15867603,0.10595747,1748
IN-13,0.198949482,0.070891875,534
IN-1311,0.175745495,0.117043505,2370
IN-14,0.145878083,0.083226243,1932
IN-15,0.1310106,0.075335529,2450
IN-16,0.188953367,0.112410079,226
IN-17,0.282240696,0.068441488,142
IN-18,0.202583921,0.079510295,291
IN-19,0.081897261,0.043044759,3854
IN-2,0.130188377,0.070551605,570
IN-20,0.300941747,0.112276994,1854
IN-21,0.102362739,0.069135407,2482
IN-22,2.485188251,0.384426564,278
IN-23,0.157355807,0.066627321,961
IN-25,0.154455361,0.102932538,428
IN-27,0.241040134,0.079961558,910
IN-28,1.593818791,0.842015416,815
IN-29,0.746571759,0.081952887,429
IN-3,4.425366024,2.0226115,3118
IN-32,0.127080107,0.066951326,3189
IN-35,0.109017749,0.059556812,1543
IN-37,0.10589187,0.070264802,1144
IN-40,0.220694544,0.094561833,57
IN-42,0.202684348,0.12465146,1998
IN-43,0.226602595,0.133340274,1812
IN-47,0.14002896,0.087065241,1982
IN-48,0.225937701,0.129959417,2260
IN-5,0.349738143,0.062763984,134
IN-6,0.135781389,0.069755959,3530
IN-7,0.132132269,0.068380088,1444
IN-8,0.10852899,0.068187655,2633
IN-9,0.138401122,0.069769402,2221
IN-912,0.468528678,0.116497931,269
IN-918,0.17687691,0.094671961,1060
IN-919,0.127554348,0.077196466,1880
IN-921,0.193836863,0.111080552,1508
IN-922,0.174756689,0.090957093,2453
IN-924,0.154130093,0.092557114,1907
IN-928,0.178195241,0.088699144,2291
IN-929,0.169528697,0.105583096,2044
IN-961,0.085280987,0.053467629,1091
MED-1001,0.16365238,0.099672638,1271
MED-1008,0.353348961,0.286836594,1743
MED-1017,0.163873306,0.115368532,1060
MED-104,0.098729509,0.062035407,937
MED-1047,0.195883946,0.063254672,1162
MED-1076,0.329363767,0.11231693,457
MED-1093,0.159120872,0.093773904,1161
MED-1094,0.860459649,0.241289984,334
MED-1105,0.161058488,0.095711722,1639
MED-1116,0.212906147,0.096870796,308
MED-1122,0.249754771,0.146527467,1968
MED-1153,0.153620856,0.070570376,308
MED-1155,0.191877614,0.09880588,175
MED-1190,0.477537732,0.222802235,1290
MED-1223,0.141499922,0.095393472,1213
MED-1227,0.160698038,0.116535026,1977
MED-1233,0.235297297,0.097421532,358
MED-1247,0.229766158,0.142211683,1131
MED-1261,0.158388193,0.088180275,604
MED-1269,0.282384014,0.119325448,359
MED-1270,0.29258976,0.153107769,405
MED-580,0.694804077,0.070967693,19
MED-581,0.226763558,0.154530942,1995
MED-582,0.186621269,0.115412331,1344
MED-584,0.471873144,0.173175229,646
MED-585,0.219459123,0.128805819,1705
MED-586,0.140396636,0.115183005,1354
MED-587,1.694388187,0.637383012,1498
MED-588,0.121906822,0.064669939,2954
MED-589,0.249091185,0.143840687,1630
MED-590,0.188750276,0.113162305,1918
MED-591,0.336000545,0.141766006,529
MED-592,0.138125799,0.067228347,3005
MED-593,0.261139914,0.149509264,1232
MED-594,0.217634833,0.108845247,2169
MED-595,0.19216972,0.125936076,1791
MED-596,0.169401086,0.125562835,1517
MED-598,0.356429466,0.144604568,481
MED-599,0.253940107,0.14569321,447
MED-601,0.261169534,0.221522369,11
MED-602,0.20722024,0.098166654,815
MED-605,0.197856706,0.091277004,988
MED-606,0.158518049,0.094332004,522
MED-608,0.168096928,0.062450124,27
MED-609,0.396491535,0.138369942,11
MED-610,0.789561105,0.461577806,2993
MED-611,0.251355612,0.159923964,1613
MED-613,0.19640732,0.149294989,1448
MED-614,0.384227309,0.2026477,1486
MED-615,0.312843578,0.252072488,1520
MED-616,0.30708996,0.206281146,2024
MED-617,0.126934173,0.101125676,1474
MED-619,0.532704294,0.307529074,1280
MED-620,0.359280788,0.256141833,2616
MED-621,0.386445886,0.159584899,1596
MED-622,0.277255944,0.207722201,2054
MED-623,0.366154305,0.213828954,2034
MED-624,0.574285529,0.348701131,2901
MED-626,0.247416776,0.122902847,1233
MED-630,0.336946475,0.129509187,1374
MED-632,0.186329851,0.120244349,2624
MED-633,0.130954854,0.06709036,3257
MED-635,0.224611612,0.101574056,336
MED-636,0.223935639,0.144968393,1669
MED-637,0.323443811,0.196569656,1950
MED-641,0.126068643,0.086435407,1198
MED-643,0.152661944,0.099519476,2880
MED-645,0.162040451,0.099364435,1253
MED-648,0.17527725,0.134161491,1979
MED-649,0.189433336,0.134155546,1205
MED-650,0.154996636,0.07222057,726
MED-651,0.294718797,0.156477587,1338
MED-652,0.151385298,0.106741169,1652
MED-653,1.071574638,0.315800743,405
MED-654,0.355925573,0.181420441,1413
MED-655,0.175032768,0.116530254,2212
MED-657,0.374212075,0.118796292,703
MED-665,0.727048464,0.164426978,22
MED-666,0.213957209,0.135293244,1236
MED-667,0.299994052,0.167525229,253
MED-668,0.481870063,0.289913064,3308
MED-670,0.538989182,0.199029489,1116
MED-673,0.169861174,0.123192102,1924
MED-674,0.30892984,0.150024563,218
MED-676,0.290403332,0.146813451,1018
MED-677,0.214115867,0.097908202,590
MED-682,0.304739024,0.19693526,2260
MED-689,0.134175253,0.070030073,677
MED-690,0.14267851,0.135391575,33
MED-692,0.16518878,0.071205297,31
MED-694,1.620782958,0.904203388,128
MED-695,0.379488146,0.204351913,1267
MED-696,1.385383091,0.948554535,1121
MED-697,0.147452248,0.053746499,31
MED-698,0.476766335,0.292003932,2116
MED-702,0.407532443,0.089480794,2809
MED-703,0.253383928,0.1468669,1310
MED-704,0.178887751,0.096248967,568
MED-705,0.120049198,0.075484294,1075
MED-706,0.19119318,0.121311211,923
MED-707,0.117432504,0.051489179,630
MED-712,0.155586666,0.117627543,1353
MED-713,0.358364586,0.107487301,501
MED-715,0.137498626,0.099320467,1265
MED-716,0.676460635,0.223332789,164
MED-717,0.259602642,0.151148561,1479
MED-718,0.197078935,0.087503964,418
MED-719,0.353336343,0.17443558,1623
MED-721,0.345883949,0.109272499,807
MED-725,0.459892883,0.282176964,1016
MED-728,1.846750582,1.449060858,3924
MED-729,0.169466857,0.122544178,1430
MED-730,0.406813348,0.346301895,1428
MED-731,0.389499264,0.11540166,936
MED-732,0.236930051,0.154712856,1344
MED-733,0.259868212,0.164107005,1667
MED-734,0.236421878,0.141281786,1697
MED-735,0.167382311,0.130523467,1782
MED-736,0.294912294,0.107374267,262
MED-738,0.090657243,0.048283551,1214
MED-739,0.312058265,0.217505883,1165
MED-740,0.151731752,0.057195632,1139
MED-741,0.318152197,0.142982982,1753
MED-743,0.252255783,0.12564405,415
MED-744,0.316463128,0.132539063,1509
MED-745,0.273025926,0.135486177,2102
MED-746,0.356376372,0.134451986,1070
MED-747,0.279967099,0.157944761,1236
MED-748,0.182410802,0.079148758,63
MED-752,0.321103929,0.111117313,2052
MED-753,0.362544049,0.120328412,201
MED-754,1.193458261,0.163128728,420
MED-756,0.189989835,0.138907727,14
MED-757,0.18159791,0.093646503,250
MED-759,0.54523291,0.364590902,1467
MED-762,0.251453555,0.13342505,1481
MED-763,0.230082291,0.136567465,1478
MED-765,0.310165002,0.145328921,933
MED-766,0.261595823,0.136658182,1230
MED-767,0.251124669,0.124600516,1426
MED-768,0.319666094,0.142862136,732
MED-769,0.223689044,0.092112021,636
MED-775,0.255754094,0.171790292,1701
MED-777,0.837408391,0.666355671,1510
MED-778,0.697502948,0.221337714,847
MED-779,0.15086575,0.107819252,1341
MED-783,0.21396785,0.169733253,18
MED-792,0.198388126,0.119539309,1829
MED-796,0.244539544,0.127029874,1355
MED-797,0.202277444,0.13965806,2183
MED-801,0.127073093,0.079190128,1109
MED-803,0.216301108,0.111724328,115
MED-806,0.20739448,0.120173392,2007
MED-809,0.399237536,0.168541302,1208
MED-810,0.641795551,0.464702237,2247
MED-813,0.224613785,0.085987117,921
MED-814,0.261932481,0.183015788,1829
MED-815,0.339086545,0.1764297,1687
MED-818,0.184827537,0.139405968,1240
MED-819,0.186547629,0.112648791,1191
MED-820,0.560415668,0.165942252,211
MED-825,0.363355076,0.18311123,1996
MED-827,0.172689681,0.086232799,667
MED-828,0.154002458,0.117691055,1919
MED-829,0.150231123,0.114995742,1000
MED-831,0.22313396,0.090522801,1681
MED-835,0.149478416,0.142391921,21
MED-837,0.157137225,0.087024362,1578
MED-841,0.567864912,0.335656517,960
MED-846,0.13303458,0.086910947,1089
MED-850,0.157798672,0.087258374,588
MED-853,0.362564333,0.166726619,1872
MED-855,0.442339092,0.187883691,376
MED-856,0.152859279,0.119332446,1455
MED-857,0.401189577,0.207491554,1218
MED-861,0.251538937,0.15406584,544
MED-862,0.165844913,0.097564687,669
MED-867,0.141519163,0.108989306,1696
MED-870,0.077803812,0.04634451,1354
MED-878,0.209769171,0.10857143,1129
MED-879,0.152801014,0.106673163,1432
MED-880,0.303399192,0.238583371,1621
MED-882,0.167731269,0.07505135,908
MED-899,0.105691605,0.066282159,1479
MED-921,0.193774674,0.105414453,1306
MED-928,0.667016721,0.235329156,2472
MED-950,0.144614879,0.090766786,931
MED-955,0.118834268,0.090672044,1452
MED-965,0.144525863,0.105017982,1863
MED-972,0.177892693,0.129611227,1544
MED-995,0.156303863,0.113046515,1102
NAT-10,0.100542815,0.057113716,2595
NAT-102,0.209534099,0.133043287,1724
NAT-108,0.309762492,0.133311318,2104
NAT-109,0.180927932,0.119072183,1926
NAT-11,0.135432766,0.081133182,1474
NAT-118,0.132432051,0.071815995,538
NAT-119,0.16043375,0.075378786,747
NAT-12,0.115808241,0.094963022,1058
NAT-121,0.263849729,0.089515951,132
NAT-123,0.742329277,0.402762943,25
NAT-13,0.124524857,0.083333512,1470
NAT-132,0.137797582,0.062128263,262
NAT-133,0.112421205,0.108822378,15
NAT-134,0.097459779,0.07068694,13
NAT-136,0.164305493,0.126412142,1216
NAT-137,0.14455173,0.092696447,892
NAT-139,0.1745335,0.087094735,105
NAT-14,0.187200679,0.102889065,2822
NAT-141,0.129577604,0.07504647,92
NAT-142,0.183712587,0.095410249,1918
NAT-143,0.171261499,0.094024952,1578
NAT-145,0.254587076,0.142080571,1128
NAT-146,0.122899418,0.083905782,1364
NAT-149,0.234038337,0.066220831,90
NAT-15,0.055559141,0.014362949,14
NAT-154,0.095367543,0.057219306,1610
NAT-157,0.236096431,0.105950983,48
NAT-158,0.1248879,0.056753733,52
NAT-16,0.095851366,0.042533963,121
NAT-161,0.200912974,0.115907151,980
NAT-163,0.139014258,0.096030889,1350
NAT-165,0.275645602,0.087903503,302
NAT-166,0.17990065,0.13056108,1811
NAT-167,0.210551163,0.054236488,22
NAT-17,0.116883206,0.068864483,118
NAT-170,0.165488772,0.101056868,141
NAT-171,0.130323535,0.083274229,1298
NAT-173,0.14534267,0.072668254,10
NAT-175,0.148073321,0.110276796,1627
NAT-176,1.166446907,0.186874786,20
NAT-178,0.356582885,0.112101383,21
NAT-179,0.169690036,0.129231307,1453
NAT-18,0.169751321,0.0403306,448
NAT-181,0.149957634,0.106348613,2084
NAT-182,0.122174392,0.075617912,269
NAT-185,0.154728213,0.114270316,2072
NAT-187,0.165425675,0.112076534,1673
NAT-19,0.063564089,0.045327013,80
NAT-190,0.102062142,0.073826503,1218
NAT-197,0.119426776,0.076663141,1238
NAT-198,0.121158576,0.091895154,1418
NAT-20,0.164703997,0.073749385,38
NAT-200,0.121490804,0.083241281,1059
NAT-201,0.187349459,0.062036451,161
NAT-203,0.129379087,0.086505334,1587
NAT-205,0.193266107,0.128162652,1326
NAT-209,0.10438906,0.041687018,10
NAT-21,0.319834567,0.067096843,12
NAT-217,0.133216152,0.101758148,1421
NAT-22,0.263987959,0.159489713,56
NAT-220,0.12298688,0.096672074,1426
NAT-221,0.183615746,0.106127546,1385
NAT-222,0.123226718,0.087876615,1029
NAT-224,0.139358595,0.103900446,1427
NAT-225,0.16188541,0.106116262,2655
NAT-231,0.210220743,0.117951032,847
NAT-232,0.147227044,0.096368863,1105
NAT-236,0.133842485,0.089868777,531
NAT-237,0.284999129,0.121353512,1409
NAT-238,0.104562384,0.064699375,1440
NAT-24,0.491744834,0.097258848,37
NAT-241,0.258394916,0.139842251,609
NAT-242,0.196160267,0.130122013,2227
NAT-245,0.147560899,0.084872855,991
NAT-248,0.193629609,0.127719184,1520
NAT-249,0.069444509,0.021873241,30
NAT-252,0.141605182,0.115029163,1308
NAT-255,0.125604895,0.088911288,1852
NAT-258,0.144874612,0.068186584,549
NAT-259,0.146098685,0.115246201,1573
NAT-269,0.153446536,0.09712622,1167
NAT-271,0.102438952,0.077123569,1171
NAT-272,0.113978638,0.09081106,1075
NAT-276,0.115594519,0.058706487,1762
NAT-278,0.128739509,0.099106514,1663
NAT-28,0.490938785,0.129258032,669
NAT-280,0.175156813,0.121691032,1474
NAT-284,0.202573568,0.084692914,2137
NAT-288,0.190425043,0.083278186,993
NAT-3,0.12948142,0.083008128,25
NAT-30,0.27647814,0.052556409,73
NAT-32,0.08253611,0.031690026,69
NAT-33,0.206318772,0.060161139,26
NAT-34,0.112909738,0.085039413,1435
NAT-39,0.144789529,0.10910024,2608
NAT-4,0.972783025,0.114667041,49
NAT-40,0.245754024,0.103744278,2250
NAT-41,0.163823902,0.11170202,2024
NAT-417,0.138987176,0.08731561,1106
NAT-422,0.13306508,0.081552777,90
NAT-43,0.176746205,0.140133568,1851
NAT-430,0.093998316,0.065093454,899
NAT-441,0.361251802,0.152890781,14
NAT-45,0.202496897,0.153492453,1396
NAT-453,0.114947759,0.069315999,1327
NAT-46,0.118578838,0.059754761,279
NAT-5,0.480090764,0.088683002,23
NAT-501,0.148622879,0.074511589,414
NAT-509,0.140874035,0.085590514,958
NAT-510,0.137712643,0.080978484,913
NAT-52,0.129249872,0.103646419,1683
NAT-53,0.09626934,0.076506603,1067
NAT-535,0.25254131,0.106056206,944
NAT-54,0.137679517,0.065516972,776
NAT-55,0.137838514,0.100383738,1685
NAT-60,0.106669714,0.036397417,139
NAT-61,0.205802468,0.104779265,80
NAT-62,0.127176976,0.088284939,1245
NAT-64,0.097294209,0.039356232,401
NAT-66,0.14184378,0.117294184,2677
NAT-68,0.241297165,0.058762831,1410
NAT-686,0.174431865,0.095953117,1053
NAT-69,0.209455146,0.113216886,919
NAT-7,0.080023231,0.021456522,18
NAT-70,0.217225524,0.092341775,822
NAT-71,0.138919827,0.084046004,2377
NAT-72,0.147792278,0.105607072,2114
NAT-74,0.133798978,0.093704088,1355
NAT-75,0.106653051,0.068328308,570
NAT-79,0.171752567,0.120635179,2599
NAT-82,0.119753553,0.068811952,94
NAT-88,0.158528903,0.120697583,1253
NAT-90,0.15348003,0.103054558,1114
NAT-91,0.059774731,0.039893146,150
NAT-92,0.202861976,0.08364476,23
NAT-94,0.281329193,0.152695397,149
NAT-96,0.07881437,0.052429036,1423
NP-1,0.106366128,0.060667871,1757
NP-10,0.250697696,0.07758193,488
NP-101,0.164068456,0.092110551,1174
NP-103,0.201245839,0.078865123,16
NP-104,0.128983087,0.093739908,1366
NP-1044,0.33610193,0.178638943,456
NP-1046,0.266335847,0.121259884,212
NP-105,0.363913482,0.189197458,1769
NP-1051,0.275121238,0.185453073,1065
NP-1052,0.238604483,0.14729314,1233
NP-106,0.365453898,0.176725552,769
NP-107,0.182575419,0.10336709,353
NP-1070,0.187598227,0.129770919,1308
NP-109,1.172594891,0.333538654,161
NP-110,0.517644094,0.172014063,747
NP-112,0.363121998,0.133303315,788
NP-113,0.31620895,0.17051077,3561
NP-1160,0.151802655,0.087504934,455
NP-117,0.236957634,0.10466636,2012
NP-119,0.877095173,0.357883413,99
NP-12,0.253965297,0.081907202,288
NP-122,0.184454457,0.13124635,2315
NP-124,0.372095455,0.103750608,58
NP-125,0.097934997,0.050206106,1710
NP-127,0.193086505,0.082380118,1385
NP-1277,0.173775108,0.130543239,1134
NP-13,0.113711304,0.067255102,2271
NP-132,0.455445492,0.198930447,764
NP-133,0.309192939,0.187340093,1751
NP-135,0.259147545,0.106792484,155
NP-138,0.302876787,0.178345321,1354
NP-1391,0.331179754,0.173641173,2142
NP-1395,0.237261254,0.094180678,906
NP-140,0.273490265,0.108948602,749
