gene_callers_id,contig,start,stop,integron,ocean
32859,CPC-17_11926,336694,337180,complete,CPC
32860,CPC-17_11926,337432,337675,complete,CPC
32861,CPC-17_11926,337751,338414,complete,CPC
32862,CPC-17_11926,338545,339145,complete,CPC
32943,CPC-17_30501,850,2419,complete,CPC
32944,CPC-17_30501,2607,2967,complete,CPC
32945,CPC-17_30501,3082,3448,complete,CPC
32946,CPC-17_30501,3529,4024,complete,CPC
32947,CPC-17_30501,4115,5612,complete,CPC
32948,CPC-17_30501,5899,6385,complete,CPC
32949,CPC-17_30501,6353,6881,complete,CPC
47043,CPC-8_93983,34675,35392,CALIN,CPC
47044,CPC-8_93983,35514,36393,CALIN,CPC
47045,CPC-8_93983,36392,36899,CALIN,CPC
47046,CPC-8_93983,36933,37194,CALIN,CPC
47047,CPC-8_93983,37260,37665,CALIN,CPC
47049,CPC-8_93983,38242,38836,CALIN,CPC
47050,CPC-8_93983,38934,39282,CALIN,CPC
47053,CPC-8_93983,41088,41400,CALIN,CPC
47054,CPC-8_93983,41392,41680,CALIN,CPC
49647,CPC-8_MHASMcontig_742984,205,625,complete,CPC
49648,CPC-8_MHASMcontig_742984,991,1984,complete,CPC
55795,CPC-34_MHASMcontig_743357,54810,55440,complete,CPC
55796,CPC-34_MHASMcontig_743357,55558,56074,complete,CPC
55797,CPC-34_MHASMcontig_743357,56183,57542,complete,CPC
55798,CPC-34_MHASMcontig_743357,57642,58047,complete,CPC
55799,CPC-34_MHASMcontig_743357,58193,58721,complete,CPC
55800,CPC-34_MHASMcontig_743357,59167,59923,complete,CPC
55801,CPC-34_MHASMcontig_743357,60093,60525,complete,CPC
55802,CPC-34_MHASMcontig_743357,60771,61692,complete,CPC
55805,CPC-34_MHASMcontig_743357,62698,63619,complete,CPC
55806,CPC-34_MHASMcontig_743357,63865,64297,complete,CPC
55807,CPC-34_MHASMcontig_743357,64467,65223,complete,CPC
55808,CPC-34_MHASMcontig_743357,65669,66197,complete,CPC
55809,CPC-34_MHASMcontig_743357,66343,66748,complete,CPC
55810,CPC-34_MHASMcontig_743357,66848,68207,complete,CPC
55811,CPC-34_MHASMcontig_743357,68316,68832,complete,CPC
55812,CPC-34_MHASMcontig_743357,68950,69580,complete,CPC
68491,CPC-48_25101,1440,2409,In0,CPC
70369,CPC-48_MHASMcontig_120922,444,1467,CALIN,CPC
70370,CPC-48_MHASMcontig_120922,1550,1946,CALIN,CPC
70371,CPC-48_MHASMcontig_120922,2075,2474,CALIN,CPC
70372,CPC-48_MHASMcontig_120922,2582,3281,CALIN,CPC
70373,CPC-48_MHASMcontig_120922,3781,4324,CALIN,CPC
70374,CPC-48_MHASMcontig_120922,4411,4798,CALIN,CPC
70375,CPC-48_MHASMcontig_120922,4953,5427,CALIN,CPC
70376,CPC-48_MHASMcontig_120922,5561,5750,CALIN,CPC
70544,CPC-33_144,1438,2314,CALIN,CPC
70545,CPC-33_144,2414,2969,CALIN,CPC
70546,CPC-33_144,3042,4659,CALIN,CPC
70575,CPC-33_90996,1940,2819,CALIN,CPC
70576,CPC-33_90996,2823,3426,CALIN,CPC
70577,CPC-33_90996,3422,4070,CALIN,CPC
71442,CPC-33_93467,33155,33953,CALIN,CPC
71443,CPC-33_93467,34352,34685,CALIN,CPC
71444,CPC-33_93467,34800,35196,CALIN,CPC
71445,CPC-33_93467,35287,35719,CALIN,CPC
71446,CPC-33_93467,35822,36191,CALIN,CPC
71447,CPC-33_93467,36162,36288,CALIN,CPC
71448,CPC-33_93467,36290,36770,CALIN,CPC
71449,CPC-33_93467,36930,37212,CALIN,CPC
71592,CPC-33_93899,1647,2181,CALIN,CPC
71593,CPC-33_93899,2399,2816,CALIN,CPC
71594,CPC-33_93899,2950,3253,CALIN,CPC
71595,CPC-33_93899,3366,3828,CALIN,CPC
71667,CPC-33_94091,5361,6783,CALIN,CPC
71668,CPC-33_94091,6779,7607,CALIN,CPC
71669,CPC-33_94091,7548,8940,CALIN,CPC
72932,CPC-6_91494,7901,8729,CALIN,CPC
72933,CPC-6_91494,8961,10095,CALIN,CPC
72934,CPC-6_91494,10199,11276,CALIN,CPC
73258,CPC-6_92276,794,1838,CALIN,CPC
73259,CPC-6_92276,2025,2352,CALIN,CPC
74772,CPC-6_MHASMcontig_710863,13749,14718,In0,CPC
78132,CPC-16_24677,176,767,CALIN,CPC
78133,CPC-16_24677,836,1271,CALIN,CPC
78134,CPC-16_24677,1451,1835,CALIN,CPC
78135,CPC-16_24677,1955,2246,CALIN,CPC
78136,CPC-16_24677,2316,2784,CALIN,CPC
78137,CPC-16_24677,2819,3257,CALIN,CPC
78138,CPC-16_24677,3253,4615,CALIN,CPC
78139,CPC-16_24677,4618,7843,CALIN,CPC
78169,CPC-16_25153,14818,14968,CALIN,CPC
78170,CPC-16_25153,15178,15271,CALIN,CPC
78171,CPC-16_25153,15597,16284,CALIN,CPC
78172,CPC-16_25153,16301,16469,CALIN,CPC
78173,CPC-16_25153,16539,18045,CALIN,CPC
78174,CPC-16_25153,18111,18408,CALIN,CPC
78175,CPC-16_25153,18394,18652,CALIN,CPC
78176,CPC-16_25153,18722,18881,CALIN,CPC
78177,CPC-16_25153,18884,19073,CALIN,CPC
78178,CPC-16_25153,19260,20985,CALIN,CPC
78179,CPC-16_25153,21123,21684,CALIN,CPC
78184,CPC-16_25153,27760,28723,In0,CPC
87174,CPC-11_118333,60545,60746,CALIN,CPC
87175,CPC-11_118333,60861,61479,CALIN,CPC
87176,CPC-11_118333,61604,63284,CALIN,CPC
87177,CPC-11_118333,63377,64235,CALIN,CPC
87795,CPC-64_21130,38263,38701,CALIN,CPC
87796,CPC-64_21130,38771,39401,CALIN,CPC
87797,CPC-64_21130,39418,40009,CALIN,CPC
87817,CPC-64_21257,9550,10300,CALIN,CPC
87818,CPC-64_21257,10384,10843,CALIN,CPC
87819,CPC-64_21257,10913,11354,CALIN,CPC
91589,CPC-80_8533,12486,13473,complete,CPC
91590,CPC-80_8533,13772,14096,complete,CPC
91591,CPC-80_8533,14655,16191,complete,CPC
91592,CPC-80_8533,16382,16943,complete,CPC
91593,CPC-80_8533,17037,17628,complete,CPC
91594,CPC-80_8533,17723,19322,complete,CPC
145377,CPC-309_MHASMcontig_91883,6419,6524,CALIN,CPC
145541,CPC-309_MHASMcontig_95280,56808,57438,complete,CPC
145542,CPC-309_MHASMcontig_95280,57573,58560,complete,CPC
145543,CPC-309_MHASMcontig_95280,58634,59387,complete,CPC
145544,CPC-309_MHASMcontig_95280,59390,59939,complete,CPC
145545,CPC-309_MHASMcontig_95280,60006,60858,complete,CPC
145546,CPC-309_MHASMcontig_95280,61079,62102,complete,CPC
151572,CPC-72_MHASMcontig_975499,398,779,complete,CPC
151573,CPC-72_MHASMcontig_975499,764,1355,complete,CPC
151574,CPC-72_MHASMcontig_975499,1444,2350,complete,CPC
151575,CPC-72_MHASMcontig_975499,3143,4079,complete,CPC
151630,CPC-72_MHASMcontig_977432,33143,33953,CALIN,CPC
151631,CPC-72_MHASMcontig_977432,34403,35585,CALIN,CPC
152153,CPC-72_MHASMcontig_994183,102877,103498,CALIN,CPC
172150,CPC-95_87575,263,773,CALIN,CPC
172151,CPC-95_87575,888,1161,CALIN,CPC
173110,CPC-95_89100,89137,89473,CALIN,CPC
173111,CPC-95_89100,89568,89784,CALIN,CPC
173326,CPC-95_89110,98690,99074,CALIN,CPC
174118,CPC-95_90427,88835,89615,CALIN,CPC
174119,CPC-95_90427,89685,90180,CALIN,CPC
174120,CPC-95_90427,90224,90761,CALIN,CPC
174121,CPC-95_90427,90857,91361,CALIN,CPC
174288,CPC-95_90777,19676,20378,CALIN,CPC
174290,CPC-95_90777,21394,22282,CALIN,CPC
174434,CPC-95_90777,183165,184152,complete,CPC
174435,CPC-95_90777,184486,185311,complete,CPC
181688,CPC-327_4478,40063,40558,CALIN,CPC
181689,CPC-327_4478,40636,41155,CALIN,CPC
181690,CPC-327_4478,41464,41710,CALIN,CPC
181691,CPC-327_4478,41724,41901,CALIN,CPC
181692,CPC-327_4478,41848,42262,CALIN,CPC
181693,CPC-327_4478,42398,42836,CALIN,CPC
181694,CPC-327_4478,43125,43320,CALIN,CPC
181695,CPC-327_4478,43401,43497,CALIN,CPC
181696,CPC-327_4478,43470,43770,CALIN,CPC
183918,CPC-327_MHASMcontig_547286,1098,1566,CALIN,CPC
183919,CPC-327_MHASMcontig_547286,1663,2071,CALIN,CPC
183920,CPC-327_MHASMcontig_547286,2136,2925,CALIN,CPC
186748,CPC-12_118202,141617,141911,CALIN,CPC
186749,CPC-12_118202,142045,142381,CALIN,CPC
186750,CPC-12_118202,142463,142718,CALIN,CPC
186751,CPC-12_118202,142714,142966,CALIN,CPC
186752,CPC-12_118202,143109,143310,CALIN,CPC
186753,CPC-12_118202,143569,144562,CALIN,CPC
186755,CPC-12_118202,145243,146083,CALIN,CPC
187810,CPC-12_MHASMcontig_1043827,33472,33820,complete,CPC
187811,CPC-12_MHASMcontig_1043827,34384,35398,complete,CPC
191741,CPC-69_MHASMcontig_743989,16302,16581,CALIN,CPC
191742,CPC-69_MHASMcontig_743989,16749,17043,CALIN,CPC
191743,CPC-69_MHASMcontig_743989,17060,17864,CALIN,CPC
191744,CPC-69_MHASMcontig_743989,17919,18681,CALIN,CPC
211085,CPC-79_MHASMcontig_267549,698,1469,CALIN,CPC
211086,CPC-79_MHASMcontig_267549,1938,2355,CALIN,CPC
211087,CPC-79_MHASMcontig_267549,2620,2911,CALIN,CPC
211088,CPC-79_MHASMcontig_267549,3086,3329,CALIN,CPC
222836,CPC-45_13884,333,822,complete,CPC
222837,CPC-45_13884,939,1422,complete,CPC
222838,CPC-45_13884,2055,3021,complete,CPC
224808,CPC-42_MHASMcontig_1039694,548,1535,In0,CPC
69930,RS-372_TaraRedSea_contig_83697,1769,4022,CALIN,RS
69931,RS-372_TaraRedSea_contig_83697,4018,5080,CALIN,RS
196223,RS-342_TaraRedSea_contig_109223,397122,397611,CALIN,RS
197888,RS-342_TaraRedSea_contig_159291,143057,143282,CALIN,RS
197889,RS-342_TaraRedSea_contig_159291,143358,143550,CALIN,RS
197890,RS-342_TaraRedSea_contig_159291,143624,144365,CALIN,RS
197891,RS-342_TaraRedSea_contig_159291,144406,145534,CALIN,RS
197892,RS-342_TaraRedSea_contig_159291,145537,145744,CALIN,RS
197893,RS-342_TaraRedSea_contig_159291,145849,146077,CALIN,RS
198359,RS-342_TaraRedSea_contig_194863,93,810,CALIN,RS
198618,RS-342_TaraRedSea_contig_194863,276812,277361,CALIN,RS
198619,RS-342_TaraRedSea_contig_194863,277353,277509,CALIN,RS
198620,RS-342_TaraRedSea_contig_194863,277489,277855,CALIN,RS
198621,RS-342_TaraRedSea_contig_194863,277959,278466,CALIN,RS
198622,RS-342_TaraRedSea_contig_194863,278554,279406,CALIN,RS
198802,RS-342_TaraRedSea_contig_207316,53810,54143,CALIN,RS
198803,RS-342_TaraRedSea_contig_207316,54255,54918,CALIN,RS
198804,RS-342_TaraRedSea_contig_207316,54943,55717,CALIN,RS
198805,RS-342_TaraRedSea_contig_207316,55823,56165,CALIN,RS
5049,MED-803_123239,851,1136,CALIN,MED
5050,MED-803_123239,1402,1687,CALIN,MED
5051,MED-803_123239,1818,3069,CALIN,MED
9733,MED-878_MHASMcontig_979259,16264,17896,CALIN,MED
9734,MED-878_MHASMcontig_979259,17916,18519,CALIN,MED
9735,MED-878_MHASMcontig_979259,18557,19532,CALIN,MED
9736,MED-878_MHASMcontig_979259,19599,20688,CALIN,MED
9737,MED-878_MHASMcontig_979259,20684,21524,CALIN,MED
59377,MED-855_MHASMcontig_36995,12126,13023,CALIN,MED
59378,MED-855_MHASMcontig_36995,13219,13684,CALIN,MED
60550,MED-668_MHASMcontig_6913,0,111,complete,MED
60551,MED-668_MHASMcontig_6913,846,1815,complete,MED
61659,MED-668_MHASMcontig_40304,5895,8358,CALIN,MED
61660,MED-668_MHASMcontig_40304,8801,9356,CALIN,MED
61661,MED-668_MHASMcontig_40304,9636,12123,CALIN,MED
62929,MED-668_5610,177618,178125,In0,MED
86414,MED-592_MHASMcontig_588093,9754,13438,CALIN,MED
86415,MED-592_MHASMcontig_588093,13458,14340,CALIN,MED
86662,MED-592_34096,1046,1433,CALIN,MED
86663,MED-592_34096,1582,2017,CALIN,MED
86664,MED-592_34096,2098,2479,CALIN,MED
86665,MED-592_34096,2645,2933,CALIN,MED
86666,MED-592_34096,3551,4994,CALIN,MED
86730,MED-592_107888,12602,13565,complete,MED
86731,MED-592_107888,13805,14177,complete,MED
86732,MED-592_107888,14245,15601,complete,MED
87341,MED-592_108506,2,374,CALIN,MED
87342,MED-592_108506,506,1388,CALIN,MED
87343,MED-592_108506,1773,2865,CALIN,MED
87344,MED-592_108506,2866,3454,CALIN,MED
87345,MED-592_108506,3455,4373,CALIN,MED
87346,MED-592_108506,4450,7006,CALIN,MED
88582,MED-592_109940,9050,9704,CALIN,MED
88583,MED-592_109940,9733,10846,CALIN,MED
88584,MED-592_109940,10947,11412,CALIN,MED
88585,MED-592_109940,11427,11838,CALIN,MED
88586,MED-592_109940,11932,12907,CALIN,MED
88917,MED-592_110595,15359,15833,CALIN,MED
88918,MED-592_110595,15836,16595,CALIN,MED
88919,MED-592_110595,16613,17201,CALIN,MED
88920,MED-592_110595,17439,17799,CALIN,MED
88921,MED-592_110595,18087,19518,CALIN,MED
88922,MED-592_110595,19565,20540,CALIN,MED
89099,MED-592_111177,883,1894,CALIN,MED
89100,MED-592_111177,2112,3264,CALIN,MED
114936,MED-603_71134,11114,11981,CALIN,MED
114937,MED-603_71134,12014,13811,CALIN,MED
114938,MED-603_71134,13914,16329,CALIN,MED
125810,MED-870_50978,8434,10780,CALIN,MED
125811,MED-870_50978,10793,11933,CALIN,MED
125812,MED-870_50978,11901,12441,CALIN,MED
125813,MED-870_50978,12440,13034,CALIN,MED
163640,MED-629_25782,4770,5649,CALIN,MED
163641,MED-629_25782,5964,6495,CALIN,MED
163642,MED-629_25782,6774,7155,CALIN,MED
208639,MED-597_121819,10378,11503,CALIN,MED
208640,MED-597_121819,11499,12006,CALIN,MED
208641,MED-597_121819,12253,13747,CALIN,MED
220347,MED-599_146077,7383,8580,CALIN,MED
220348,MED-599_146077,8801,9527,CALIN,MED
220349,MED-599_146077,9684,10293,CALIN,MED
220350,MED-599_146077,10330,10942,CALIN,MED
283605,MED-698_120,2888,3329,CALIN,MED
283606,MED-698_120,3338,3677,CALIN,MED
283607,MED-698_120,3710,4682,CALIN,MED
283608,MED-698_120,5303,6833,CALIN,MED
306776,MED-581_84663,13454,15500,CALIN,MED
306777,MED-581_84663,15527,17237,CALIN,MED
306778,MED-581_84663,17341,20845,CALIN,MED
332986,MED-610_6467,257,1334,In0,MED
363032,MED-697_MHASMcontig_89617,1,115,CALIN,MED
363033,MED-697_MHASMcontig_89617,340,820,CALIN,MED
363034,MED-697_MHASMcontig_89617,911,1226,CALIN,MED
363035,MED-697_MHASMcontig_89617,1322,1568,CALIN,MED
363036,MED-697_MHASMcontig_89617,1690,2341,CALIN,MED
363037,MED-697_MHASMcontig_89617,2337,3285,CALIN,MED
363038,MED-697_MHASMcontig_89617,3419,3917,CALIN,MED
363039,MED-697_MHASMcontig_89617,4005,4467,CALIN,MED
363040,MED-697_MHASMcontig_89617,4574,5270,CALIN,MED
363041,MED-697_MHASMcontig_89617,5354,5840,CALIN,MED
363042,MED-697_MHASMcontig_89617,5886,6321,CALIN,MED
363043,MED-697_MHASMcontig_89617,6406,6817,CALIN,MED
363044,MED-697_MHASMcontig_89617,7000,7801,CALIN,MED
363045,MED-697_MHASMcontig_89617,7892,8327,CALIN,MED
363046,MED-697_MHASMcontig_89617,8422,8713,CALIN,MED
363047,MED-697_MHASMcontig_89617,8819,9023,CALIN,MED
363048,MED-697_MHASMcontig_89617,9166,9388,CALIN,MED
363049,MED-697_MHASMcontig_89617,9458,9530,CALIN,MED
365537,MED-697_MHASMcontig_137317,6579,6840,CALIN,MED
365538,MED-697_MHASMcontig_137317,6984,7314,CALIN,MED
365539,MED-697_MHASMcontig_137317,7642,7963,CALIN,MED
365540,MED-697_MHASMcontig_137317,8118,8520,CALIN,MED
365541,MED-697_MHASMcontig_137317,8695,9889,CALIN,MED
365542,MED-697_MHASMcontig_137317,10013,10523,CALIN,MED
365543,MED-697_MHASMcontig_137317,10640,11297,CALIN,MED
365544,MED-697_MHASMcontig_137317,11481,12243,CALIN,MED
365545,MED-697_MHASMcontig_137317,12366,12960,CALIN,MED
365546,MED-697_MHASMcontig_137317,13055,13271,CALIN,MED
366467,MED-697_MHASMcontig_155120,41992,43402,In0,MED
373269,MED-690_MHASMcontig_662721,1945,2917,complete,MED
373270,MED-690_MHASMcontig_662721,3125,3326,complete,MED
373271,MED-690_MHASMcontig_662721,3352,4561,complete,MED
373272,MED-690_MHASMcontig_662721,4661,5492,complete,MED
373273,MED-690_MHASMcontig_662721,5825,6320,complete,MED
373274,MED-690_MHASMcontig_662721,6596,7643,complete,MED
373275,MED-690_MHASMcontig_662721,7659,8403,complete,MED
373276,MED-690_MHASMcontig_662721,8512,9274,complete,MED
373993,MED-690_MHASMcontig_682868,82,733,CALIN,MED
373994,MED-690_MHASMcontig_682868,821,1619,CALIN,MED
373995,MED-690_MHASMcontig_682868,1889,3173,CALIN,MED
373996,MED-690_MHASMcontig_682868,3607,3943,CALIN,MED
373997,MED-690_MHASMcontig_682868,3936,4179,CALIN,MED
373998,MED-690_MHASMcontig_682868,5067,5511,CALIN,MED
373999,MED-690_MHASMcontig_682868,5766,6099,CALIN,MED
374000,MED-690_MHASMcontig_682868,6104,6404,CALIN,MED
374001,MED-690_MHASMcontig_682868,6553,6886,CALIN,MED
374002,MED-690_MHASMcontig_682868,6882,7068,CALIN,MED
374003,MED-690_MHASMcontig_682868,7501,8176,CALIN,MED
374004,MED-690_MHASMcontig_682868,8302,8761,CALIN,MED
374005,MED-690_MHASMcontig_682868,8760,9213,CALIN,MED
374006,MED-690_MHASMcontig_682868,9792,10191,CALIN,MED
374007,MED-690_MHASMcontig_682868,10568,11138,CALIN,MED
396831,MED-601_MHASMcontig_721250,2,419,CALIN,MED
396832,MED-601_MHASMcontig_721250,658,1495,CALIN,MED
396833,MED-601_MHASMcontig_721250,1756,1870,CALIN,MED
401294,MED-601_126021,516,1974,In0,MED
409688,MED-608_MHASMcontig_669786,169,334,CALIN,MED
409689,MED-608_MHASMcontig_669786,451,895,CALIN,MED
409690,MED-608_MHASMcontig_669786,1037,1481,CALIN,MED
409691,MED-608_MHASMcontig_669786,1557,1791,CALIN,MED
409692,MED-608_MHASMcontig_669786,2008,2851,CALIN,MED
409693,MED-608_MHASMcontig_669786,2989,3619,CALIN,MED
409694,MED-608_MHASMcontig_669786,3754,4276,CALIN,MED
409695,MED-608_MHASMcontig_669786,4412,4802,CALIN,MED
409696,MED-608_MHASMcontig_669786,4871,5420,CALIN,MED
409697,MED-608_MHASMcontig_669786,5705,6917,CALIN,MED
409698,MED-608_MHASMcontig_669786,7186,7516,CALIN,MED
409699,MED-608_MHASMcontig_669786,8066,8756,CALIN,MED
409700,MED-608_MHASMcontig_669786,8860,9565,CALIN,MED
409701,MED-608_MHASMcontig_669786,9594,10023,CALIN,MED
409702,MED-608_MHASMcontig_669786,10124,10382,CALIN,MED
409703,MED-608_MHASMcontig_669786,10794,11118,CALIN,MED
409704,MED-608_MHASMcontig_669786,11553,11751,CALIN,MED
409705,MED-608_MHASMcontig_669786,11986,12322,CALIN,MED
483,EAC-39_MHASMcontig_874537,9808,10072,CALIN,EAC
484,EAC-39_MHASMcontig_874537,10075,11284,CALIN,EAC
485,EAC-39_MHASMcontig_874537,11285,12014,CALIN,EAC
1034,EAC-39_MHASMcontig_875979,195469,196168,CALIN,EAC
1035,EAC-39_MHASMcontig_875979,196473,196914,CALIN,EAC
1036,EAC-39_MHASMcontig_875979,197240,197471,CALIN,EAC
1037,EAC-39_MHASMcontig_875979,197445,197775,CALIN,EAC
1038,EAC-39_MHASMcontig_875979,197865,198618,CALIN,EAC
1039,EAC-39_MHASMcontig_875979,198690,199119,CALIN,EAC
1519,EAC-39_MHASMcontig_878262,101024,101324,CALIN,EAC
1520,EAC-39_MHASMcontig_878262,101355,102909,CALIN,EAC
1521,EAC-39_MHASMcontig_878262,102997,103786,CALIN,EAC
1522,EAC-39_MHASMcontig_878262,103892,104840,CALIN,EAC
1733,EAC-39_MHASMcontig_879010,5902,6256,CALIN,EAC
1734,EAC-39_MHASMcontig_879010,6268,6802,CALIN,EAC
1735,EAC-39_MHASMcontig_879010,6825,7221,CALIN,EAC
1736,EAC-39_MHASMcontig_879010,7251,7557,CALIN,EAC
4691,EAC-39_MHASMcontig_893148,4661,5186,CALIN,EAC
4692,EAC-39_MHASMcontig_893148,5246,5753,CALIN,EAC
4693,EAC-39_MHASMcontig_893148,5731,6391,CALIN,EAC
4694,EAC-39_MHASMcontig_893148,6464,7136,CALIN,EAC
4695,EAC-39_MHASMcontig_893148,7262,7514,CALIN,EAC
4696,EAC-39_MHASMcontig_893148,7516,7687,CALIN,EAC
4697,EAC-39_MHASMcontig_893148,7864,8035,CALIN,EAC
4698,EAC-39_MHASMcontig_893148,8031,9432,CALIN,EAC
4699,EAC-39_MHASMcontig_893148,9439,9688,CALIN,EAC
4700,EAC-39_MHASMcontig_893148,9954,10341,CALIN,EAC
4701,EAC-39_MHASMcontig_893148,10473,11616,CALIN,EAC
4702,EAC-39_MHASMcontig_893148,11764,12079,CALIN,EAC
4703,EAC-39_MHASMcontig_893148,12178,13876,CALIN,EAC
4704,EAC-39_MHASMcontig_893148,14005,14140,CALIN,EAC
4745,EAC-39_MHASMcontig_893677,1997,4346,CALIN,EAC
4746,EAC-39_MHASMcontig_893677,4368,4995,CALIN,EAC
4747,EAC-39_MHASMcontig_893677,5328,6915,CALIN,EAC
9242,EAC-94_MHASMcontig_1028015,211738,212692,CALIN,EAC
9243,EAC-94_MHASMcontig_1028015,212681,215261,CALIN,EAC
9244,EAC-94_MHASMcontig_1028015,215421,215568,CALIN,EAC
11851,EAC-94_MHASMcontig_1046208,443,1364,In0,EAC
16214,EAC-102_145694,11368,12358,CALIN,EAC
16215,EAC-102_145694,12645,13011,CALIN,EAC
17573,EAC-102_MHASMcontig_1035584,354,1014,complete,EAC
17574,EAC-102_MHASMcontig_1035584,1110,1440,complete,EAC
17575,EAC-102_MHASMcontig_1035584,1550,1949,complete,EAC
17576,EAC-102_MHASMcontig_1035584,2075,2423,complete,EAC
