bin,signal_CAZ_count,percent_sect_CAZ,signal_pep_count,percent_sect_pep
CPC-305,0,0.0,25,22.727272727272727
CPC-67,0,0.0,82,47.12643678160919
CPC-296,0,0,7,26.923076923076923
CPC-7,0,0.0,102,45.73991031390135
CPC-28,0,0.0,66,31.428571428571427
CPC-74,0,0.0,9,7.563025210084033
CPC-323,0,0.0,42,39.62264150943396
CPC-46,0,0.0,116,47.73662551440329
CPC-31,0,0.0,90,35.85657370517929
CPC-42,0,0.0,89,43.84236453201971
CPC-48,0,0.0,45,25.139664804469277
CPC-327,0,0.0,94,48.45360824742268
CPC-70,0,0.0,86,48.86363636363637
CPC-51,0,0.0,142,54.61538461538461
CPC-69,0,0.0,47,27.167630057803464
CPC-14,0,0.0,85,47.486033519553075
CPC-9,0,0.0,125,50.403225806451616
CPC-3,0,0.0,106,52.475247524752476
CPC-19,0,0.0,57,18.037974683544302
CPC-80,0,0.0,60,45.11278195488722
CPC-64,0,0.0,35,22.875816993464053
CPC-13,0,0.0,141,47.15719063545151
CPC-21,0,0.0,60,22.388059701492537
CPC-32,0,0.0,40,21.27659574468085
CPC-45,0,0.0,46,24.731182795698924
CPC-320,0,0.0,20,14.285714285714285
CPC-38,0,0.0,63,25.099601593625497
CPC-75,0,0.0,61,42.95774647887324
CPC-310,0,0.0,77,46.3855421686747
CPC-30,0,0.0,11,12.222222222222221
CPC-1232,0,0.0,13,16.666666666666664
CPC-47,0,0.0,60,40.54054054054054
CPC-322,0,0.0,51,41.12903225806452
CPC-297,0,0.0,48,42.10526315789473
CPC-82,0,0.0,66,44.29530201342282
CPC-309,0,0.0,31,27.43362831858407
CPC-11,0,0.0,45,27.10843373493976
CPC-6,0,0.0,125,48.63813229571984
CPC-29,0,0.0,12,22.641509433962266
CPC-1326,0,0.0,45,45.0
CPC-23,0,0.0,50,37.03703703703704
CPC-54,0,0.0,72,45.28301886792453
CPC-59,0,0.0,17,15.178571428571427
CPC-53,0,0.0,10,6.944444444444445
CPC-24,0,0.0,45,24.861878453038674
CPC-1,0,0.0,28,13.725490196078432
CPC-85,0,0.0,72,48.64864864864865
CPC-16,0,0.0,27,29.67032967032967
CPC-61,0,0.0,23,19.327731092436977
CPC-40,0,0.0,67,27.572016460905353
CPC-289,0,0.0,6,11.538461538461538
CPC-72,0,0.0,49,25.520833333333332
CPC-1399,0,0.0,53,44.537815126050425
CPC-96,0,0.0,48,37.5
CPC-98,0,0.0,0,0
CPC-319,0,0.0,75,51.724137931034484
CPC-39,0,0.0,101,47.417840375586856
CPC-33,0,0.0,68,45.33333333333333
CPC-5,0,0.0,110,52.38095238095239
CPC-12,0,0.0,99,43.80530973451327
CPC-294,0,0.0,150,60.72874493927125
CPC-300,0,0.0,50,41.32231404958678
CPC-81,0,0.0,21,16.666666666666664
CPC-20,0,0.0,37,22.424242424242426
CPC-27,0,0.0,133,57.826086956521735
CPC-50,0,0.0,54,44.26229508196721
CPC-62,0,0.0,47,24.867724867724867
CPC-86,0,0.0,55,38.46153846153847
CPC-2,0,0.0,59,26.222222222222225
CPC-8,0,0.0,49,27.071823204419886
CPC-49,0,0.0,96,45.07042253521127
CPC-34,0,0.0,104,55.319148936170215
CPC-43,0,0.0,42,20.588235294117645
CPC-95,0,0.0,64,33.33333333333333
CPC-71,0,0.0,195,64.14473684210526
deep_MAG_0604,0,0.0,41,35.65217391304348
deep_MAG_0339,0,0.0,74,52.85714285714286
deep_MAG_0344,0,0.0,12,6.153846153846154
deep_MAG_0047,0,0.0,35,24.822695035460992
deep_MAG_0400,0,0.0,14,10.76923076923077
deep_MAG_0477,0,0.0,8,20.0
deep_MAG_0570,0,0.0,14,12.280701754385964
deep_MAG_0507,0,0.0,4,6.349206349206349
deep_MAG_0140,0,0.0,65,34.57446808510639
deep_MAG_0137,0,0.0,49,21.68141592920354
deep_MAG_0295,0,0.0,37,23.56687898089172
deep_MAG_0376,0,0.0,87,46.03174603174603
deep_MAG_0548,0,0.0,92,43.39622641509434
deep_MAG_0075,0,0.0,38,20.76502732240437
deep_MAG_0002,0,0.0,54,31.76470588235294
deep_MAG_0196,0,0.0,2,5.0
deep_MAG_0178,0,0.0,53,37.06293706293706
deep_MAG_0008,0,0.0,37,18.316831683168317
deep_MAG_0105,0,0.0,3,12.5
deep_MAG_0438,0,0.0,55,50.45871559633027
deep_MAG_0535,0,0.0,14,8.13953488372093
deep_MAG_0542,0,0.0,42,21.428571428571427
deep_MAG_0320,0,0.0,57,38.513513513513516
deep_MAG_0250,0,0.0,78,44.06779661016949
deep_MAG_0617,0,0.0,49,29.6969696969697
deep_MAG_0153,0,0.0,92,45.320197044334975
deep_MAG_0029,0,0.0,92,41.81818181818181
deep_MAG_0480,0,0.0,15,13.513513513513514
deep_MAG_0514,0,0.0,38,40.42553191489361
deep_MAG_0419,0,0.0,7,8.333333333333332
deep_MAG_0569,0,0.0,1,7.142857142857142
deep_MAG_0023,0,0.0,138,55.87044534412956
deep_MAG_0286,0,0.0,11,8.396946564885496
deep_MAG_0262,0,0.0,36,14.5748987854251
deep_MAG_0318,0,0.0,39,30.0
deep_MAG_0526,0,0.0,6,14.634146341463413
deep_MAG_0082,0,0.0,55,57.89473684210527
deep_MAG_0161,0,0.0,253,69.6969696969697
deep_MAG_0011,0,0.0,46,21.69811320754717
deep_MAG_0185,0,0.0,51,25.0
deep_MAG_0421,0,0.0,122,41.92439862542955
deep_MAG_0188,0,0.0,8,8.88888888888889
deep_MAG_0166,0,0.0,48,20.168067226890756
deep_MAG_0111,0,0.0,36,17.733990147783253
deep_MAG_0182,0,0.0,40,32.25806451612903
deep_MAG_0362,0,0.0,85,49.707602339181285
deep_MAG_0315,0,0.0,31,22.62773722627737
deep_MAG_0218,0,0.0,52,42.62295081967213
deep_MAG_0368,0,0.0,43,38.392857142857146
deep_MAG_0386,0,0.0,68,38.4180790960452
deep_MAG_0212,0,0.0,24,27.906976744186046
deep_MAG_0265,0,0.0,4,2.8368794326241136
deep_MAG_0123,0,0.0,0,0.0
deep_MAG_0469,0,0.0,51,37.5
deep_MAG_0564,0,0.0,30,13.392857142857142
deep_MAG_0580,0,0.0,86,50.588235294117645
deep_MAG_0519,0,0.0,29,33.72093023255814
deep_MAG_0053,0,0.0,126,56.00000000000001
deep_MAG_0327,0,0.0,38,33.6283185840708
deep_MAG_0610,0,0.0,32,22.857142857142858
deep_MAG_0435,0,0.0,36,29.75206611570248
deep_MAG_0108,0,0.0,105,47.72727272727273
deep_MAG_0191,0,0.0,69,48.25174825174825
deep_MAG_0175,0,0.0,82,46.32768361581921
deep_MAG_0102,0,0.0,85,47.22222222222222
deep_MAG_0096,0,0.0,23,12.921348314606742
deep_MAG_0078,0,0.0,46,37.704918032786885
deep_MAG_0545,0,0.0,117,48.75
deep_MAG_0298,0,0.0,64,31.06796116504854
deep_MAG_0040,0,0.0,34,21.518987341772153
deep_MAG_0037,0,0.0,77,45.562130177514796
deep_MAG_0470,0,0.0,9,25.0
deep_MAG_0593,0,0.0,107,54.59183673469388
deep_MAG_0494,0,0.0,76,51.35135135135135
deep_MAG_0577,0,0.0,19,32.758620689655174
deep_MAG_0130,0,0.0,4,13.333333333333334
deep_MAG_0603,0,0.0,110,54.187192118226605
deep_MAG_0233,0,0.0,29,27.358490566037734
deep_MAG_0349,0,0.0,78,39.19597989949749
deep_MAG_0239,0,0.0,86,41.74757281553398
deep_MAG_0334,0,0.0,24,24.0
deep_MAG_0343,0,0.0,11,14.864864864864865
deep_MAG_0609,0,0.0,60,39.21568627450981
deep_MAG_0039,0,0.0,14,11.666666666666666
deep_MAG_0134,0,0.0,42,24.418604651162788
deep_MAG_0490,0,0.0,74,28.793774319066145
deep_MAG_0573,0,0.0,48,35.82089552238806
deep_MAG_0474,0,0.0,31,33.69565217391305
deep_MAG_0044,0,0.0,137,46.75767918088737
deep_MAG_0149,0,0.0,31,21.08843537414966
deep_MAG_0330,0,0.0,57,34.13173652694611
deep_MAG_0347,0,0.0,48,29.81366459627329
deep_MAG_0607,0,0.0,20,21.50537634408602
deep_MAG_0195,0,0.0,42,15.909090909090908
deep_MAG_0098,0,0.0,136,59.130434782608695
deep_MAG_0375,0,0.0,6,6.382978723404255
deep_MAG_0296,0,0.0,36,20.0
deep_MAG_0391,0,0.0,169,63.29588014981273
deep_MAG_0020,0,0.0,5,9.615384615384617
deep_MAG_0489,0,0.0,115,54.761904761904766
deep_MAG_0467,0,0.0,144,62.06896551724138
deep_MAG_0410,0,0.0,119,41.17647058823529
deep_MAG_0584,0,0.0,59,43.06569343065693
deep_MAG_0483,0,0.0,24,24.489795918367346
deep_MAG_0560,0,0.0,22,19.130434782608695
deep_MAG_0127,0,0.0,50,15.625
deep_MAG_0150,0,0.0,36,37.11340206185567
deep_MAG_0614,0,0.0,8,5.442176870748299
deep_MAG_0329,0,0.0,22,25.0
deep_MAG_0323,0,0.0,24,28.235294117647058
deep_MAG_0354,0,0.0,44,43.56435643564357
deep_MAG_0422,0,0.0,20,9.950248756218906
deep_MAG_0455,0,0.0,13,9.848484848484848
deep_MAG_0186,0,0.0,83,42.56410256410256
deep_MAG_0162,0,0.0,6,5.357142857142857
deep_MAG_0081,0,0.0,73,31.196581196581196
deep_MAG_0018,0,0.0,6,6.741573033707865
deep_MAG_0366,0,0.0,59,32.417582417582416
deep_MAG_0285,0,0.0,50,20.66115702479339
deep_MAG_0282,0,0.0,9,12.162162162162163
deep_MAG_0361,0,0.0,45,27.439024390243905
deep_MAG_0452,0,0.0,13,24.528301886792452
deep_MAG_0528,0,0.0,40,20.100502512562816
deep_MAG_0181,0,0.0,9,13.432835820895523
deep_MAG_0015,0,0.0,4,11.428571428571429
deep_MAG_0118,0,0.0,59,27.314814814814813
deep_MAG_0112,0,0.0,19,26.38888888888889
deep_MAG_0165,0,0.0,97,45.97156398104265
deep_MAG_0555,0,0.0,202,59.940652818991104
deep_MAG_0223,0,0.0,121,57.345971563981045
deep_MAG_0353,0,0.0,20,22.988505747126435
deep_MAG_0229,0,0.0,61,21.03448275862069
deep_MAG_0619,0,0.0,126,61.165048543689316
deep_MAG_0027,0,0.0,142,59.41422594142259
deep_MAG_0050,0,0.0,63,41.72185430463576
deep_MAG_0589,0,0.0,77,44.252873563218394
deep_MAG_0510,0,0.0,55,38.732394366197184
deep_MAG_0484,0,0.0,40,29.411764705882355
deep_MAG_0208,0,0.0,85,50.29585798816568
deep_MAG_0305,0,0.0,26,20.634920634920633
deep_MAG_0291,0,0.0,128,57.65765765765766
deep_MAG_0275,0,0.0,13,6.018518518518518
deep_MAG_0202,0,0.0,69,24.295774647887324
deep_MAG_0378,0,0.0,139,52.65151515151515
deep_MAG_0531,0,0.0,35,23.809523809523807
deep_MAG_0101,0,0.0,10,9.25925925925926
deep_MAG_0095,0,0.0,10,10.638297872340425
deep_MAG_0176,0,0.0,28,27.722772277227726
deep_MAG_0192,0,0.0,5,15.625
deep_MAG_0441,0,0.0,23,22.115384615384613
deep_MAG_0340,0,0.0,104,54.45026178010471
deep_MAG_0600,0,0.0,71,38.79781420765027
deep_MAG_0144,0,0.0,41,20.812182741116754
deep_MAG_0503,0,0.0,38,33.04347826086956
deep_MAG_0509,0,0.0,65,25.89641434262948
deep_MAG_0590,0,0.0,118,57.84313725490197
deep_MAG_0404,0,0.0,53,52.475247524752476
deep_MAG_0533,0,0.0,27,16.875
deep_MAG_0449,0,0.0,10,29.411764705882355
deep_MAG_0103,0,0.0,52,41.269841269841265
deep_MAG_0539,0,0.0,134,37.85310734463277
deep_MAG_0434,0,0.0,71,36.597938144329895
deep_MAG_0307,0,0.0,11,19.642857142857142
deep_MAG_0293,0,0.0,10,5.0
deep_MAG_0200,0,0.0,39,40.625
deep_MAG_0146,0,0.0,8,4.060913705583756
deep_MAG_0131,0,0.0,7,10.76923076923077
deep_MAG_0576,0,0.0,5,21.73913043478261
deep_MAG_0598,0,0.0,73,36.318407960199
deep_MAG_0592,0,0.0,48,24.36548223350254
deep_MAG_0471,0,0.0,61,40.939597315436245
deep_MAG_0036,0,0.0,138,51.11111111111111
deep_MAG_0608,0,0.0,202,57.06214689265536
deep_MAG_0238,0,0.0,53,48.62385321100918
deep_MAG_0342,0,0.0,23,25.555555555555554
deep_MAG_0335,0,0.0,24,21.052631578947366
deep_MAG_0427,0,0.0,25,26.881720430107524
deep_MAG_0060,0,0.0,95,55.88235294117647
deep_MAG_0183,0,0.0,3,6.976744186046512
deep_MAG_0084,0,0.0,33,20.245398773006134
deep_MAG_0167,0,0.0,31,18.235294117647058
deep_MAG_0557,0,0.0,27,17.647058823529413
deep_MAG_0387,0,0.0,5,4.132231404958678
deep_MAG_0213,0,0.0,109,40.520446096654275
deep_MAG_0314,0,0.0,47,20.346320346320347
deep_MAG_0280,0,0.0,42,19.81132075471698
deep_MAG_0363,0,0.0,53,46.902654867256636
deep_MAG_0052,0,0.0,15,12.096774193548388
deep_MAG_0128,0,0.0,11,16.923076923076923
deep_MAG_0518,0,0.0,40,31.25
deep_MAG_0512,0,0.0,28,18.666666666666668
deep_MAG_0058,0,0.0,228,56.575682382134
deep_MAG_0155,0,0.0,12,21.428571428571427
deep_MAG_0122,0,0.0,16,14.414414414414415
deep_MAG_0611,0,0.0,55,40.74074074074074
deep_MAG_0351,0,0.0,99,40.74074074074074
deep_MAG_0616,0,0.0,0,0.0
deep_MAG_0251,0,0.0,14,8.9171974522293
deep_MAG_0226,0,0.0,70,33.65384615384615
deep_MAG_0321,0,0.0,78,50.649350649350644
deep_MAG_0356,0,0.0,81,50.0
deep_MAG_0055,0,0.0,72,41.61849710982659
deep_MAG_0568,0,0.0,16,19.27710843373494
deep_MAG_0465,0,0.0,2,6.25
deep_MAG_0586,0,0.0,147,57.19844357976653
deep_MAG_0562,0,0.0,59,25.43103448275862
deep_MAG_0152,0,0.0,28,18.91891891891892
deep_MAG_0028,0,0.0,79,34.34782608695652
deep_MAG_0214,0,0.0,51,42.5
deep_MAG_0380,0,0.0,91,45.5
deep_MAG_0263,0,0.0,32,22.535211267605636
deep_MAG_0319,0,0.0,17,28.333333333333332
deep_MAG_0269,0,0.0,56,21.78988326848249
deep_MAG_0420,0,0.0,124,58.490566037735846
deep_MAG_0457,0,0.0,34,17.17171717171717
deep_MAG_0184,0,0.0,102,49.03846153846153
deep_MAG_0067,0,0.0,19,21.59090909090909
deep_MAG_0527,0,0.0,43,29.86111111111111
deep_MAG_0345,0,0.0,100,44.843049327354265
deep_MAG_0338,0,0.0,49,27.37430167597765
deep_MAG_0242,0,0.0,20,15.267175572519085
deep_MAG_0605,0,0.0,4,7.2727272727272725
deep_MAG_0571,0,0.0,4,3.0534351145038165
deep_MAG_0401,0,0.0,50,41.32231404958678
deep_MAG_0031,0,0.0,8,18.6046511627907
deep_MAG_0294,0,0.0,10,23.809523809523807
deep_MAG_0300,0,0.0,31,17.032967032967033
deep_MAG_0399,0,0.0,5,6.666666666666667
deep_MAG_0439,0,0.0,62,43.35664335664335
deep_MAG_0534,0,0.0,2,4.878048780487805
deep_MAG_0173,0,0.0,74,42.285714285714285
deep_MAG_0549,0,0.0,21,30.434782608695656
deep_MAG_0397,0,0.0,31,21.678321678321677
deep_MAG_0203,0,0.0,82,59.42028985507246
deep_MAG_0274,0,0.0,78,41.48936170212766
deep_MAG_0209,0,0.0,133,52.156862745098046
deep_MAG_0373,0,0.0,111,58.42105263157895
deep_MAG_0304,0,0.0,11,10.2803738317757
deep_MAG_0290,0,0.0,12,14.457831325301203
deep_MAG_0437,0,0.0,20,30.303030303030305
deep_MAG_0193,0,0.0,26,20.47244094488189
deep_MAG_0070,0,0.0,5,5.434782608695652
deep_MAG_0177,0,0.0,141,49.647887323943664
deep_MAG_0094,0,0.0,47,29.375
deep_MAG_0246,0,0.0,4,16.666666666666664
deep_MAG_0231,0,0.0,23,32.3943661971831
deep_MAG_0336,0,0.0,10,20.0
deep_MAG_0042,0,0.0,19,30.158730158730158
deep_MAG_0035,0,0.0,34,29.310344827586203
deep_MAG_0508,0,0.0,148,64.91228070175438
deep_MAG_0472,0,0.0,27,29.03225806451613
deep_MAG_0591,0,0.0,24,24.242424242424242
deep_MAG_0405,0,0.0,63,42.281879194630875
deep_MAG_0502,0,0.0,23,24.210526315789473
deep_MAG_0496,0,0.0,120,52.63157894736842
deep_MAG_0478,0,0.0,103,29.597701149425287
deep_MAG_0132,0,0.0,27,12.442396313364055
deep_MAG_0048,0,0.0,25,49.01960784313725
deep_MAG_0317,0,0.0,18,15.0
deep_MAG_0283,0,0.0,17,15.74074074074074
deep_MAG_0289,0,0.0,83,45.3551912568306
deep_MAG_0210,0,0.0,39,29.1044776119403
deep_MAG_0267,0,0.0,100,51.546391752577314
deep_MAG_0459,0,0.0,87,52.09580838323353
deep_MAG_0554,0,0.0,27,21.6
deep_MAG_0523,0,0.0,35,29.411764705882355
deep_MAG_0325,0,0.0,66,42.58064516129032
deep_MAG_0228,0,0.0,68,39.53488372093023
deep_MAG_0358,0,0.0,51,23.61111111111111
deep_MAG_0255,0,0.0,30,30.303030303030305
deep_MAG_0222,0,0.0,11,11.702127659574469
deep_MAG_0612,0,0.0,125,56.30630630630631
deep_MAG_0156,0,0.0,66,41.77215189873418
deep_MAG_0511,0,0.0,53,29.120879120879124
deep_MAG_0485,0,0.0,0,0.0
deep_MAG_0566,0,0.0,62,38.9937106918239
deep_MAG_0461,0,0.0,249,67.47967479674797
deep_MAG_0582,0,0.0,50,23.04147465437788
deep_MAG_0416,0,0.0,111,57.51295336787565
deep_MAG_0126,0,0.0,35,30.434782608695656
deep_MAG_0488,0,0.0,34,15.59633027522936
deep_MAG_0585,0,0.0,83,44.38502673796791
deep_MAG_0466,0,0.0,29,22.48062015503876
deep_MAG_0021,0,0.0,74,37.185929648241206
deep_MAG_0258,0,0.0,60,42.857142857142854
deep_MAG_0355,0,0.0,79,35.11111111111111
deep_MAG_0322,0,0.0,14,8.641975308641975
deep_MAG_0328,0,0.0,133,56.118143459915615
deep_MAG_0524,0,0.0,73,52.51798561151079
deep_MAG_0553,0,0.0,118,52.44444444444445
deep_MAG_0019,0,0.0,104,52.26130653266332
deep_MAG_0169,0,0.0,40,28.776978417266186
deep_MAG_0064,0,0.0,44,22.797927461139896
deep_MAG_0013,0,0.0,94,56.62650602409639
deep_MAG_0559,0,0.0,18,13.846153846153847
deep_MAG_0284,0,0.0,65,46.42857142857143
deep_MAG_0367,0,0.0,49,24.137931034482758
deep_MAG_0383,0,0.0,41,35.96491228070175
deep_MAG_0045,0,0.0,39,22.807017543859647
deep_MAG_0596,0,0.0,32,31.372549019607842
deep_MAG_0578,0,0.0,84,51.21951219512195
deep_MAG_0572,0,0.0,104,48.372093023255815
deep_MAG_0491,0,0.0,77,50.0
deep_MAG_0505,0,0.0,24,12.244897959183673
deep_MAG_0038,0,0.0,55,35.714285714285715
deep_MAG_0142,0,0.0,11,21.568627450980394
deep_MAG_0606,0,0.0,88,48.61878453038674
deep_MAG_0241,0,0.0,5,11.904761904761903
deep_MAG_0447,0,0.0,60,45.45454545454545
deep_MAG_0430,0,0.0,59,32.77777777777778
deep_MAG_0077,0,0.0,57,43.51145038167939
deep_MAG_0194,0,0.0,30,36.144578313253014
deep_MAG_0093,0,0.0,6,11.320754716981133
deep_MAG_0309,0,0.0,15,9.868421052631579
deep_MAG_0273,0,0.0,15,23.4375
deep_MAG_0390,0,0.0,76,48.717948717948715
deep_MAG_0303,0,0.0,63,37.72455089820359
EAC-78,0,0.0,42,36.52173913043478
EAC-710,0,0.0,19,25.675675675675674
EAC-37,0,0.0,97,47.3170731707317
EAC-625,0,0.0,5,3.597122302158273
EAC-1768,0,0.0,13,20.3125
EAC-85,0,0.0,45,32.142857142857146
EAC-5,0,0.0,108,52.42718446601942
EAC-2021,0,0.0,9,8.737864077669903
EAC-16,0,0.0,28,18.543046357615893
EAC-673,0,0.0,104,47.706422018348626
EAC-59,0,0.0,55,47.008547008547005
EAC-24,0,0.0,5,3.3783783783783785
EAC-102,0,0.0,39,24.528301886792452
EAC-108,0,0.0,71,47.97297297297297
EAC-29,0,0.0,60,37.735849056603776
EAC-631,0,0.0,97,44.29223744292237
EAC-646,0,0.0,70,50.35971223021583
EAC-54,0,0.0,42,23.863636363636363
EAC-2,0,0.0,86,46.73913043478261
EAC-88,0,0.0,88,49.162011173184354
EAC-66,0,0.0,104,51.48514851485149
EAC-11,0,0.0,44,39.63963963963964
EAC-674,0,0.0,46,40.707964601769916
EAC-30,0,0.0,16,22.535211267605636
EAC-47,0,0.0,129,57.847533632286996
EAC-75,0,0.0,29,25.663716814159294
EAC-91,0,0.0,67,34.35897435897436
EAC-683,0,0.0,52,21.311475409836063
EAC-713,0,0.0,37,26.618705035971225
EAC-95,0,0.0,101,53.43915343915344
EAC-71,0,0.0,110,42.63565891472868
EAC-1785,0,0.0,14,19.17808219178082
EAC-49,0,0.0,45,26.627218934911244
EAC-34,0,0.0,4,6.557377049180328
EAC-43,0,0.0,71,41.040462427745666
EAC-670,0,0.0,29,19.333333333333332
EAC-62,0,0.0,138,57.74058577405857
EAC-6,0,0.0,107,47.34513274336283
EAC-68,0,0.0,107,52.70935960591133
EAC-86,0,0.0,69,45.39473684210527
EAC-27,0,0.0,58,38.41059602649007
EAC-50,0,0.0,46,26.285714285714285
EAC-635,0,0.0,84,52.5
EAC-642,0,0.0,46,40.35087719298245
EAC-20,0,0.0,35,27.559055118110237
EAC-645,0,0.0,30,17.647058823529413
EAC-632,0,0.0,101,44.29824561403509
EAC-65,0,0.0,19,13.768115942028986
EAC-1,0,0.0,79,46.198830409356724
EAC-81,0,0.0,63,26.69491525423729
EAC-707,0,0.0,17,12.977099236641221
EAC-39,0,0.0,43,28.104575163398692
EAC-44,0,0.0,29,30.851063829787233
EAC-33,0,0.0,47,46.07843137254902
EAC-714,0,0.0,34,43.037974683544306
EAC-92,0,0.0,114,53.271028037383175
EAC-76,0,0.0,43,21.07843137254902
EAC-98,0,0.0,98,45.58139534883721
EAC-654,0,0.0,33,23.741007194244602
EAC-623,0,0.0,44,24.30939226519337
EAC-46,0,0.0,85,49.707602339181285
EAC-31,0,0.0,64,45.714285714285715
EAC-2006,0,0.0,35,40.229885057471265
EAC-682,0,0.0,68,53.54330708661418
EAC-74,0,0.0,108,52.94117647058824
EAC-109,0,0.0,93,53.75722543352601
EAC-103,0,0.0,17,11.564625850340136
EAC-55,0,0.0,79,44.632768361581924
EAC-647,0,0.0,52,39.097744360902254
EAC-10,0,0.0,3,5.172413793103448
EAC-9,0,0.0,15,10.204081632653061
EAC-83,0,0.0,6,8.955223880597014
EAC-3,0,0.0,183,59.60912052117264
EAC-691,0,0.0,2,3.8461538461538463
EAC-708,0,0.0,8,7.766990291262135
EAC-60,0,0.0,50,22.93577981651376
EAC-17,0,0.0,137,50.0
EAC-4,0,0.0,185,63.793103448275865
EAC-52,0,0.0,117,52.94117647058824
EAC-58,0,0.0,56,34.146341463414636
EAC-97,0,0.0,69,45.6953642384106
EAC-73,0,0.0,49,26.063829787234045
EAC-723,0,0.0,43,44.79166666666667
EAC-624,0,0.0,49,50.0
EAC-653,0,0.0,5,8.333333333333332
EAC-36,0,0.0,37,19.786096256684495
EAC-41,0,0.0,49,27.52808988764045
EAC-117,0,0.0,59,54.12844036697248
EAC-32,0,0.0,52,49.056603773584904
