bin,total_bp,archaea_prop,bacteria_prop,eukarya_prop,prokarya_prop,organelle_prop,unknown_prop,archaea,bacteria,eukarya,prokarya,organelle,unknown
deep_MAG_0188,1600933,0.0,0.9095927187458813,0.0,0.0,0.0,0.0,0,1456197,0,0,0,0
deep_MAG_0166,5189477,0.0,1.0,0.0,0.0,0.0,0.0,0,5189477,0,0,0,0
deep_MAG_0362,3127459,0.0,0.9967980395586321,0.0,0.0,0.0,0.0,0,3117445,0,0,0,0
deep_MAG_0315,2607454,0.0,0.8561086791943405,0.0,0.0,0.0,0.0,0,2232264,0,0,0,0
deep_MAG_0368,2537492,0.004868980867722933,0.9146799280549456,0.0,0.01231412749281574,0.0,0.0,12355,2320993,0,31247,0,0
deep_MAG_0386,3458443,0.0,0.9977637335644971,0.0,0.0,0.0,0.0,0,3450709,0,0,0,0
deep_MAG_0212,1799506,0.0,0.9351855453663395,0.0,0.0,0.0,0.0,0,1682872,0,0,0,0
deep_MAG_0265,2166874,0.004488955056916092,0.8156911753982926,0.0,0.025819221606793934,0.0,0.0,9727,1767500,0,55947,0,0
deep_MAG_0469,1502394,0.00933044194798435,0.8418850181776552,0.0,0.06420486237298605,0.003395247851096317,0.0,14018,1264843,0,96461,5101,0
deep_MAG_0580,3099617,0.0011320753499545267,0.9926281214743627,0.0,0.0,0.0,0.0,3509,3076767,0,0,0,0
deep_MAG_0519,2342612,0.0,0.8808582044316344,0.0,0.0,0.0,0.0,0,2063509,0,0,0,0
deep_MAG_0053,3885530,0.0,0.9949553857517507,0.0,0.0,0.0,0.0,0,3865929,0,0,0,0
deep_MAG_0327,2143400,0.0,0.9155453951665578,0.0,0.0,0.0,0.0,0,1962380,0,0,0,0
deep_MAG_0610,3165281,0.0,0.7876567672822729,0.0,0.0,0.0,0.0,0,2493155,0,0,0,0
deep_MAG_0435,2709556,0.0,0.9922371045293029,0.0,0.0,0.0,0.0,0,2688522,0,0,0,0
deep_MAG_0108,4054307,0.0,0.9903564283612465,0.0,0.0,0.0,0.0,0,4015209,0,0,0,0
deep_MAG_0175,2672213,0.0,0.9948394832298174,0.0,0.0,0.0,0.0,0,2658423,0,0,0,0
deep_MAG_0102,2578442,0.026505153111840405,0.8864989012744906,0.0,0.02238056935156967,0.0,0.0,68342,2285786,0,57707,0,0
deep_MAG_0096,3525624,0.0,0.9536499070802785,0.0,0.0,0.0,0.0,0,3362211,0,0,0,0
deep_MAG_0545,3547295,0.0,0.992993252605154,0.0,0.0,0.0,0.0,0,3522440,0,0,0,0
deep_MAG_0298,4228690,0.0,0.9867301693905205,0.0,0.0,0.0,0.0,0,4172576,0,0,0,0
deep_MAG_0040,3777470,0.0,0.9994565145454497,0.0,0.0,0.0,0.0,0,3775417,0,0,0,0
deep_MAG_0470,807088,0.0,1.0,0.0,0.0,0.0,0.0,0,807088,0,0,0,0
deep_MAG_0593,2972626,0.0,0.9981090793123656,0.0,0.0,0.0,0.0,0,2967005,0,0,0,0
deep_MAG_0494,2848845,0.0,1.0,0.0,0.0,0.0,0.0,0,2848845,0,0,0,0
deep_MAG_0577,955814,0.0,0.6953779710278359,0.0,0.045488975888614315,0.0,0.0,0,664652,0,43479,0,0
deep_MAG_0130,617501,0.04338130626509107,0.8406658450755545,0.0,0.06498289071596645,0.0,0.0299594656526872,26788,519112,0,40127,0,18500
deep_MAG_0603,3367763,0.0,0.999219363120267,0.0,0.0,0.0,0.0,0,3365134,0,0,0,0
deep_MAG_0233,2348827,0.0,0.9968128772361694,0.0,0.0,0.0,0.0,0,2341341,0,0,0,0
deep_MAG_0239,3601523,0.0,0.9955996393747867,0.0,0.0,0.0,0.0,0,3585675,0,0,0,0
deep_MAG_0334,2162960,0.0,0.986220272219551,0.0,0.0,0.0,0.0,0,2133155,0,0,0,0
deep_MAG_0343,1606021,0.006630672948859323,0.9756541166024604,0.0,0.0,0.0,0.0,10649,1566921,0,0,0,0
deep_MAG_0609,2236218,0.016923215893978136,0.8681653577602899,0.0,0.01362076505957827,0.0,0.0,37844,1941407,0,30459,0,0
deep_MAG_0039,2137196,0.0,0.8293282413030906,0.0,0.0,0.0,0.0,0,1772437,0,0,0,0
deep_MAG_0474,1886227,0.0016912068377772135,0.568296392745942,0.0,0.002254765730741846,0.0,0.0,3190,1071936,0,4253,0,0
deep_MAG_0044,4098530,0.0030984279729561574,0.9251495048224607,0.0,0.005202353038772438,0.0,0.0,12699,3791753,0,21322,0,0
deep_MAG_0149,3076839,0.0,0.9902949098084105,0.0,0.0,0.0,0.0,0,3046978,0,0,0,0
deep_MAG_0330,4351592,0.0,0.9275874208795309,0.0,0.0,0.0,0.0,0,4036482,0,0,0,0
deep_MAG_0607,1930564,0.0,0.9984589995462466,0.0,0.0,0.0,0.0,0,1927589,0,0,0,0
deep_MAG_0195,5761499,0.0,0.9610691592587276,0.0,0.0,0.0,0.0,0,5537199,0,0,0,0
deep_MAG_0098,3617344,0.0,0.9928234638452964,0.0,0.0,0.0,0.0017490733532669273,0,3591384,0,0,0,6327
deep_MAG_0375,1952443,0.0,0.8773367519563952,0.0,0.0019140123424857985,0.0,0.0,0,1712950,0,3737,0,0
deep_MAG_0296,3767108,0.0,0.9956765242727312,0.0,0.0,0.0,0.0,0,3750821,0,0,0,0
deep_MAG_0489,3275985,0.0,0.9849581118350664,0.0,0.0,0.0,0.0,0,3226708,0,0,0,0
deep_MAG_0467,4005195,0.0,0.9992674513974975,0.0,0.0,0.0,0.0,0,4002261,0,0,0,0
deep_MAG_0483,2207526,0.0,1.0,0.0,0.0,0.0,0.0,0,2207526,0,0,0,0
deep_MAG_0127,6317431,0.0,0.958453998152097,0.0,0.0,0.0,0.0,0,6054967,0,0,0,0
deep_MAG_0150,1216078,0.024946590596984734,0.8337499732747407,0.0,0.09498321653709713,0.0028147865515205438,0.004032636064462971,30337,1013905,0,115507,3423,4904
deep_MAG_0614,2860005,0.0014583890587603868,0.9634762876288678,0.0,0.0,0.0,0.0,4171,2755547,0,0,0,0
deep_MAG_0329,1595181,0.0,0.9137909741903897,0.0,0.0,0.0,0.0,0,1457662,0,0,0,0
deep_MAG_0323,1765704,0.0,0.9809900187120831,0.0,0.0,0.0,0.0,0,1732138,0,0,0,0
deep_MAG_0354,1417960,0.020224124799007023,0.8262912917148579,0.0,0.036412169595757285,0.0,0.0,28677,1171648,0,51631,0,0
deep_MAG_0422,3484342,0.0,0.9918107923963836,0.0,0.0,0.0,0.0,0,3455808,0,0,0,0
deep_MAG_0455,2717958,0.003381582791198392,0.9459016658829901,0.0,0.004750993208872249,0.0,0.0046965405646444865,9191,2570921,0,12913,0,12765
deep_MAG_0186,2917105,0.0,0.9928929538018001,0.0,0.0,0.0,0.0,0,2896373,0,0,0,0
deep_MAG_0081,5507091,0.0,0.9989787711879102,0.0,0.0,0.0,0.0,0,5501467,0,0,0,0
deep_MAG_0366,3567305,0.0,0.9992759239818294,0.0,0.0,0.0,0.0,0,3564722,0,0,0,0
deep_MAG_0282,1393037,0.0,0.9748484785400532,0.0,0.0,0.0,0.0,0,1358000,0,0,0,0
deep_MAG_0361,3187147,0.0,0.9646006287127641,0.0,0.0,0.0,0.0,0,3074324,0,0,0,0
deep_MAG_0452,1819593,0.0,1.0,0.0,0.0,0.0,0.0,0,1819593,0,0,0,0
deep_MAG_0528,4152113,0.0,1.0,0.0,0.0,0.0,0.0,0,4152113,0,0,0,0
deep_MAG_0181,1209712,0.0,0.9252780827172087,0.0,0.0,0.0,0.0,0,1119320,0,0,0,0
deep_MAG_0015,610097,0.013353614261338772,0.747076284590811,0.0,0.015041870391101744,0.04224246308373914,0.020093526111421626,8147,455789,0,9177,25772,12259
deep_MAG_0118,4909857,0.0,0.9984824405272903,0.0,0.0,0.0,0.0,0,4902406,0,0,0,0
deep_MAG_0112,1466350,0.7229835987315443,0.09689364749207215,0.0,0.029451358816108022,0.0,0.0,1060147,142080,0,43186,0,0
deep_MAG_0165,3918652,0.0,0.9613257313994711,0.0,0.0,0.0,0.0,0,3767101,0,0,0,0
deep_MAG_0353,1706642,0.0,0.85775575662617,0.0,0.0,0.0,0.0,0,1463882,0,0,0,0
deep_MAG_0229,4923418,0.0,0.9032375475736572,0.0,0.0,0.0,0.0,0,4447016,0,0,0,0
deep_MAG_0619,2212070,0.009778171576848835,0.9593860049636765,0.0,0.007591079848286899,0.0,0.0013905527401935744,21630,2122229,0,16792,0,3076
deep_MAG_0027,4359799,0.0,1.0,0.0,0.0,0.0,0.0,0,4359799,0,0,0,0
deep_MAG_0589,2722503,0.0,0.861440740377513,0.0,0.0,0.0,0.0,0,2345275,0,0,0,0
deep_MAG_0484,2558507,0.0,1.0,0.0,0.0,0.0,0.0,0,2558507,0,0,0,0
deep_MAG_0208,2281103,0.0,0.9841392519320697,0.0,0.0,0.0,0.0,0,2244923,0,0,0,0
deep_MAG_0305,2977285,0.0,0.9857302878293479,0.0,0.0,0.0,0.0,0,2934800,0,0,0,0
deep_MAG_0291,3708737,0.0,0.9745786773233044,0.0,0.0,0.0,0.0,0,3614456,0,0,0,0
deep_MAG_0202,6127118,0.0,0.9995139639876366,0.0,0.0,0.0,0.0,0,6124140,0,0,0,0
deep_MAG_0378,4625493,0.0,1.0,0.0,0.0,0.0,0.0,0,4625493,0,0,0,0
deep_MAG_0531,3358994,0.0,0.9934536947669451,0.0,0.0,0.0,0.0,0,3337005,0,0,0,0
deep_MAG_0176,2505300,0.0,0.9582409292300323,0.0,0.0,0.0,0.0,0,2400681,0,0,0,0
deep_MAG_0192,723783,0.0,0.9155851961154102,0.0,0.02934857547082482,0.0,0.0,0,662685,0,21242,0,0
deep_MAG_0441,2245330,0.0,0.9843933853821042,0.0,0.0,0.0,0.0,0,2210288,0,0,0,0
deep_MAG_0340,2499236,0.0,0.9094615314440093,0.0,0.0,0.0,0.0,0,2272959,0,0,0,0
deep_MAG_0144,4363784,0.0,0.9948989225864525,0.0,0.0,0.0,0.0,0,4341524,0,0,0,0
deep_MAG_0509,5886968,0.0,0.991324736264916,0.0,0.0,0.0,0.0,0,5835897,0,0,0,0
deep_MAG_0590,2992433,0.003172000843460823,0.9476275659304653,0.0,0.022004168514382777,0.0,0.0,9492,2835712,0,65846,0,0
deep_MAG_0404,1359755,0.07078628135215535,0.3043342366823435,0.0,0.6112998297487415,0.0,0.0031638052443271033,96252,413820,0,831218,0,4302
deep_MAG_0533,3511586,0.0,1.0,0.0,0.0,0.0,0.0,0,3511586,0,0,0,0
deep_MAG_0449,727588,0.0,0.9435133619575914,0.0,0.0,0.0,0.05648663804240862,0,686489,0,0,0,41099
deep_MAG_0103,2936268,0.0,0.9991996643358168,0.0,0.0,0.0,0.0,0,2933918,0,0,0,0
deep_MAG_0539,10984052,0.0,0.9820215709102615,0.0,0.0,0.0,0.0,0,10786576,0,0,0,0
deep_MAG_0434,4776979,0.0,0.9971873437166041,0.0,0.0,0.0,0.0,0,4763543,0,0,0,0
deep_MAG_0307,1111849,0.7069602077260492,0.12881785206444402,0.0,0.06562941550516302,0.0,0.0,786033,143226,0,72970,0,0
deep_MAG_0293,3441940,0.0,0.9970258052145011,0.0,0.0,0.0,0.0,0,3431703,0,0,0,0
deep_MAG_0146,3345342,0.014651117882715729,0.8773880219122588,0.0,0.017046388680140925,0.0,0.0,49013,2935163,0,57026,0,0
deep_MAG_0131,1276830,0.0,0.9382314012045456,0.0,0.0,0.0,0.0,0,1197962,0,0,0,0
deep_MAG_0576,469063,0.07067280940939703,0.6114509138431298,0.0,0.27795626600264783,0.0,0.0,33150,286809,0,130379,0,0
deep_MAG_0598,2489328,0.0,0.7610334998039632,0.0,0.0,0.0,0.0,0,1894462,0,0,0,0
deep_MAG_0592,3412711,0.0,0.9154232514854027,0.0,0.0,0.0,0.0,0,3124075,0,0,0,0
deep_MAG_0036,5235474,0.0,0.9871673510364105,0.0,0.0,0.0,0.0,0,5168289,0,0,0,0
deep_MAG_0608,6735695,0.0,0.9838438349717438,0.0,0.0,0.0,0.0,0,6626872,0,0,0,0
deep_MAG_0238,1558883,0.019416466790644328,0.8888370711592852,0.0,0.010443375160291054,0.0,0.0,30268,1385593,0,16280,0,0
deep_MAG_0342,1797085,0.0,0.9757941332769458,0.0,0.0,0.0,0.0,0,1753585,0,0,0,0
deep_MAG_0060,3019188,0.0,0.9857498108763019,0.0,0.0,0.0,0.0,0,2976164,0,0,0,0
deep_MAG_0183,936963,0.9682901032378013,0.01329828392369816,0.0,0.013252390969547357,0.0,0.0,907252,12460,0,12417,0,0
deep_MAG_0084,3676255,0.0,0.9994105414341496,0.0,0.0,0.0,0.0,0,3674088,0,0,0,0
deep_MAG_0167,3534891,0.0,0.8827347151581194,0.0,0.0,0.0,0.0,0,3120371,0,0,0,0
deep_MAG_0557,2742065,0.0,0.9415852651195358,0.0,0.0,0.0,0.0,0,2581888,0,0,0,0
deep_MAG_0213,5678778,0.0032337943127905334,0.9675895060521823,0.0,0.01899475556184799,0.0,0.0,18364,5494726,0,107867,0,0
deep_MAG_0314,4817674,0.0,0.9057663511478776,0.0,0.0,0.0,0.0,0,4363687,0,0,0,0
deep_MAG_0280,4510963,0.0,0.9908261273701424,0.0,0.0,0.0,0.0,0,4469580,0,0,0,0
deep_MAG_0363,1601282,0.03473841584430475,0.8594869610724407,0.0,0.023862130467962546,0.0,0.0,55626,1376281,0,38210,0,0
deep_MAG_0128,1670635,0.0,0.9521086293535093,0.0,0.0,0.0,0.0,0,1590626,0,0,0,0
deep_MAG_0518,3102623,0.0,0.9952092149126722,0.0,0.0,0.0,0.0,0,3087759,0,0,0,0
deep_MAG_0512,2916481,0.0,0.9924244320467028,0.0,0.0,0.0,0.0,0,2894387,0,0,0,0
deep_MAG_0155,984312,0.35379534131454254,0.4322643633319517,0.0,0.08124253285543608,0.0,0.0,348245,425483,0,79968,0,0
deep_MAG_0122,3867028,0.0,0.8603309828633255,0.0,0.0,0.0,0.003140396190562882,0,3326924,0,0,0,12144
deep_MAG_0611,1607417,0.017472752869977112,0.908163842985361,0.0,0.05665362503942661,0.0,0.0,28086,1459798,0,91066,0,0
deep_MAG_0351,6069240,0.0,0.9476792810961504,0.0,0.0006188583743598869,0.0,0.0,0,5751693,0,3756,0,0
deep_MAG_0616,1135403,0.9812471871221056,0.0,0.0,0.009512921843609714,0.0,0.0,1114111,0,0,10801,0,0
deep_MAG_0251,2659596,0.0036231066673284213,0.9841348084445908,0.0,0.0,0.0,0.0,9636,2617401,0,0,0,0
deep_MAG_0226,3244435,0.0,0.8071309796620983,0.0,0.0,0.0,0.0,0,2618684,0,0,0,0
deep_MAG_0321,2922927,0.0019665219145055626,0.9855634437671553,0.0,0.0,0.0,0.0,5748,2880730,0,0,0,0
deep_MAG_0356,2519775,0.0,0.9142506771437926,0.0,0.0,0.0,0.0,0,2303706,0,0,0,0
deep_MAG_0055,2342853,0.014454598730692877,0.8814539367173271,0.0,0.00508397240458535,0.0,0.0,33865,2065117,0,11911,0,0
deep_MAG_0465,758408,0.9519124270841025,0.024194101328045062,0.0,0.015511439752745224,0.0,0.0,721938,18349,0,11764,0,0
deep_MAG_0586,3303802,0.010055687356566768,0.9034049255978415,0.0,0.03867695461168678,0.0,0.0,33222,2984671,0,127781,0,0
deep_MAG_0562,5057992,0.0,0.9950759115475074,0.0,0.0,0.0,0.0,0,5033086,0,0,0,0
deep_MAG_0152,3896061,0.0,0.9226128646343063,0.0,0.0,0.0,0.0,0,3594556,0,0,0,0
deep_MAG_0028,5295526,0.0,0.9995194056265609,0.0,0.0,0.0,0.0,0,5292981,0,0,0,0
deep_MAG_0214,2762714,0.0,0.932352751678241,0.0,0.0,0.0,0.0,0,2575824,0,0,0,0
deep_MAG_0380,3567559,0.0,0.8608185596930562,0.0,0.0,0.0,0.0,0,3071021,0,0,0,0
deep_MAG_0263,2859012,0.0,0.9630155452303103,0.0,0.0,0.0,0.0,0,2753273,0,0,0,0
deep_MAG_0319,1117260,0.9975824785636289,0.0,0.0,0.0,0.0,0.0,1114559,0,0,0,0,0
deep_MAG_0269,5233928,0.0,1.0,0.0,0.0,0.0,0.0,0,5233928,0,0,0,0
deep_MAG_0420,3423895,0.0,1.0,0.0,0.0,0.0,0.0,0,3423895,0,0,0,0
deep_MAG_0457,3764873,0.0,0.9757258744186059,0.0,0.0,0.0,0.0,0,3673484,0,0,0,0
deep_MAG_0184,3704489,0.0,0.9850049494005786,0.0,0.0,0.0,0.0,0,3648940,0,0,0,0
deep_MAG_0067,1601673,0.0,0.9761443190963449,0.0,0.0,0.0,0.0,0,1563464,0,0,0,0
deep_MAG_0527,3064145,0.0,0.9770937733038091,0.0,0.0,0.0,0.0,0,2993957,0,0,0,0
deep_MAG_0345,3458577,0.0,0.9993433715658203,0.0,0.0,0.0,0.0,0,3456306,0,0,0,0
deep_MAG_0338,3943636,0.0,0.9250704172494622,0.0,0.0,0.0,0.0,0,3648141,0,0,0,0
deep_MAG_0242,2401365,0.0,0.9103339142529353,0.0,0.0,0.0,0.0,0,2186044,0,0,0,0
deep_MAG_0605,1181304,0.9735157080649858,0.0,0.0,0.0,0.0,0.0,1150018,0,0,0,0,0
deep_MAG_0401,2612047,0.0,0.8433603989514737,0.0,0.0,0.0,0.0,0,2202897,0,0,0,0
deep_MAG_0031,866261,0.0,1.0,0.0,0.0,0.0,0.0,0,866261,0,0,0,0
deep_MAG_0294,824080,0.6977174546160567,0.02332176487719639,0.0,0.04288782642461897,0.0,0.0,574975,19219,0,35343,0,0
deep_MAG_0300,3633221,0.0,0.8065303486905971,0.0,0.0,0.0,0.0,0,2930303,0,0,0,0
deep_MAG_0534,1142374,0.6241406054409502,0.15481707391799884,0.0,0.1623557608979196,0.0,0.0,713002,176859,0,185471,0,0
deep_MAG_0549,1407112,0.9805942952657642,0.0,0.0,0.0,0.0,0.0,1379806,0,0,0,0,0
deep_MAG_0397,3706451,0.0,0.8278531133960761,0.0,0.0,0.0,0.0,0,3068397,0,0,0,0
deep_MAG_0203,1793684,0.0026398183849552096,0.9612573898189425,0.0,0.002657658762636005,0.0,0.0,4735,1724192,0,4767,0,0
deep_MAG_0274,2763682,0.0,0.9944787424891866,0.0,0.0,0.0,0.0,0,2748423,0,0,0,0
deep_MAG_0373,3641185,0.0019153105376409055,0.9553043857974808,0.0,0.0,0.0,0.0,6974,3478440,0,0,0,0
deep_MAG_0290,1509892,0.0,0.8291990420506897,0.0,0.0,0.0,0.0,0,1252001,0,0,0,0
deep_MAG_0437,1343191,0.9941586862925674,0.004316586397615826,0.0,0.0,0.0,0.0,1335345,5798,0,0,0,0
deep_MAG_0193,2680525,0.0,0.9466261273444567,0.0,0.0,0.0,0.0,0,2537455,0,0,0,0
deep_MAG_0177,5086028,0.0,0.994793776204142,0.0,0.0,0.0,0.0,0,5059549,0,0,0,0
deep_MAG_0094,3652949,0.0,0.9979846419974656,0.0,0.0,0.0,0.0,0,3645587,0,0,0,0
deep_MAG_0246,479131,0.12652072189025548,0.7078189472190278,0.0,0.13357098580555213,0.0,0.0,60620,339138,0,63998,0,0
deep_MAG_0231,1597151,0.0,0.9161506958327672,0.0,0.0,0.0,0.0,0,1463231,0,0,0,0
deep_MAG_0336,1057952,0.11776810290069871,0.023815825292640876,0.0,0.8301595913614228,0.0,0.011617729348779528,124593,25196,0,878269,0,12291
deep_MAG_0035,2550310,0.0,0.9990608984790085,0.0,0.0,0.0,0.0,0,2547915,0,0,0,0
deep_MAG_0508,3452677,0.0,0.9850909888182416,0.0,0.004214411020781845,0.0,0.0,0,3401201,0,14551,0,0
deep_MAG_0472,2190309,0.0,0.941624674874641,0.0,0.0,0.0,0.0,0,2062449,0,0,0,0
deep_MAG_0591,2359523,0.0,0.9513651699941047,0.0,0.0,0.0,0.0,0,2244768,0,0,0,0
deep_MAG_0405,2384286,0.0,0.9055981539127437,0.0,0.0,0.0,0.0,0,2159205,0,0,0,0
deep_MAG_0502,2015441,0.0,0.9989029696230254,0.0,0.0,0.0,0.0,0,2013230,0,0,0,0
deep_MAG_0496,2915926,0.0015576526976336163,0.9417159420369379,0.0,0.0,0.0,0.0,4542,2745974,0,0,0,0
deep_MAG_0478,8141299,0.002385982875705707,0.9642915706694963,0.0,0.004257428697803631,0.0,0.0013070395768537675,19425,7850586,0,34661,0,10641
deep_MAG_0132,4099343,0.0,0.9779642737872873,0.0,0.0,0.0,0.0,0,4009011,0,0,0,0
deep_MAG_0048,866870,0.22017142132038253,0.18913562587239147,0.0,0.5812382479495195,0.0,0.004185171940429361,190860,163956,0,503858,0,3628
deep_MAG_0317,2762716,0.0,0.9904025603789893,0.0,0.0,0.0,0.0,0,2736201,0,0,0,0
deep_MAG_0210,2734841,0.0,0.9913132061425143,0.0,0.0,0.0,0.0,0,2711084,0,0,0,0
deep_MAG_0267,3092275,0.0,0.9813312205415107,0.0,0.0,0.0,0.0,0,3034546,0,0,0,0
deep_MAG_0459,2517802,0.0,0.9981257461865548,0.0,0.0,0.0,0.0,0,2513083,0,0,0,0
deep_MAG_0554,2744797,0.0,0.8017609316827438,0.0,0.0,0.0,0.0,0,2200671,0,0,0,0
deep_MAG_0523,3012316,0.0,0.9905461445611948,0.0,0.0,0.0,0.0,0,2983838,0,0,0,0
deep_MAG_0325,1876242,0.0,0.9270691094219189,0.0,0.0,0.0,0.0,0,1739406,0,0,0,0
deep_MAG_0228,3405332,0.0,0.9947778953711415,0.0,0.0,0.0,0.0,0,3387549,0,0,0,0
deep_MAG_0358,4279195,0.0,0.985178988104071,0.0,0.0,0.0,0.0,0,4215773,0,0,0,0
deep_MAG_0255,2527200,0.005157882241215574,0.9213880974992086,0.0,0.01491650838873061,0.0,0.0,13035,2328532,0,37697,0,0
deep_MAG_0612,6152997,0.0,0.9781977790660389,0.0,0.0,0.0,0.0,0,6018848,0,0,0,0
deep_MAG_0156,2068550,0.0,0.9324101423702593,0.0,0.0,0.0,0.0,0,1928737,0,0,0,0
deep_MAG_0511,4691839,0.0,0.9951912245923187,0.0,0.0,0.0,0.0,0,4669277,0,0,0,0
deep_MAG_0485,303030,0.6403095403095403,0.02154902154902155,0.0,0.014628914628914629,0.011101211101211102,0.0,194033,6530,0,4433,3364,0
deep_MAG_0566,2059960,0.0,0.887946853336958,0.0,0.0,0.0,0.0,0,1829135,0,0,0,0
deep_MAG_0461,4131253,0.0015019656264092275,0.9810757172218695,0.0,0.004251010528766939,0.0,0.0,6205,4053072,0,17562,0,0
deep_MAG_0582,3053210,0.0,0.8315435230462366,0.0,0.0,0.0,0.0,0,2538877,0,0,0,0
deep_MAG_0126,2635615,0.0,0.8983656565924841,0.0,0.0,0.0,0.0,0,2367746,0,0,0,0
deep_MAG_0466,2834354,0.0,0.9019243891200606,0.0,0.0,0.0,0.0,0,2556373,0,0,0,0
deep_MAG_0021,3892758,0.0,1.0,0.0,0.0,0.0,0.0,0,3892758,0,0,0,0
deep_MAG_0258,2482471,0.005583952440934859,0.9486878195153136,0.0,0.0,0.0,0.0,13862,2355090,0,0,0,0
deep_MAG_0355,3291778,0.0,0.9961124352857331,0.0,0.0,0.0,0.0,0,3278981,0,0,0,0
deep_MAG_0322,2798438,0.0,0.9790082896244262,0.0,0.004022958521861124,0.0,0.0,0,2739694,0,11258,0,0
deep_MAG_0328,4159979,0.0,0.9857566588677491,0.0,0.0,0.0,0.0,0,4100727,0,0,0,0
deep_MAG_0524,1981193,0.019041557283919337,0.9406120453686239,0.0,0.016858529179136005,0.0,0.0,37725,1863534,0,33400,0,0
deep_MAG_0553,4055704,0.0,0.9970323278030152,0.0,0.0,0.0,0.0,0,4043668,0,0,0,0
